uf,state_name,ensemble_id,foi_pwmean,foi_equiv
RO,Rondonia,1,0.007211363823295314,0.007207506207459052
AC,Acre,1,0.006673722511135892,0.006669055368076817
AM,Amazonas,1,0.009181617240181603,0.009174871772444956
RR,Roraima,1,0.01188497860920501,0.011879679125177546
PA,Para,1,0.008726629617361915,0.008719733356059118
AP,Amapa,1,0.007119237806964458,0.0071096963136413165
TO,Tocantins,1,0.005772013941937041,0.005769630996738504
MA,Maranhao,1,0.009257444631528769,0.009249290100323776
PI,Piaui,1,0.011316476812501705,0.011306593307312594
CE,Ceara,1,0.01064954536554834,0.010643865319323787
RN,Rio Grande do Norte,1,0.009996503264172167,0.009991822312921417
PB,Paraiba,1,0.010925717015763258,0.0109187507614836
PE,Pernambuco,1,0.009810359751337792,0.009805109086168095
AL,Alagoas,1,0.007791237454226973,0.007788011192891855
SE,Sergipe,1,0.00978563823305675,0.00978242444374914
BA,Bahia,1,0.009148679285783737,0.009142819938473863
MG,Minas Gerais,1,0.01380247319028817,0.013798383292742574
ES,Espirito Santo,1,0.012360444509157721,0.012356413779698157
RJ,Rio de Janeiro,1,0.011584474625155805,0.011581156885942887
SP,Sao Paulo,1,0.01519657934982318,0.015193982002723545
PR,Parana,1,0.014242354818690057,0.014240443930860838
SC,Santa Catarina,1,0.015172934305621126,0.015170613167658989
RS,Rio Grande do Sul,1,0.015105792356998405,0.015102167755339456
MS,Mato Grosso do Sul,1,0.008761646244300599,0.00875462446618892
MT,Mato Grosso,1,0.007559910295885327,0.007554414913550498
GO,Goias,1,0.009760376614447102,0.009755385217934372
DF,Distrito Federal,1,0.012523401062377504,0.012522190983240183
RO,Rondonia,2,0.007299928408688214,0.0072967085820494545
AC,Acre,2,0.0065053543059673605,0.0065008478536009605
AM,Amazonas,2,0.010510566191558966,0.010507020154918934
RR,Roraima,2,0.012571929362233758,0.012567955267291786
PA,Para,2,0.01022450467274867,0.01021389886993272
AP,Amapa,2,0.008023509702036764,0.008015102636488677
TO,Tocantins,2,0.006742139901273457,0.0067401847662179395
MA,Maranhao,2,0.010737947920570505,0.010732108701169472
PI,Piaui,2,0.012232164284019112,0.012225043468551787
CE,Ceara,2,0.011523021433450041,0.01151835125697449
RN,Rio Grande do Norte,2,0.010903784901600069,0.010898969551491382
PB,Paraiba,2,0.010657301949857739,0.010650624772204055
PE,Pernambuco,2,0.010404694503298229,0.0103976424114567
AL,Alagoas,2,0.0073096645518487685,0.007305835805894149
SE,Sergipe,2,0.011024232248778503,0.011018156962850068
BA,Bahia,2,0.00898910764910194,0.008981287806102313
MG,Minas Gerais,2,0.013257858993527463,0.013252821434613567
ES,Espirito Santo,2,0.013366811684127629,0.013362283589709312
RJ,Rio de Janeiro,2,0.011940158818240808,0.011934293657050999
SP,Sao Paulo,2,0.016379418585836688,0.01637444007066975
PR,Parana,2,0.014267666820110625,0.014264009374206292
SC,Santa Catarina,2,0.014781978463626872,0.014778272653062112
RS,Rio Grande do Sul,2,0.013416566127792936,0.013413104836554479
MS,Mato Grosso do Sul,2,0.008613459086553423,0.008609241520444075
MT,Mato Grosso,2,0.008015013417130089,0.00800646549079379
GO,Goias,2,0.008660475570736103,0.008655073683121106
DF,Distrito Federal,2,0.011980105764523906,0.011978170036371666
RO,Rondonia,3,0.006859685036900644,0.00685618710237975
AC,Acre,3,0.005772884525267063,0.0057708320624031565
AM,Amazonas,3,0.018291547243830572,0.018271983662097327
RR,Roraima,3,0.022479081898795245,0.02246140165357666
PA,Para,3,0.011190030253867929,0.01118022365690467
AP,Amapa,3,0.010276843729325741,0.010269874621179684
TO,Tocantins,3,0.009330689305483012,0.009324877342589999
MA,Maranhao,3,0.018612237245603097,0.018590767056324134
PI,Piaui,3,0.02288679367759363,0.022867018845875102
CE,Ceara,3,0.01809793124221483,0.01807602770019031
RN,Rio Grande do Norte,3,0.017201340808538124,0.01718360295394038
PB,Paraiba,3,0.015338565382327706,0.015319400648144507
PE,Pernambuco,3,0.014690175367196029,0.014679497133408501
AL,Alagoas,3,0.010855275738950294,0.010846002746649269
