uf,state_name,n_cells,n_valid_cells,population_total,population_valid_foi,population_coverage,population_coverage_min_member,population_coverage_max_member,foi_pwmean_mid,foi_pwmean_mean,foi_pwmean_sd,foi_pwmean_lo,foi_pwmean_q25,foi_pwmean_q75,foi_pwmean_hi,foi_equiv_mid,foi_equiv_mean,foi_equiv_sd,foi_equiv_lo,foi_equiv_q25,foi_equiv_q75,foi_equiv_hi,arithmetic_minus_equivalent,arithmetic_vs_equivalent_relative_difference
AC,Acre,8022,8022,1043746.7574866614,1043746.7574866614,1,1,1,0.007211406835422271,0.007180725738162719,0.0013911856330730387,0.0049308527520929134,0.006118330773852612,0.008131761705131376,0.0099284037454371,0.007208594820359433,0.007176383432096283,0.0013888517651455216,0.0049289701782463495,0.006114459189046036,0.008123062152286153,0.009915894182172966,2.8120150628386034e-6,3.9009198504215436e-4
AL,Alagoas,1358,1298,3477978.1425930643,3240735.70037111,0.9317872532559752,0.9317872532559752,0.9317872532559752,0.008681401316747758,0.008643194314605617,0.001264558886814507,0.006402574717498322,0.00781719166065912,0.009453287495013799,0.010846262277874,0.008675993866179864,0.008638119641541262,0.0012629693817560643,0.0064001348398196765,0.007813886232594878,0.009449499681592354,0.01084009220995482,5.407450567894434e-6,6.232658357416975e-4
AM,Amazonas,73594,73594,4421603.470109693,4421603.470109693,1,1,1,0.011021086290686908,0.011309044784373347,0.0019343106765958192,0.008457375518507997,0.009878782064781579,0.012556801322408339,0.01578696134165982,0.011015221535532398,0.01130218680425088,0.0019328986245353548,0.008451233518228936,0.009869771051539567,0.012552335882350388,0.0157804717181962,5.864755154509627e-6,5.32422805623234e-4
AP,Amapa,6797,6584,898573.6943083857,809802.386247158,0.901208650304911,0.901208650304911,0.901208650304911,0.009055516498961174,0.009162571200991076,0.0019784922191438737,0.005988715642554163,0.00777799741408373,0.01052208322229825,0.013249878949270882,0.009044323198808085,0.009152208524694491,0.001976606596723644,0.005983836324233036,0.007767602229318162,0.010511173791598532,0.013233991303855053,1.1193300153089503e-5,0.0012376050597754649
BA,Bahia,27164,26919,15266071.593260087,11954097.590811327,0.7830500150470286,0.7830500150470286,0.7830500150470286,0.0100822169363435,0.010082135274541888,0.0014711361281783471,0.007305294259598799,0.00900885965113194,0.010975281036182347,0.013076477798348852,0.010075771791206715,0.010073692906471003,0.0014686961894224714,0.007298647029034004,0.009004780878708709,0.01097011304296652,0.013062035041133641,6.445145136785291e-6,6.396676374121604e-4
CE,Ceara,7072,6958,9674504.683195401,9231781.187078971,0.954238122713875,0.954238122713875,0.954238122713875,0.012308149948215762,0.012607401074664105,0.002048385819338857,0.009402286927818113,0.011125982008763129,0.013827200839190885,0.017353295118720455,0.012299640243754021,0.012598103830608488,0.002046740958700418,0.009397290698727594,0.011117843803030221,0.013821249404549199,0.017342554349202607,8.509704461740972e-6,6.918661272277743e-4
DF,Distrito Federal,276,276,3202296.1569077363,3202296.1569077363,1,1,1,0.013525249843441549,0.01413632129013159,0.0036793452765933295,0.008758080635678485,0.011365318958922253,0.01657406585524302,0.021450351484965487,0.013515675584493144,0.01413418354897847,0.0036797401859812143,0.008757507802529521,0.011364703482166488,0.01657307237362503,0.021449758214532717,9.574258948404427e-6,7.083818258696e-4
ES,Espirito Santo,2354,2265,4010031.912677152,3526464.369977629,0.8794105500330827,0.8794105500330827,0.8794105500330827,0.013565901348274996,0.013611793799620077,0.002115884138689791,0.009906244710608567,0.012309325591575219,0.014618611096316202,0.018447919370695984,0.013559535309385699,0.01360575825851445,0.002113715714462077,0.009902406760486055,0.012306642619608975,0.01461460401162473,0.018434361840585486,6.3660388892970016e-6,4.694879834776144e-4
GO,Goias,16566,16566,7355714.437435157,7355714.437435157,1,1,1,0.010319574115549419,0.010299989149536167,0.0018941373618600837,0.006702905584466318,0.00896236725580498,0.011904765560841218,0.01372790031884166,0.010309805721081814,0.01029220955289423,0.0018910342873156628,0.006698360849005923,0.00895745807671245,0.011897623022434925,0.013718244572192471,9.76839446760469e-6,9.474857947739957e-4
MA,Maranhao,15620,15322,7766371.485614014,6976988.781082074,0.8983588789186626,0.8983588789186626,0.8983588789186626,0.012379926353482987,0.01258194564263934,0.002082191345886855,0.009350635488870569,0.011077551196902595,0.014039055596504996,0.01687864728078163,0.01237315248465224,0.012573881127102312,0.0020811673382680118,0.009342539320858826,0.011069578761137682,0.014031760826434071,0.016870270498069936,6.773868830746779e-6,5.474650732017682e-4
MG,Minas Gerais,28902,28902,21621219.42816297,21621219.42816297,1,1,1,0.014470638642125569,0.014599971131878496,0.0027895357759295165,0.010167585821811013,0.012481405834178132,0.01630606907377354,0.020549752360595835,0.014465727865673756,0.014594161357741855,0.0027872330364137445,0.010164795129638828,0.012477278759996008,0.01630005330365545,0.02053604701249863,4.910776451812898e-6,3.3947662346571966e-4
MS,Mato Grosso do Sul,17982,17982,3016644.6672508125,3016644.6672508125,1,1,1,0.010529575490135203,0.010421270545395557,0.002002495806031136,0.007268216774647037,0.008751249377467206,0.011721306888884037,0.014039669187565447,0.010523515797457143,0.010415566351811177,0.0020019796927841817,0.007263094839762509,0.00874515590592903,0.011714636981292529,0.014033851907503883,6.059692678059975e-6,5.758239731558357e-4
MT,Mato Grosso,43526,43526,3856895.956432085,3856895.956432085,1,1,1,0.00934447300799783,0.009362354486542185,0.0017786797237103983,0.005840121950976714,0.008272505334780385,0.010567046419769185,0.012839519664060172,0.00933605691754084,0.009353873436453788,0.0017771872933344546,0.005836364464780499,0.008267194586896818,0.01055973073020663,0.012833192104056496,8.416090456989794e-6,9.014609198855046e-4
PA,Para,58218,57713,9595782.414332904,9101773.136145487,0.9485180825432712,0.9485180825432712,0.9485180825432712,0.010566305982729896,0.010669589968368866,0.001835078205200344,0.007087196742799654,0.009420232599418385,0.011732827941801126,0.01440468284367891,0.010559833088049645,0.010659994949893678,0.00183398148817684,0.007082198430229523,0.009414712141722369,0.011716382527885373,0.014395926773917607,6.472894680250446e-6,6.129732000760215e-4
PB,Paraiba,2685,2654,4183993.89873866,3955894.870931454,0.9454829444478945,0.9454829444478945,0.9454829444478945,0.011532700506647363,0.011584498805912747,0.0016710088077309987,0.00836979434259123,0.010508910749029298,0.012645981773836246,0.015317627128453422,0.01152689508359123,0.01157534051499604,0.0016677397047474903,0.008366059173296626,0.010502830782985001,0.012634089031799394,0.015301576032243852,5.80542305613288e-6,5.036415282721726e-4
