year,month,year_month,PRCP,n_days
2015,1,2015-01-01,17.7,31
2015,2,2015-02-01,65.8,28
2015,3,2015-03-01,142.9,31
2015,4,2015-04-01,52.3,30
2015,5,2015-05-01,31,31
2015,6,2015-06-01,48.9,30
2015,7,2015-07-01,31,31
2015,8,2015-08-01,1.9,31
2015,9,2015-09-01,0.9,30
2015,10,2015-10-01,0.2,31
2015,11,2015-11-01,0.2,30
2015,12,2015-12-01,22,31
2016,1,2016-01-01,203.1,31
2016,2,2016-02-01,54.1,29
2016,3,2016-03-01,89.4,31
2016,4,2016-04-01,106.4,30
2016,5,2016-05-01,83.8,31
2016,6,2016-06-01,14.799999999999999,30
2016,7,2016-07-01,5.9,31
2016,8,2016-08-01,0.1,31
2016,9,2016-09-01,0,30
2016,10,2016-10-01,0.7,31
2016,11,2016-11-01,1.6,30
2016,12,2016-12-01,22.4,31
2017,1,2017-01-01,76.10000000000001,31
2017,2,2017-02-01,118.60000000000001,28
2017,3,2017-03-01,196.1,31
2017,4,2017-04-01,217.6,30
2017,5,2017-05-01,146.9,31
2017,6,2017-06-01,29,30
2017,7,2017-07-01,22.3,31
2017,8,2017-08-01,16.3,31
2017,9,2017-09-01,11.7,30
2017,10,2017-10-01,6.4,31
2017,11,2017-11-01,4.7,30
2017,12,2017-12-01,48,31
2018,1,2018-01-01,106.2,31
2018,2,2018-02-01,266.5,28
2018,3,2018-03-01,176.6,31
2018,4,2018-04-01,212.9,30
2018,5,2018-05-01,62.1,31
2018,6,2018-06-01,64.1,30
2018,7,2018-07-01,37.6,31
2018,8,2018-08-01,13.1,31
2018,9,2018-09-01,1,30
2018,10,2018-10-01,8.9,31
2018,11,2018-11-01,20.3,30
2018,12,2018-12-01,143.2,31
2019,1,2019-01-01,143.6,31
2019,2,2019-02-01,215.2,28
2019,3,2019-03-01,226.9,31
2019,4,2019-04-01,235.4,30
2019,5,2019-05-01,123.3,31
2019,6,2019-06-01,32.9,30
2019,7,2019-07-01,55.1,31
2019,8,2019-08-01,34.4,31
2019,9,2019-09-01,23,30
2019,10,2019-10-01,3.7,31
2019,11,2019-11-01,7.9,30
2019,12,2019-12-01,47.6,31
2020,1,2020-01-01,259.7,31
2020,2,2020-02-01,230.3,29
2020,3,2020-03-01,208.1,31
2020,4,2020-04-01,155.8,30
2020,5,2020-05-01,72.6,31
2020,6,2020-06-01,27.099999999999998,30
2020,7,2020-07-01,25.200000000000003,31
2020,8,2020-08-01,9,31
2020,9,2020-09-01,3.6,30
2020,10,2020-10-01,3.8,31
2020,11,2020-11-01,18.4,30
2020,12,2020-12-01,10.9,31
2021,1,2021-01-01,45,31
2021,2,2021-02-01,110.1,28
2021,3,2021-03-01,306.5,31
2021,4,2021-04-01,94.3,30
2021,5,2021-05-01,48.6,31
2021,6,2021-06-01,13.4,30
2021,7,2021-07-01,24.9,31
2021,8,2021-08-01,7.8999999999999995,31
2021,9,2021-09-01,16,30
2021,10,2021-10-01,14.3,31
2021,11,2021-11-01,17,30
2021,12,2021-12-01,54.1,31
2022,1,2022-01-01,162.5,31
2022,2,2022-02-01,63.9,28
2022,3,2022-03-01,298.1,31
2022,4,2022-04-01,109.5,30
2022,5,2022-05-01,69,31
2022,6,2022-06-01,83.8,30
2022,7,2022-07-01,35.9,31
2022,8,2022-08-01,30.1,31
2022,9,2022-09-01,1.6,30
2022,10,2022-10-01,2.9,31
2022,11,2022-11-01,39.9,30
2022,12,2022-12-01,27.7,31
2023,1,2023-01-01,130.9,31
2023,2,2023-02-01,119.9,28
2023,3,2023-03-01,292,31
2023,4,2023-04-01,112,30
2023,5,2023-05-01,22.6,31
2023,6,2023-06-01,24.6,30
2023,7,2023-07-01,10.1,31
2023,8,2023-08-01,11.5,31
2023,9,2023-09-01,3.9,30
2023,10,2023-10-01,0.9,31
2023,11,2023-11-01,12.5,30
2023,12,2023-12-01,40.199999999999996,31
2024,1,2024-01-01,60.7,31
2024,2,2024-02-01,203.8,29
2024,3,2024-03-01,204.8,31
2024,4,2024-04-01,188.5,30
2024,5,2024-05-01,38.8,31
2024,6,2024-06-01,28.5,30
2024,7,2024-07-01,20.5,31
2024,8,2024-08-01,3.5,31
2024,9,2024-09-01,0.1,30
2024,10,2024-10-01,2.2,31
2024,11,2024-11-01,1.9000000000000001,30
2024,12,2024-12-01,43.8,31
