muni7,muni6,lon,lat
1100015,110001,-62.27447546694225,-12.469670106791998
1100023,110002,-62.95729449171512,-9.951981829072059
1100031,110003,-60.63974784823903,-13.474880717067725
1100049,110004,-61.32462964420755,-11.301259140407348
1100056,110005,-61.26097738855024,-13.20370718038258
1100064,110006,-60.55025212674549,-13.159140143493294
1100072,110007,-61.09169742774749,-12.926679648819933
1100080,110008,-64.05863138514569,-12.147131901594962
1100098,110009,-60.78478061520032,-11.3512528717491
1100106,110010,-64.53772686504657,-11.30547091979607
1100114,110011,-62.58457068310337,-10.59236532217907
1100122,110012,-61.75712811285078,-10.461805375669512
1100130,110013,-62.010236370666206,-9.203951951472867
1100148,110014,-62.28013854453515,-11.643047724278745
1100155,110015,-62.17239160379313,-10.61049730097851
1100189,110018,-60.830570439751696,-11.89451022090893
1100205,110020,-64.30428234940258,-9.154122629036731
1100254,110025,-61.87794183054478,-11.166274046630068
1100262,110026,-62.79006450177271,-9.645239399753718
1100288,110028,-61.77154462180653,-11.732563390210736
1100296,110029,-61.70108786252893,-12.026921104925734
1100304,110030,-60.24834521591612,-12.094483095964362
1100320,110032,-62.983699711625874,-11.614805450730065
1100338,110033,-64.6293910091424,-10.382227897911667
1100346,110034,-62.545021577493046,-11.311505165267825
1100379,110037,-61.880638367225096,-12.593448882416912
1100403,110040,-63.394271718919455,-9.64930428909058
1100452,110045,-63.941212419034834,-10.052120728427015
1100502,110050,-62.08319231024216,-11.681068783690563
1100601,110060,-62.9872587780467,-10.331612576373384
1100700,110070,-63.79977604079585,-10.484904547709661
1100809,110080,-63.325412395482175,-8.88693484810116
1100908,110090,-61.88008766352666,-11.470800418051242
1100924,110092,-60.89847471440175,-12.537297034741401
1100940,110094,-62.56525106966354,-9.170980750370768
1101005,110100,-63.18392452129268,-10.748034174011623
1101104,110110,-63.04491630872183,-9.170208076413907
1101203,110120,-61.56894725596184,-11.1602651801927
1101302,110130,-62.84794530005003,-11.076856315362537
1101401,110140,-63.37239263080817,-10.210788730937322
1101435,110143,-62.53236332154012,-10.889339349577028
1101450,110145,-61.415359739002724,-12.262295763242829
1101468,110146,-61.545506911601976,-13.17375752750085
1101476,110147,-61.31532732415021,-11.878668502457934
1101484,110148,-61.467067223260344,-11.90493707581222
1101492,110149,-63.12265975396295,-12.368814550943464
1101500,110150,-63.230752846734894,-11.807143894454438
1101559,110155,-62.279765308833255,-10.943458518221643
1101609,110160,-62.342470131040265,-10.121774282739569
1101708,110170,-62.424392039217906,-11.103974402614552
1101757,110175,-61.938941755841874,-9.732446515572061
1101807,110180,-62.09399078605537,-10.38419158487279
1200013,120001,-66.95017876376845,-9.933914202625836
1200054,120005,-70.00554362238498,-10.779857947510333
1200104,120010,-69.2075567552697,-10.747399929174584
1200138,120013,-68.17375131972217,-9.614037445702468
1200179,120017,-67.83585059068871,-10.474212269083564
1200203,120020,-72.75451186376145,-7.971952844904241
1200252,120025,-68.61824921017151,-10.889157089262817
1200302,120030,-70.743079329162,-8.924088104569227
1200328,120032,-71.90592034888459,-9.24246131305534
1200336,120033,-73.43912523763669,-7.50447719928745
1200344,120034,-69.8524420462122,-9.38039583687451
1200351,120035,-72.55922511118109,-9.096279052226219
1200385,120038,-67.34023083603057,-10.249089503255986
1200393,120039,-72.73353954591234,-8.491958407780844
1200401,120040,-68.37092303092082,-10.06627836093614
1200427,120042,-73.22338895593082,-7.843929566102011
1200435,120043,-70.3955185038774,-9.410539427803425
1200450,120045,-67.42742858514619,-9.997171077292633
1200500,120050,-69.38081163727496,-9.771161659745133
1200609,120060,-71.44491647632735,-8.23947358471181
1200708,120070,-68.50480902601099,-10.575645754124162
1200807,120080,-67.69857524093932,-9.629485978698291
1300029,130002,-65.3242874145979,-3.6946491549014864
1300060,130006,-68.28649174434302,-3.418420481063399
1300086,130008,-61.71800373344999,-3.501870302253067
1300102,130010,-62.095128992420634,-4.198698570287243
1300144,130014,-59.432103322945494,-7.759555082835701
1300201,130020,-71.74023715104794,-5.711519471309416
1300300,130030,-59.52535255404362,-3.7872119805083955
1300409,130040,-63.434715479085554,-0.46506612138133957
1300508,130050,-57.172394834577,-3.128963570501518
1300607,130060,-70.2751682363927,-5.425703662549041
1300631,130063,-61.80403837352971,-4.6061939327257875
1300680,130068,-57.67011012555499,-3.137807089578188
1300706,130070,-68.04806200615417,-8.773161087711893
1300805,130080,-59.53493800831464,-4.95731476231611
1300839,130083,-61.87779481350952,-3.082042430200386
1300904,130090,-64.06189820594187,-7.299796629955525
1301001,130100,-67.33695224405822,-5.118411703920408
1301100,130110,-60.18319101099694,-3.770452270999758
1301159,130115,-59.59868663104282,-3.2860182048255058
1301209,130120,-64.12455208949444,-4.436036419090459
1301308,130130,-62.97379710543136,-3.28898576946773
1301407,130140,-70.2177665518861,-7.022031720320427
1301506,130150,-70.05497519823379,-7.573370085695972
1301605,130160,-66.35792172170004,-2.4910042550614198
1301654,130165,-72.84477656143848,-7.229926337690327
1301704,130170,-62.486328473398466,-7.360613140004137
1301803,130180,-71.41262570745084,-7.180520151489483
1301852,130185,-60.47976077450363,-3.0952487956163925
1301902,130190,-58.77544259125996,-3.1741189215161656
1301951,130195,-68.1127924550429,-6.683152530385512
1302009,130200,-58.61331049362115,-2.4972669231425133
1302108,130210,-68.32126086198879,-1.6971494232661235
1302207,130220,-66.30756209720447,-3.5243140056213207
1302306,130230,-68.403922087899,-4.714281698778969
1302405,130240,-65.81086153025285,-8.37515821946404
1302504,130250,-60.958789683960546,-3.29150034399019
1302553,130255,-60.69716718040853,-3.7790213702945086
1302603,130260,-60.25969861529485,-2.6258751650211494
1302702,130270,-61.44643925562115,-6.458208993928531
1302801,130280,-65.03995918095384,-2.4266934799222066
1302900,130290,-58.05990680643522,-4.983156315451908
1303007,130300,-57.65653063486676,-1.6805710655534902
1303106,130310,-58.59983927140258,-3.9894583301378623
