uf_code,uf_name,year,age_group,age_mid,age_lower,age_upper,population
11,3,2015,<1,0.5,0,0,28079
11,3,2015,1-4,2.5,1,4,107213
11,3,2015,5-9,7,5,9,137133
11,3,2015,10-11,10.5,10,11,57918
11,3,2015,12,12,12,12,29501
11,3,2015,13-17,15,13,17,157704
11,3,2015,18-19,18.5,18,19,63397
11,3,2015,20-24,22,20,24,156699
11,3,2015,25-29,27,25,29,153695
11,3,2015,30-34,32,30,34,149718
11,3,2015,35-39,37,35,39,134789
11,3,2015,40-44,42,40,44,117156
11,3,2015,45-49,47,45,49,105336
11,3,2015,50-54,52,50,54,89112
11,3,2015,55-59,57,55,59,69660
11,3,2015,60-64,62,60,64,51378
11,3,2015,65-69,67,65,69,35351
11,3,2015,70-74,72,70,74,23915
11,3,2015,75-79,77,75,79,15701
11,3,2015,80-84,82,80,84,8731
11,3,2015,85+,87,85,Inf,6077
11,3,2016,<1,0.5,0,0,27470
11,3,2016,1-4,2.5,1,4,109034
11,3,2016,5-9,7,5,9,135035
11,3,2016,10-11,10.5,10,11,57445
11,3,2016,12,12,12,12,29001
11,3,2016,13-17,15,13,17,155375
11,3,2016,18-19,18.5,18,19,63311
11,3,2016,20-24,22,20,24,157074
11,3,2016,25-29,27,25,29,154341
11,3,2016,30-34,32,30,34,151644
11,3,2016,35-39,37,35,39,138162
11,3,2016,40-44,42,40,44,119952
11,3,2016,45-49,47,45,49,107454
11,3,2016,50-54,52,50,54,92069
11,3,2016,55-59,57,55,59,72801
11,3,2016,60-64,62,60,64,54052
11,3,2016,65-69,67,65,69,37206
11,3,2016,70-74,72,70,74,24863
11,3,2016,75-79,77,75,79,16202
11,3,2016,80-84,82,80,84,9077
11,3,2016,85+,87,85,Inf,6343
11,3,2017,<1,0.5,0,0,27737
11,3,2017,1-4,2.5,1,4,109933
11,3,2017,5-9,7,5,9,134054
11,3,2017,10-11,10.5,10,11,56292
11,3,2017,12,12,12,12,28874
11,3,2017,13-17,15,13,17,152767
11,3,2017,18-19,18.5,18,19,63004
11,3,2017,20-24,22,20,24,157337
11,3,2017,25-29,27,25,29,155068
11,3,2017,30-34,32,30,34,152947
11,3,2017,35-39,37,35,39,141423
11,3,2017,40-44,42,40,44,123182
11,3,2017,45-49,47,45,49,109299
11,3,2017,50-54,52,50,54,94906
11,3,2017,55-59,57,55,59,76030
11,3,2017,60-64,62,60,64,56755
11,3,2017,65-69,67,65,69,39248
11,3,2017,70-74,72,70,74,25921
11,3,2017,75-79,77,75,79,16709
11,3,2017,80-84,82,80,84,9462
11,3,2017,85+,87,85,Inf,6630
11,3,2018,<1,0.5,0,0,28340
11,3,2018,1-4,2.5,1,4,110815
11,3,2018,5-9,7,5,9,133775
11,3,2018,10-11,10.5,10,11,55065
11,3,2018,12,12,12,12,28529
11,3,2018,13-17,15,13,17,150349
11,3,2018,18-19,18.5,18,19,62478
11,3,2018,20-24,22,20,24,157399
11,3,2018,25-29,27,25,29,155824
11,3,2018,30-34,32,30,34,153798
11,3,2018,35-39,37,35,39,144476
11,3,2018,40-44,42,40,44,126707
11,3,2018,45-49,47,45,49,111064
11,3,2018,50-54,52,50,54,97588
11,3,2018,55-59,57,55,59,79269
11,3,2018,60-64,62,60,64,59508
11,3,2018,65-69,67,65,69,41454
11,3,2018,70-74,72,70,74,27098
11,3,2018,75-79,77,75,79,17255
11,3,2018,80-84,82,80,84,9858
11,3,2018,85+,87,85,Inf,6940
11,3,2019,<1,0.5,0,0,28232
11,3,2019,1-4,2.5,1,4,111665
11,3,2019,5-9,7,5,9,134420
11,3,2019,10-11,10.5,10,11,54352
11,3,2019,12,12,12,12,27723
11,3,2019,13-17,15,13,17,146437
11,3,2019,18-19,18.5,18,19,63320
11,3,2019,20-24,22,20,24,157176
11,3,2019,25-29,27,25,29,156490
11,3,2019,30-34,32,30,34,154448
11,3,2019,35-39,37,35,39,147220
11,3,2019,40-44,42,40,44,130275
11,3,2019,45-49,47,45,49,113045
11,3,2019,50-54,52,50,54,100080
11,3,2019,55-59,57,55,59,82429
11,3,2019,60-64,62,60,64,62332
11,3,2019,65-69,67,65,69,43766
11,3,2019,70-74,72,70,74,28431
11,3,2019,75-79,77,75,79,17871
11,3,2019,80-84,82,80,84,10251
11,3,2019,85+,87,85,Inf,7262
11,3,2020,<1,0.5,0,0,28107
11,3,2020,1-4,2.5,1,4,111818
11,3,2020,5-9,7,5,9,135938
11,3,2020,10-11,10.5,10,11,53769
11,3,2020,12,12,12,12,27304
11,3,2020,13-17,15,13,17,143306
11,3,2020,18-19,18.5,18,19,62895
11,3,2020,20-24,22,20,24,156601
