uf_code,uf_name,year,<1,1-4,5-9,10-11,12-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
11,3,2015,28079,107213,137133,57918,187205,63397,156699,153695,149718,134789,117156,105336,89112,69660,51378,35351,23915,15701,8731,6077
11,3,2016,27470,109034,135035,57445,184376,63311,157074,154341,151644,138162,119952,107454,92069,72801,54052,37206,24863,16202,9077,6343
11,3,2017,27737,109933,134054,56292,181641,63004,157337,155068,152947,141423,123182,109299,94906,76030,56755,39248,25921,16709,9462,6630
11,3,2018,28340,110815,133775,55065,178878,62478,157399,155824,153798,144476,126707,111064,97588,79269,59508,41454,27098,17255,9858,6940
11,3,2019,28232,111665,134420,54352,174160,63320,157176,156490,154448,147220,130275,113045,100080,82429,62332,43766,28431,17871,10251,7262
11,3,2020,28107,111818,135938,53769,170610,62895,156601,156992,155050,149596,133711,115427,102378,85430,65251,46173,29910,18578,10632,7594
11,3,2021,27973,112453,137135,53193,168126,59964,157155,157352,155661,151496,137045,118182,104469,88302,68240,48643,31555,19369,11015,7950
11,3,2022,27811,112689,138287,53209,165856,58114,156129,157601,156358,152775,140268,121363,106297,91063,71315,51147,33360,20248,11412,8340
11,3,2023,27600,112165,139753,53797,163424,57497,153842,157652,157078,153612,143287,124829,108051,93677,74403,53696,35311,21231,11835,8751
11,3,2024,27361,111535,140485,54705,161647,57030,151279,157418,157713,154249,145999,128340,110013,96109,77420,56315,37356,22339,12310,9164
12,3,2015,17364,68056,89829,36943,110241,34150,77186,70477,67562,58985,47564,39590,30927,25017,19213,14017,10305,6619,4070,3550
12,3,2016,16485,68397,87963,37231,110696,35028,79106,71212,68305,60905,49466,41023,32255,25869,20024,14634,10719,6944,4203,3672
12,3,2017,16378,67472,86896,36870,111119,35711,81274,72163,68726,62699,51601,42318,33774,26691,20856,15337,11097,7318,4351,3806
12,3,2018,16919,66989,85208,36543,111402,36177,83539,73352,68978,64307,53854,43591,35405,27537,21702,16090,11481,7719,4526,3946
12,3,2019,16840,66728,84300,36164,110939,36712,85661,74790,69296,65654,56070,45005,37021,28493,22550,16867,11905,8116,4726,4098
12,3,2020,16768,66215,84864,34416,110453,37162,87475,76480,69833,66708,58117,46681,38523,29628,23392,17635,12405,8499,4963,4253
12,3,2021,16708,66506,84343,33339,109543,37236,89173,78398,70580,67465,60030,48564,39942,30926,24222,18407,12977,8864,5227,4426
12,3,2022,16647,66846,83323,33947,107768,36788,90497,80568,71538,67899,61820,50679,41222,32413,25023,19196,13626,9198,5533,4614
12,3,2023,16584,66585,83389,33801,105963,36616,91392,82828,72734,68169,63424,52910,42483,34003,25845,20003,14321,9539,5860,4819
12,3,2024,16516,66341,83061,33580,104511,36907,91590,84953,74171,68499,64772,55106,43879,35582,26774,20810,15036,9914,6179,5054
13,3,2015,83815,324323,399759,151959,481297,160320,370005,344440,325650,285605,232265,190848,154923,121774,90717,63507,44805,29423,17716,14589
13,3,2016,80540,328993,399254,155911,473973,163495,377636,348562,330031,294427,241599,197724,160728,126943,95132,66756,46507,30585,18336,15039
13,3,2017,80167,328679,399915,158690,468857,164111,386576,352971,333328,302629,251669,204653,166712,132154,99654,70384,48243,31866,18985,15569
13,3,2018,81770,326972,400870,159994,467404,162205,395428,357895,336043,310054,262062,211852,172876,137432,104277,74284,50125,33231,19681,16156
13,3,2019,81421,325126,402987,161328,465684,161606,402062,363618,338955,316498,272163,219634,179242,142800,109009,78301,52312,34633,20440,16778
13,3,2020,81033,322783,406968,160221,467508,159645,405227,370216,342570,321898,281555,228157,185820,148290,113860,82333,54887,36050,21274,17419
13,3,2021,80695,323306,408397,157830,471660,155121,407298,377753,346674,326283,290296,237366,192564,153920,118789,86446,57795,37511,22187,18104
13,3,2022,80368,323864,407743,158864,475795,151707,404509,386581,351066,329597,298431,247296,199368,159724,123769,90654,61043,39005,23193,18853
13,3,2023,80011,322497,407663,161622,477508,151750,398934,395317,355966,332335,305805,257545,206439,165706,128811,94968,64529,40628,24261,19665
13,3,2024,79638,321119,405494,164411,478742,155676,392144,401867,361647,335272,312215,267509,214083,171885,133945,99382,68119,42510,25362,20531
14,3,2015,10733,42198,51490,20414,63158,21134,49159,46164,45032,38186,30381,25421,21226,16441,12078,8410,5226,3301,1786,1390
14,3,2016,10854,42649,52265,19909,62994,21676,50625,47303,46088,40091,31902,26328,22008,17277,12744,8939,5574,3447,1872,1422
14,3,2017,11287,43329,52953,20295,62592,21964,53361,50407,48203,42992,34266,27778,23034,18317,13531,9520,6006,3604,1988,1458
14,3,2018,11700,44492,53732,21130,62412,22013,56903,55310,51815,46987,37579,29910,24412,19582,14473,10191,6506,3796,2122,1503
14,3,2019,12056,45744,54614,21680,62667,21966,59600,59768,55632,50842,41007,32196,25920,20829,15470,10886,7040,4025,2259,1560
14,3,2020,12326,47103,55499,21855,63459,21660,60916,63061,59214,54063,44208,34456,27439,21951,16481,11602,7566,4305,2386,1631
14,3,2021,12471,48439,56319,21967,64293,21368,61022,65306,62404,56626,47152,36671,28952,22971,17482,12320,8094,4632,2508,1716
14,3,2022,12514,49392,57306,22199,64647,21713,59760,66645,65072,58464,49847,38822,30397,23910,18477,13041,8615,4995,2635,1816
14,3,2023,12475,49953,58374,22425,65462,21579,58012,66894,66702,59745,52197,40908,31767,24833,19427,13784,9142,5385,2776,1929
14,3,2024,12392,50170,59423,22734,66440,20991,56768,66310,67482,60915,54200,42972,33146,25830,20315,14557,9686,5792,2942,2051
15,3,2015,147415,587334,793031,324783,998326,330665,780667,743184,703546,613695,510589,429138,345775,283769,220050,159555,116592,76069,44509,35883
15,3,2016,142732,584971,778195,324234,990311,334445,788440,746829,712595,631730,527590,442876,358107,292654,229329,166375,120499,79148,46216,37070
15,3,2017,141994,580205,762734,323692,981259,335229,798263,750413,718882,649269,545815,455929,371798,301199,238622,174151,124193,82531,48033,38423
15,3,2018,145363,577017,746554,320541,975052,332992,808431,754403,723191,665645,564792,468914,386325,309874,247827,182595,128025,86076,49975,39905
15,3,2019,144696,575857,735268,315477,969670,328904,816264,759451,726789,679935,583769,482866,400816,319387,256823,191274,132473,89594,52057,41495
15,3,2020,144068,573199,730890,305925,965186,324150,820147,765815,730538,691601,602204,498356,414768,330158,265574,199911,137809,93002,54279,43165
15,3,2021,143462,574574,723935,297843,957623,321381,819458,773692,734309,700687,620096,515141,428236,342126,274087,208561,143950,96329,56667,44967
15,3,2022,142863,576083,718509,293570,944489,320589,813943,783593,738016,707049,637510,533126,441052,355395,282291,217244,150930,99498,59291,46933
15,3,2023,142233,573632,718752,289067,930917,318629,806786,793834,742124,711454,653787,551846,453814,369475,290630,225849,158501,102799,62041,49049
15,3,2024,141551,571213,716995,288164,914074,318183,799734,801769,747276,715163,668004,570577,467518,383526,299770,234276,166276,106617,64772,51313
16,3,2015,16388,63334,80104,32073,100327,32269,76889,72281,66572,57021,47604,37675,29031,22643,16156,10470,7872,5036,3025,2646
16,3,2016,16261,63876,80368,31603,100665,32828,78468,73774,68299,59127,49532,39551,30491,23744,17271,11145,8120,5331,3180,2785
16,3,2017,16059,64807,80169,31793,100105,33258,80095,75211,69836,61321,51407,41504,32060,24815,18402,11986,8314,5668,3331,2943
16,3,2018,15942,65187,80117,31935,99671,33543,81694,76625,71249,63520,53269,43496,33724,25901,19534,12943,8521,6022,3488,3113
16,3,2019,15914,64784,80265,32594,98474,34356,83112,78066,72646,65598,55185,45478,35450,27085,20639,13961,8831,6336,3670,3287
16,3,2020,15869,64310,80576,32928,97792,34734,84256,79556,74096,67485,57193,47417,37231,28388,21721,14985,9294,6598,3877,3467
16,3,2021,15820,63918,80978,32579,97554,34424,85763,81083,75552,69183,59277,49317,39067,29812,22779,16023,9904,6816,4110,3654
16,3,2022,15780,63679,81691,31841,97543,34071,86651,82655,76951,70695,61444,51167,40987,31331,23811,17083,10656,6989,4379,3849
16,3,2023,15744,63514,81945,31663,98025,32991,87286,84203,78328,72083,63614,53006,42938,32952,24855,18140,11518,7172,4660,4052
