metric,value
juazeiro_incidence_per_capita,7.288801727245118e-4
ceara_state_incidence_per_capita,0.015541887902593858
juazeiro_over_ceara_ratio,0.04689778856292391
juazeiro_percentile_rank_among_ceara_munis,22.95081967213115
ceara_munis_p90_ratio_to_state,1.336699745260336
ceara_munis_p95_ratio_to_state,1.7159627124892767
ceara_munis_max_ratio_to_state,3.674442533386356
n_ceara_munis,184
high_q_mode_required_ratio,17
implied_relative_ascertainment_juazeiro_vs_state,0.0027587899153546713
required_fold_difference_in_ascertainment,362.5000000000001
