mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,1,-1225.35748898033,-4.213450955540878,-1.1422052928925523,-9.685167374978134,-1456.5047522131788,0.0490761383089933,0.2065472296131995
low_q,2,-1222.0130575567068,-4.234847682715213,-1.1455276099354386,-10.717657253430355,-1454.0800778941991,0.055165421019017016,0.21036621970175026
low_q,3,-1221.9918542438036,-4.372797668271545,-1.1432707268721347,-9.629538145026718,-1453.1746813714258,0.047183155743385025,0.22732954334133706
low_q,4,-1222.9157426086228,-4.282899606415498,-1.14294819435607,-9.446236110074315,-1453.6466510808295,0.052529840191314216,0.2201095665008817
low_q,5,-1224.2847280656074,-4.6660823910073645,-1.1646199316501076,-9.30373306941677,-1455.2397586648067,0.038797587578894864,0.24877766233547585
low_q,6,-1225.983747822581,-4.630798301283193,-1.1467052220160463,-9.840160675776533,-1457.6873727900227,0.04458978821429664,0.24384801466784714
low_q,7,-1224.8012173674242,-4.526823712513163,-1.146038261143054,-10.772605154165705,-1457.0196534538095,0.04497510726462306,0.23839073832758353
low_q,8,-1224.120812806158,-4.225054840874321,-1.1652242361858038,-9.441819833028523,-1454.9353382563827,0.03866599721163368,0.213724987353851
low_q,9,-1223.937508935384,-4.1969219605221895,-1.1421306637295159,-9.578165352125318,-1454.778981518418,0.05058850881253516,0.20235121145011148
low_q,10,-1225.9640589445078,-4.390003623634357,-1.1438109252730393,-10.687631439101217,-1458.118941773819,0.04662188391385617,0.23107363891199034
low_q,11,-1223.9999464783914,-4.2148391546107575,-1.1422412311560832,-9.522545670176466,-1454.8114487656053,0.04895127185614898,0.20792295991273807
low_q,12,-1226.3013741092482,-4.683612190973548,-1.1487927477480928,-9.375496673810947,-1457.3269821892163,0.05734439391534557,0.24675767732886375
low_q,13,-1221.7472833795332,-4.2028931943868315,-1.1439656004876237,-9.891742242427707,-1452.8451409376212,0.05377260441692818,0.19969613929035537
low_q,14,-1222.2668047595523,-4.7239379950228795,-1.161832681557106,-9.988665903203108,-1454.0659426197794,0.039434719142733284,0.25587418793966205
low_q,15,-1223.909097714547,-4.229116547009426,-1.1433004616404225,-12.64771112510576,-1458.0261998744786,0.053013681937113394,0.2088120086661494
low_q,16,-1225.7891416335167,-4.200586681387307,-1.1473500521549294,-9.423288698343885,-1456.5861886364385,0.05645857430893851,0.20572552822429924
low_q,17,-1228.7752411527968,-4.237707057840396,-1.1421005630937922,-9.881289034323327,-1460.0365888583458,0.050362191627740416,0.21179611258436024
low_q,18,-1223.8762618851142,-4.25947386028443,-1.148924315840458,-9.753687341508588,-1454.9825930448462,0.05742080657092169,0.18133630839446485
low_q,19,-1222.527274742454,-4.424724712489308,-1.1463224121469744,-11.429342403115879,-1455.5534961122776,0.04480687016447415,0.23392854274332542
low_q,20,-1220.9141129474012,-4.268641397022833,-1.14229134920408,-9.432397037396825,-1451.6016820383902,0.04879919071621798,0.2168216799611413
low_q,21,-1226.2777601544233,-4.829484582523662,-1.1445041793780184,-9.435583269786417,-1457.6408612484101,0.04602559241487313,0.2645427398066106
low_q,22,-1222.8358540115353,-4.237099296073353,-1.1431317356278698,-9.358376392155295,-1453.372319968152,0.05279163723517645,0.21071028655771007
low_q,23,-1225.5061072663916,-4.232427672185281,-1.1500976395975475,-9.556215728806666,-1456.3120719032743,0.05807603504318773,0.2123959425056479
low_q,24,-1224.9960962882087,-4.757167139058936,-1.1477201573150615,-9.57508755664152,-1456.305665068857,0.044058624111180646,0.25548693578326037
low_q,25,-1224.5790960257812,-4.214712260715999,-1.142118475029739,-9.743585539191077,-1455.5540608631843,0.05050897642278306,0.2082635710263356
low_q,26,-1227.7856901145435,-4.574325271886579,-1.1600838679519823,-9.656096745024362,-1459.2986039353914,0.03986322407361798,0.251249641131835
low_q,27,-1226.361458288372,-4.878931001019993,-1.1431691254746292,-10.021926469766584,-1458.5362788715697,0.04730301793860139,0.25806942684455353
low_q,28,-1225.202219013055,-4.295159269818697,-1.1438634199878255,-9.533651986251176,-1455.9221780626372,0.053665343929195225,0.17699227593976324
