statistic,value_induced,value_Beta_16.2_108.7
mean,0.129280803199014,0.1297445711562027
q10,0.09262462837967667,0.09276062586800109
q2.5,0.07728962660550627,0.07694852930878267
q25,0.10806499926084132,0.1085171426981159
q5,0.08418055251614866,0.08405762885943655
q50,0.12707755254545713,0.12775495217775495
q75,0.14811004442031309,0.14881726257180564
q90,0.1687856573324812,0.16929615264223852
q95,0.18193387506095485,0.18217251122612022
q97.5,0.19378220654801062,0.19380816423778285
sd,0.029871635587757142,0.029958692220030215
