draw,max_abs_diff_S,max_abs_diff_X
355,5.587935447692871e-8,1.4551915228366852e-10
844,6.891787052154541e-8,3.346940502524376e-10
374,6.05359673500061e-8,2.0372681319713593e-10
1360,5.494803190231323e-8,2.6193447411060333e-10
90,3.4458935260772705e-8,7.275957614183426e-11
1163,3.4458935260772705e-8,3.637978807091713e-11
41,5.494803190231323e-8,2.473825588822365e-10
128,4.6566128730773926e-8,1.6007106751203537e-10
1345,4.0978193283081055e-8,2.1827872842550278e-10
1541,4.377216100692749e-8,2.3283064365386963e-10
1116,5.587935447692871e-8,2.9103830456733704e-10
1217,4.190951585769653e-8,2.473825588822365e-10
292,3.632158041000366e-8,1.1641532182693481e-10
72,3.632158041000366e-8,6.548361852765083e-11
749,5.494803190231323e-8,1.8917489796876907e-10
740,4.0978193283081055e-8,4.3655745685100555e-11
914,3.632158041000366e-8,4.3655745685100555e-11
1207,5.681067705154419e-8,2.0372681319713593e-10
1575,4.377216100692749e-8,9.458744898438454e-11
1338,5.8673322200775146e-8,2.764863893389702e-10
1046,4.470348358154297e-8,2.0372681319713593e-10
1328,4.6566128730773926e-8,4.3655745685100555e-11
332,4.563480615615845e-8,4.3655745685100555e-11
488,5.4016709327697754e-8,2.1827872842550278e-10
538,4.0978193283081055e-8,7.275957614183426e-11
1506,5.3085386753082275e-8,2.1827872842550278e-10
691,4.842877388000488e-8,2.6193447411060333e-10
234,4.7497451305389404e-8,2.0372681319713593e-10
554,5.494803190231323e-8,3.4924596548080444e-10
758,2.9802322387695313e-08,1.1641532182693481e-10
492,4.936009645462036e-8,2.9103830456733704e-10
682,4.190951585769653e-8,1.4551915228366852e-10
1115,5.3085386753082275e-8,2.1827872842550278e-10
846,4.842877388000488e-8,5.093170329928398e-10
588,3.818422555923462e-8,8.731149137020111e-11
1600,5.681067705154419e-8,2.0372681319713593e-10
390,3.725290298461914e-8,5.820766091346741e-11
1313,5.3085386753082275e-8,2.1827872842550278e-10
851,5.774199962615967e-8,3.4924596548080444e-10
1462,5.494803190231323e-8,2.0372681319713593e-10
383,5.4016709327697754e-8,2.0372681319713593e-10
1501,4.7497451305389404e-8,1.4551915228366852e-10
1522,4.190951585769653e-8,2.6193447411060333e-10
1419,5.681067705154419e-8,3.2014213502407074e-10
40,3.632158041000366e-8,8.731149137020111e-11
508,4.190951585769653e-8,2.1827872842550278e-10
479,4.6566128730773926e-8,2.764863893389702e-10
1548,4.6566128730773926e-8,3.055902197957039e-10
1094,5.4016709327697754e-8,1.4551915228366852e-10
919,5.21540641784668e-8,2.1827872842550278e-10
130,5.3085386753082275e-8,1.7462298274040222e-10
100,3.3527612686157227e-8,8.731149137020111e-11
507,7.078051567077637e-8,2.473825588822365e-10
815,5.122274160385132e-8,1.3096723705530167e-10
1513,5.3085386753082275e-8,2.0372681319713593e-10
1206,3.166496753692627e-8,2.0372681319713593e-10
1037,4.470348358154297e-8,2.1827872842550278e-10
739,5.494803190231323e-8,3.055902197957039e-10
297,3.4458935260772705e-8,5.820766091346741e-11
330,5.029141902923584e-8,1.0186340659856796e-10
158,4.190951585769653e-8,2.3283064365386963e-10
433,4.7497451305389404e-8,2.0372681319713593e-10
1100,5.122274160385132e-8,1.3096723705530167e-10
626,5.029141902923584e-8,8.731149137020111e-11
169,4.7497451305389404e-8,3.7834979593753815e-10
475,5.029141902923584e-8,2.1827872842550278e-10
1381,5.494803190231323e-8,3.7834979593753815e-10
1325,4.377216100692749e-8,8.731149137020111e-11
150,7.450580596923828e-8,5.093170329928398e-10
1107,4.563480615615845e-8,1.3096723705530167e-10
735,6.05359673500061e-8,3.7834979593753815e-10
1076,4.190951585769653e-8,1.0186340659856796e-10
70,4.0046870708465576e-8,2.9103830456733704e-11
1510,5.494803190231323e-8,2.0372681319713593e-10
1379,4.284083843231201e-8,4.3655745685100555e-11
1113,5.4016709327697754e-8,8.731149137020111e-11
501,4.470348358154297e-8,1.7462298274040222e-10
270,2.7939677238464355e-8,1.6007106751203537e-10
412,3.259629011154175e-8,8.731149137020111e-11
1085,3.073364496231079e-8,2.0372681319713593e-10
85,4.6566128730773926e-8,2.6193447411060333e-10
406,4.6566128730773926e-8,3.055902197957039e-10
62,3.632158041000366e-8,2.1827872842550278e-10
686,5.8673322200775146e-8,2.0372681319713593e-10
223,3.259629011154175e-8,4.3655745685100555e-11
496,6.426125764846802e-8,3.92901711165905e-10
738,5.029141902923584e-8,1.8917489796876907e-10
1139,4.6566128730773926e-8,1.7462298274040222e-10
1264,4.563480615615845e-8,1.3096723705530167e-10
553,3.4458935260772705e-8,2.6193447411060333e-10
527,4.936009645462036e-8,1.6007106751203537e-10
767,5.122274160385132e-8,2.0372681319713593e-10
325,5.494803190231323e-8,3.7834979593753815e-10
1133,4.563480615615845e-8,1.6007106751203537e-10
82,4.470348358154297e-8,1.7462298274040222e-10
1247,5.8673322200775146e-8,1.3096723705530167e-10
1428,3.91155481338501e-8,1.6007106751203537e-10
942,4.470348358154297e-8,1.3096723705530167e-10
765,4.936009645462036e-8,1.6007106751203537e-10
1447,3.818422555923462e-8,1.0186340659856796e-10
95,5.587935447692871e-8,2.9103830456733704e-10
1596,4.377216100692749e-8,8.731149137020111e-11
693,5.029141902923584e-8,2.1827872842550278e-10
1544,3.5390257835388184e-8,7.275957614183426e-11
246,3.5390257835388184e-8,5.093170329928398e-11
880,4.7497451305389404e-8,3.055902197957039e-10
159,4.936009645462036e-8,5.820766091346741e-11
1550,2.9802322387695313e-08,1.6007106751203537e-10
1528,4.842877388000488e-8,3.346940502524376e-10
885,5.122274160385132e-8,1.3096723705530167e-10
777,5.21540641784668e-8,4.3655745685100555e-11
521,3.632158041000366e-8,5.820766091346741e-11
54,5.587935447692871e-8,2.9103830456733704e-10
304,5.21540641784668e-8,2.3283064365386963e-10
339,4.377216100692749e-8,2.0372681319713593e-10
741,6.51925802230835e-8,2.9103830456733704e-10
1459,4.6566128730773926e-8,2.764863893389702e-10
714,4.0046870708465576e-8,5.820766091346741e-11
127,5.960464477539063e-8,1.8917489796876907e-10
577,4.0978193283081055e-8,2.0372681319713593e-10
1306,4.470348358154297e-8,1.0186340659856796e-10
1409,2.8870999813079834e-8,1.4551915228366852e-10
1507,5.029141902923584e-8,2.6193447411060333e-10
1431,5.122274160385132e-8,3.055902197957039e-10
1478,2.9802322387695313e-08,1.6007106751203537e-10
5,5.21540641784668e-8,2.0372681319713593e-10
122,4.842877388000488e-8,2.3283064365386963e-10
322,4.563480615615845e-8,7.275957614183426e-11
1308,3.725290298461914e-8,2.6193447411060333e-10
422,5.960464477539063e-8,5.093170329928398e-10
1229,4.377216100692749e-8,4.3655745685100555e-11
1357,6.146728992462158e-8,2.1827872842550278e-10
928,3.4458935260772705e-8,4.3655745685100555e-11
404,5.494803190231323e-8,2.0372681319713593e-10
342,5.122274160385132e-8,2.3283064365386963e-10
873,4.936009645462036e-8,5.820766091346741e-11
37,5.681067705154419e-8,2.9103830456733704e-10
1356,6.891787052154541e-8,4.511093720793724e-10
770,4.7497451305389404e-8,2.764863893389702e-10
520,4.842877388000488e-8,2.6193447411060333e-10
1521,6.332993507385254e-8,2.764863893389702e-10
908,2.8870999813079834e-8,1.7462298274040222e-10
1140,2.9802322387695313e-08,2.0372681319713593e-10
981,6.146728992462158e-8,2.6193447411060333e-10
53,4.190951585769653e-8,1.1641532182693481e-10
1169,4.0046870708465576e-8,2.473825588822365e-10
424,5.587935447692871e-8,3.637978807091713e-10
892,5.21540641784668e-8,2.1827872842550278e-10
1489,7.171183824539185e-8,7.130438461899757e-10
3,5.494803190231323e-8,3.7834979593753815e-10
1434,4.563480615615845e-8,1.4551915228366852e-10
402,6.51925802230835e-8,2.3283064365386963e-10
742,3.91155481338501e-8,1.7462298274040222e-10
1219,4.190951585769653e-8,1.4551915228366852e-10
161,3.91155481338501e-8,2.0372681319713593e-10
133,3.818422555923462e-8,1.3096723705530167e-10
805,5.3085386753082275e-8,1.8917489796876907e-10
993,5.21540641784668e-8,1.1641532182693481e-10
750,4.470348358154297e-8,1.8917489796876907e-10
51,3.725290298461914e-8,7.275957614183426e-11
692,2.8870999813079834e-8,7.275957614183426e-11
1028,4.470348358154297e-8,1.8917489796876907e-10
1509,5.960464477539063e-8,2.6193447411060333e-10
1584,4.563480615615845e-8,1.6007106751203537e-10
1136,2.8870999813079834e-8,4.3655745685100555e-11
1400,5.21540641784668e-8,3.346940502524376e-10
1508,5.029141902923584e-8,1.4551915228366852e-10
480,5.21540641784668e-8,2.473825588822365e-10
1185,4.470348358154297e-8,1.3096723705530167e-10
1157,5.21540641784668e-8,2.6193447411060333e-10
687,4.284083843231201e-8,1.8917489796876907e-10
1394,5.4016709327697754e-8,2.0372681319713593e-10
847,4.7497451305389404e-8,1.6007106751203537e-10
1526,4.0046870708465576e-8,1.4551915228366852e-10
671,4.377216100692749e-8,1.6007106751203537e-10
