draw,pop_conservation_max_err_A,pop_conservation_max_err_B,pop_conservation_max_err_C,R0_identical_A_B,max_diff_lambda_A_C_before_vax
355,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
844,6.332993507385254e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
374,6.705522537231445e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1360,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
90,6.332993507385254e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1163,6.332993507385254e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
41,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
128,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1345,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1541,6.332993507385254e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
1116,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
1217,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
292,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
72,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
749,6.891787052154541e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
740,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
914,6.51925802230835e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
1207,6.705522537231445e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1575,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1338,6.332993507385254e-8,6.705522537231445e-8,6.891787052154541e-8,0,NA
1046,6.332993507385254e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1328,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
332,6.705522537231445e-8,6.891787052154541e-8,6.705522537231445e-8,0,NA
488,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
538,6.51925802230835e-8,6.146728992462158e-8,6.891787052154541e-8,0,NA
1506,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
691,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
234,6.51925802230835e-8,6.891787052154541e-8,6.332993507385254e-8,0,NA
554,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
758,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
492,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
682,6.146728992462158e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1115,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
846,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
588,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1600,6.705522537231445e-8,6.891787052154541e-8,6.51925802230835e-8,0,NA
390,6.705522537231445e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1313,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
851,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1462,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
383,6.51925802230835e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
1501,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1522,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1419,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
40,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
508,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
479,6.332993507385254e-8,6.705522537231445e-8,6.146728992462158e-8,0,NA
1548,6.146728992462158e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1094,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
919,7.078051567077637e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
130,6.51925802230835e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
100,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
507,6.332993507385254e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
815,6.705522537231445e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
1513,6.705522537231445e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1206,6.332993507385254e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1037,6.332993507385254e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
739,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
297,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
330,6.51925802230835e-8,6.332993507385254e-8,6.705522537231445e-8,0,NA
158,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
433,6.332993507385254e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1100,6.705522537231445e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
626,6.705522537231445e-8,6.705522537231445e-8,6.146728992462158e-8,0,NA
169,6.51925802230835e-8,6.891787052154541e-8,6.705522537231445e-8,0,NA
475,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1381,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
1325,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
150,6.705522537231445e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
1107,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
735,6.51925802230835e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1076,6.332993507385254e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
70,6.332993507385254e-8,6.891787052154541e-8,6.705522537231445e-8,0,NA
1510,6.705522537231445e-8,6.891787052154541e-8,6.51925802230835e-8,0,NA
1379,6.51925802230835e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
1113,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
501,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
270,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
412,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
1085,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
85,6.51925802230835e-8,6.891787052154541e-8,6.705522537231445e-8,0,NA
406,6.332993507385254e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
62,6.51925802230835e-8,6.705522537231445e-8,6.891787052154541e-8,0,NA
686,6.332993507385254e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
223,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
496,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
738,6.891787052154541e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1139,6.705522537231445e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1264,6.51925802230835e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
553,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
527,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
767,6.332993507385254e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
325,6.705522537231445e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1133,6.51925802230835e-8,6.332993507385254e-8,6.705522537231445e-8,0,NA
82,6.891787052154541e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1247,6.891787052154541e-8,7.078051567077637e-8,6.891787052154541e-8,0,NA
1428,6.51925802230835e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
942,6.332993507385254e-8,6.332993507385254e-8,6.705522537231445e-8,0,NA
765,6.705522537231445e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1447,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
95,6.51925802230835e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
1596,6.891787052154541e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
693,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1544,6.332993507385254e-8,6.332993507385254e-8,6.705522537231445e-8,0,NA
246,6.705522537231445e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
880,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
159,6.332993507385254e-8,6.51925802230835e-8,6.146728992462158e-8,0,NA
1550,6.51925802230835e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
1528,6.146728992462158e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
885,6.891787052154541e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
777,6.51925802230835e-8,6.332993507385254e-8,6.891787052154541e-8,0,NA
521,6.705522537231445e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
54,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
304,6.705522537231445e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
339,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
741,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1459,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
714,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
127,6.705522537231445e-8,6.332993507385254e-8,6.891787052154541e-8,0,NA
