draw,birth_cohort,n_years_vaccinated
3,2003,1
3,2004,1
3,2005,1
3,2006,1
3,2007,1
3,2008,1
3,2009,1
5,2003,1
5,2004,1
5,2005,1
5,2006,1
5,2007,1
5,2008,1
5,2009,1
8,2003,1
8,2004,1
8,2005,1
8,2006,1
8,2007,1
8,2008,1
8,2009,1
37,2003,1
37,2004,1
37,2005,1
37,2006,1
37,2007,1
37,2008,1
37,2009,1
40,2003,1
40,2004,1
40,2005,1
40,2006,1
40,2007,1
40,2008,1
40,2009,1
41,2003,1
41,2004,1
41,2005,1
41,2006,1
41,2007,1
41,2008,1
41,2009,1
51,2003,1
51,2004,1
51,2005,1
51,2006,1
51,2007,1
51,2008,1
51,2009,1
53,2003,1
53,2004,1
53,2005,1
53,2006,1
53,2007,1
53,2008,1
53,2009,1
54,2003,1
54,2004,1
54,2005,1
54,2006,1
54,2007,1
54,2008,1
54,2009,1
62,2003,1
62,2004,1
62,2005,1
62,2006,1
62,2007,1
62,2008,1
62,2009,1
70,2003,1
70,2004,1
70,2005,1
70,2006,1
70,2007,1
70,2008,1
70,2009,1
72,2003,1
72,2004,1
72,2005,1
72,2006,1
72,2007,1
72,2008,1
72,2009,1
80,2003,1
80,2004,1
80,2005,1
80,2006,1
80,2007,1
80,2008,1
80,2009,1
82,2003,1
82,2004,1
82,2005,1
82,2006,1
82,2007,1
82,2008,1
82,2009,1
85,2003,1
85,2004,1
85,2005,1
85,2006,1
85,2007,1
85,2008,1
85,2009,1
90,2003,1
90,2004,1
90,2005,1
90,2006,1
90,2007,1
90,2008,1
90,2009,1
94,2003,1
94,2004,1
94,2005,1
94,2006,1
94,2007,1
94,2008,1
94,2009,1
95,2003,1
95,2004,1
95,2005,1
95,2006,1
95,2007,1
95,2008,1
95,2009,1
100,2003,1
100,2004,1
100,2005,1
100,2006,1
100,2007,1
100,2008,1
100,2009,1
122,2003,1
122,2004,1
122,2005,1
122,2006,1
122,2007,1
122,2008,1
122,2009,1
127,2003,1
127,2004,1
127,2005,1
127,2006,1
127,2007,1
127,2008,1
127,2009,1
128,2003,1
128,2004,1
128,2005,1
128,2006,1
128,2007,1
128,2008,1
128,2009,1
130,2003,1
130,2004,1
130,2005,1
130,2006,1
130,2007,1
130,2008,1
130,2009,1
133,2003,1
133,2004,1
133,2005,1
133,2006,1
133,2007,1
133,2008,1
133,2009,1
150,2003,1
150,2004,1
150,2005,1
150,2006,1
150,2007,1
150,2008,1
150,2009,1
153,2003,1
153,2004,1
153,2005,1
153,2006,1
153,2007,1
153,2008,1
153,2009,1
158,2003,1
158,2004,1
158,2005,1
158,2006,1
158,2007,1
158,2008,1
158,2009,1
159,2003,1
159,2004,1
159,2005,1
159,2006,1
159,2007,1
159,2008,1
159,2009,1
161,2003,1
161,2004,1
161,2005,1
161,2006,1
161,2007,1
161,2008,1
161,2009,1
169,2003,1
169,2004,1
169,2005,1
169,2006,1
169,2007,1
169,2008,1
169,2009,1
188,2003,1
188,2004,1
188,2005,1
188,2006,1
188,2007,1
188,2008,1
188,2009,1
223,2003,1
223,2004,1
223,2005,1
223,2006,1
223,2007,1
223,2008,1
223,2009,1
234,2003,1
234,2004,1
234,2005,1
234,2006,1
234,2007,1
234,2008,1
234,2009,1
246,2003,1
246,2004,1
246,2005,1
246,2006,1
246,2007,1
246,2008,1
246,2009,1
270,2003,1
270,2004,1
270,2005,1
270,2006,1
270,2007,1
270,2008,1
270,2009,1
292,2003,1
292,2004,1
292,2005,1
292,2006,1
292,2007,1
292,2008,1
292,2009,1
297,2003,1
297,2004,1
297,2005,1
297,2006,1
297,2007,1
297,2008,1
297,2009,1
304,2003,1
304,2004,1
304,2005,1
304,2006,1
304,2007,1
304,2008,1
304,2009,1
322,2003,1
322,2004,1
322,2005,1
322,2006,1
322,2007,1
322,2008,1
322,2009,1
325,2003,1
325,2004,1
325,2005,1
325,2006,1
325,2007,1
325,2008,1
325,2009,1
330,2003,1
330,2004,1
330,2005,1
330,2006,1
330,2007,1
330,2008,1
330,2009,1
332,2003,1
332,2004,1
332,2005,1
332,2006,1
332,2007,1
332,2008,1
332,2009,1
339,2003,1
339,2004,1
339,2005,1
