draw,scenario,coverage,VE_infection,vaccination_start,vaccination_end,target_age,cumulative_eligible,cumulative_doses,cumulative_effectively_protected,infections_no_vaccine,infections_vaccine,infections_averted,reported_cases_no_vaccine,reported_cases_vaccine,reported_cases_averted,NNV_infection,NNV_reported_case,infections_direct_only_arm,direct_only_effect,indirect_effect,NNV_total_infection,NNV_direct_only_infection,NNV_indirect_infection
3,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248329,913032.0590248329,782431.6041796347,2544698.872217326,2035096.5629968846,509602.3092204414,127234.9436108663,101754.82814984424,25480.11546102207,1.791656047284271,35.83312094568542,2459163.8563835314,85535.0158337946,424067.2933866468,1.791656047284271,10.674365932181157,2.15303578762998
5,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,799500.5263263619,2305287.1869565975,1745484.033878922,559803.1530776755,115264.35934782989,87274.2016939461,27990.157653883776,1.6309877034546567,32.61975406909313,2227337.74776317,77949.43919342756,481853.71388424793,1.6309877034546567,11.713131851522254,1.8948324620450354
8,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248331,913032.0590248331,795406.7361418395,2348349.5246731816,1798987.0774940876,549362.447179094,117417.47623365908,89949.3538747044,27468.1223589547,1.6619848402691815,33.23969680538363,2269503.536355352,78845.98831782956,470516.4588612644,1.6619848402691815,11.579943108131069,1.9404890983718979
37,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248337,913032.0590248337,788466.8992938249,2464896.2819749922,1937485.688001681,527410.5939733114,123244.81409874962,96874.28440008406,26370.52969866557,1.7311598770635162,34.62319754127032,2381440.811983895,83455.46999109723,443955.12398221414,1.7311598770635162,10.940350094753923,2.0565863748458773
40,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248329,913032.0590248329,784829.0966684634,2470857.388696918,1928363.262071764,542494.1266251537,123542.8694348459,96418.16310358822,27124.706331257687,1.683026625015812,33.660532500316236,2388635.5050103134,82221.88368660444,460272.24293854926,1.683026625015812,11.104489681906713,1.983678296991573
41,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,788854.0960514226,2428063.4089291394,1889122.0017102882,538941.4072188511,121403.17044645698,94456.10008551442,26947.070360942558,1.6941211916457433,33.88242383291486,2346791.6935604443,81271.71536869509,457669.69185015606,1.6941211916457433,11.23431509822079,1.9949585373107168
51,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,792879.4847222995,2385251.7790545006,1838206.0321078845,547045.7469466161,119262.58895272504,91910.30160539423,27352.287347330806,1.669023229082764,33.38046458165528,2305206.106523919,80045.67253058171,467000.0744160344,1.669023229082764,11.40638875482003,1.9551004572462762
53,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,777440.8869051818,2598988.8386578704,2089948.104229712,509040.7344281585,129949.44193289353,104497.4052114856,25452.036721407927,1.7936326059455867,35.87265211891173,2511902.434130087,87086.4045277834,421954.3299003751,1.7936326059455867,10.484208918437394,2.1638172530197837
54,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,780753.0713529186,2566526.1508611497,2065445.5654159049,501080.5854452448,128326.30754305748,103272.27827079524,25054.02927226224,1.8221261919647942,36.44252383929589,2479850.846768716,86675.30409243377,414405.281352811,1.8221261919647942,10.53393545699179,2.203234611403295
62,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,781054.8863097708,2525926.994766853,1988688.7222547743,537238.2725120785,126296.34973834264,99434.43611273872,26861.913625603927,1.699491837682331,33.98983675364662,2442107.6309433077,83819.36382354517,453418.90868853335,1.699491837682331,10.892853600594368,2.013661189529309
