draw,NNV_infection,infections_averted,S_total_N_baseline,S_age12_N_baseline,S_0_11_N_baseline,S_65plus_N_baseline
3,1.791656047284271,509602.3092204414,1,1,1,1
5,1.6309877034546567,559803.1530776755,1,1,1,1
8,1.6619848402691815,549362.447179094,1,1,1,1
37,1.7311598770635162,527410.5939733114,1,1,1,1
40,1.683026625015812,542494.1266251537,1,1,1,1
41,1.6941211916457433,538941.4072188511,1,1,1,1
51,1.669023229082764,547045.7469466161,1,1,1,1
53,1.7936326059455867,509040.7344281585,1,1,1,1
54,1.8221261919647942,501080.5854452448,1,1,1,1
62,1.699491837682331,537238.2725120785,1,1,1,1
70,1.7261634815518325,528937.1886166958,1,1,1,1
72,1.672303781312487,545972.6092996404,1,1,1,1
80,1.6281498112473862,560778.8992865011,1,1,1,1
82,1.6760766246075098,544743.6266457327,1,1,1,1
85,1.853177023301536,492684.75032040756,1,1,1,1
90,1.8493123398845999,493714.36037776526,1,1,1,1
94,1.596632099802338,571848.7428242648,1,1,1,1
95,1.6582342560210082,550604.9918518064,1,1,1,1
100,1.9460677003661044,469167.67533476325,1,1,1,1
122,1.6523188234692088,552576.2014305633,1,1,1,1
127,1.6814665153301402,542997.4672112744,1,1,1,1
128,1.7329199315319301,526874.9250392073,1,1,1,1
130,1.7864987989301429,511073.4244946644,1,1,1,1
133,1.7486880562752924,522124.03221280803,1,1,1,1
150,1.7890366636312476,510348.4336489963,1,1,1,1
153,1.8045737416445684,505954.4190157377,1,1,1,1
158,1.6357765387372962,558164.2953074933,1,1,1,1
159,1.699865368504179,537120.2190137384,1,1,1,1
161,1.7164653188563392,531925.7249154188,1,1,1,1
169,1.712474985423173,533165.1947016399,1,1,1,1
188,1.7200909957997943,530804.5104906205,1,1,1,1
223,1.7073264091883509,534772.9960194787,1,1,1,1
234,1.8245481666958274,500415.43199064606,1,1,1,1
246,1.7043549576997765,535705.3440658133,1,1,1,1
270,1.7762635912872564,514018.33798955474,1,1,1,1
292,1.617491085328327,564474.2449010168,1,1,1,1
297,1.6961624371242456,538292.8185656737,1,1,1,1
304,1.7725670787793764,515090.27215690166,1,1,1,1
322,1.7588049866443178,519120.69044495793,1,1,1,1
325,1.7362708650642513,525858.0774440665,1,1,1,1
330,1.6770891703961,544414.7366410997,1,1,1,1
332,1.6710226130223926,546391.2049481035,1,1,1,1
339,2.1410288204876124,426445.4781215382,1,1,1,1
342,1.645092301537633,555003.5448901206,1,1,1,1
355,1.708811339827246,534308.2865526499,1,1,1,1
374,1.613254374751234,565956.6608431633,1,1,1,1
383,1.86357171322519,489936.63755750796,1,1,1,1
390,1.658019539159184,550676.2963045966,1,1,1,1
