metric,v4_0_td14,v4_1_q_only,ratio_q_only_over_v4_0
runtime_seconds,1478.0156469345093,1774.6738049983978,1.2007138142814489
median_treedepth,10,13,1.3
p95_treedepth,11,14,1.2727272727272727
td14_hits,0,106,Inf
median_n_leapfrog,1023,8191,8.006842619745846
p95_n_leapfrog,3071,16383,5.334744382937154
divergences,0,0,NA
BFMI_min,0.9257717779529218,0.6999326620953682,0.7560531426471739
BFMI_max,1.0826629064732072,1.118007218352706,1.032645721644453
max_Rhat,1.008971804530459,1.048109150343925,1.0387893354776938
min_bulk_ESS,480.8251104989475,77.6390932891592,0.16147054634603814
