"timestamp"	"stage"	"chain"	"n_rows"	"warmup_progress"	"sampling_progress"	"mtime"	"size_bytes"	"divergent_total"	"divergent_post_warmup"	"treedepth_median"	"treedepth_p90"	"treedepth_p95"	"treedepth_p99"	"treedepth_eq14_total"	"treedepth_eq14_post_warmup"	"n_leapfrog_median"	"n_leapfrog_p95"	"n_leapfrog_max"	"stepsize_last"	"accept_stat_median"
"2026-09-11 18:58:39"	"B"	1	65	"21.7%"	"0.0%"	"2026-09-11 18:58:34"	4045411	9	0	7	11	11.8	13.36	1	0	127	4095	16383	0.000105263	0.986883
"2026-09-11 18:58:39"	"B"	2	117	"39.0%"	"0.0%"	"2026-09-11 18:58:34"	7220726	7	0	3	11	12	12.84	1	0	7	4095	16383	0.000210451	0.9857
"2026-09-11 18:58:39"	"B"	3	114	"38.0%"	"0.0%"	"2026-09-11 18:58:38"	7061336	8	0	3.5	10	11.35	13	1	0	11	4095	16383	0.000441548	0.9929275
"2026-09-11 18:58:39"	"B"	4	257	"85.7%"	"0.0%"	"2026-09-11 18:58:40"	15784789	10	0	3	7	10.2	12.44	0	0	7	2047	15001	0.000430555	0.979322
"2026-09-11 18:59:55"	"B"	1	80	"26.7%"	"0.0%"	"2026-09-11 18:59:55"	4955512	9	0	8	13	14	14	5	0	451	16383	16383	5.96784e-05	0.9914465
"2026-09-11 18:59:55"	"B"	2	133	"44.3%"	"0.0%"	"2026-09-11 18:59:52"	8191859	7	0	4	12	13	14	6	0	15	11263	16383	0.000851516	0.987151
"2026-09-11 18:59:55"	"B"	3	132	"44.0%"	"0.0%"	"2026-09-11 18:59:54"	8153507	8	0	4	12	13	14	6	0	15	8651.79999999999	16383	0.000634707	0.990831
"2026-09-11 18:59:55"	"B"	4	288	"96.0%"	"0.0%"	"2026-09-11 18:59:52"	17666218	10	0	4	11	12	13	2	0	15	4427.79999999999	16383	0.000112606	0.97983
"2026-09-11 19:08:37"	"B"	1	205	"68.3%"	"0.0%"	"2026-09-11 19:08:35"	12540547	14	0	12	14	14	14	30	0	4095	16383	16383	0.000715847	0.991897
"2026-09-11 19:08:37"	"B"	2	261	"87.0%"	"0.0%"	"2026-09-11 19:08:37"	15959261	11	0	11	14	14	14	31	0	2047	16383	16383	0.000383691	0.988892
"2026-09-11 19:08:37"	"B"	3	257	"85.7%"	"0.0%"	"2026-09-11 19:08:39"	15738743	11	0	11	14	14	14	36	0	2047	16383	16383	0.000104352	0.990373
"2026-09-11 19:08:37"	"B"	4	435	"100.0%"	"90.0%"	"2026-09-11 19:08:42"	26586669	10	0	6	13	14	14	29	25	63	16383	16383	0.000382749	0.990796
"2026-09-11 19:11:45"	"B"	1	258	"86.0%"	"0.0%"	"2026-09-11 19:11:40"	15757022	17	0	12	14	14	14	34	0	4095	16383	16383	0.00012215	0.990817
"2026-09-11 19:11:45"	"B"	2	311	"100.0%"	"7.3%"	"2026-09-11 19:11:45"	18994069	11	0	12	14	14	14	33	0	4095	16383	16383	0.000480296	0.989543
"2026-09-11 19:11:45"	"B"	3	289	"96.3%"	"0.0%"	"2026-09-11 19:11:43"	17680530	11	0	11	14	14	14	47	0	4095	16383	16383	0.00021476	0.990762
"2026-09-11 19:11:45"	"B"	4	450	"100.0%"	"100.0%"	"2026-09-11 19:09:52"	27497171	10	0	6	13	14	14	35	31	63	16383	16383	0.000382749	0.9905315
"2026-09-11 19:16:58"	"B"	1	328	"100.0%"	"18.7%"	"2026-09-11 19:16:58"	20005454	17	0	12	14	14	14	44	3	6143	16383	16383	0.000368096	0.990817
"2026-09-11 19:16:58"	"B"	2	384	"100.0%"	"56.0%"	"2026-09-11 19:16:55"	23423915	11	0	12	13	14	14	37	4	4095	16383	16383	0.000480296	0.9910565
"2026-09-11 19:16:58"	"B"	3	344	"100.0%"	"29.3%"	"2026-09-11 19:16:57"	21018457	11	0	12	14	14	14	66	17	4095	16383	16383	0.000316123	0.9915135
"2026-09-11 19:16:58"	"B"	4	450	"100.0%"	"100.0%"	"2026-09-11 19:09:52"	27497171	10	0	6	13	14	14	35	31	63	16383	16383	0.000382749	0.9905315
