"timestamp"	"stage"	"chain"	"n_rows"	"warmup_progress"	"sampling_progress"	"mtime"	"size_bytes"	"divergent_total"	"divergent_post_warmup"	"treedepth_median"	"treedepth_p90"	"treedepth_p95"	"treedepth_p99"	"treedepth_eq14_total"	"treedepth_eq14_post_warmup"	"n_leapfrog_median"	"n_leapfrog_p95"	"n_leapfrog_max"	"stepsize_last"	"accept_stat_median"
"2026-09-11 21:35:47"	"B4"	1	8	"2.0%"	"0.0%"	"2026-09-11 21:35:39"	579904	4	0	10.5	12.6	13.3	13.86	1	0	1535	12799	16383	5.95425e-05	0.405321
"2026-09-11 21:35:47"	"B4"	2	13	"3.2%"	"0.0%"	"2026-09-11 21:35:46"	888432	5	0	11	12.8	13	13	0	0	2047	9010.2	10239	6.74357e-05	0.99578
"2026-09-11 21:35:47"	"B4"	3	19	"4.8%"	"0.0%"	"2026-09-11 21:35:47"	1256747	3	0	10	12	12.1	12.82	0	0	2047	4504.59999999999	8191	0.000124274	0.973933
"2026-09-11 21:35:47"	"B4"	4	31	"7.8%"	"0.0%"	"2026-09-11 21:35:47"	1990988	7	0	9	11	11	11.7	0	0	1023	3583	4607	6.67355e-05	0.981538
"2026-09-11 21:38:51"	"B4"	1	51	"12.8%"	"0.0%"	"2026-09-11 21:38:50"	3191378	4	0	12	14	14	14	9	0	6143	16383	16383	2.93739e-05	0.978572
"2026-09-11 21:38:51"	"B4"	2	61	"15.2%"	"0.0%"	"2026-09-11 21:38:47"	3805817	6	0	12	13	14	14	4	0	4095	16383	16383	2.75717e-05	0.983421
"2026-09-11 21:38:51"	"B4"	3	67	"16.8%"	"0.0%"	"2026-09-11 21:38:50"	4173568	6	0	12	13	14	14	6	0	4095	16383	16383	5.77183e-05	0.984673
"2026-09-11 21:38:51"	"B4"	4	83	"20.8%"	"0.0%"	"2026-09-11 21:38:49"	5151947	8	0	11	13	14	14	7	0	2047	16383	16383	5.283e-05	0.979778
"2026-09-11 21:44:06"	"B4"	1	242	"60.5%"	"0.0%"	"2026-09-11 21:44:06"	14791580	6	0	11	13	14	14	18	0	2047	16383	16383	0.00359542	0.9889945
"2026-09-11 21:44:06"	"B4"	2	236	"59.0%"	"0.0%"	"2026-09-11 21:44:08"	14434373	11	0	10.5	13	14	14	15	0	2047	16383	16383	0.00505543	0.986082
"2026-09-11 21:44:06"	"B4"	3	343	"85.8%"	"0.0%"	"2026-09-11 21:44:09"	20936305	9	0	10	12	13	14	16	0	1023	16383	16383	0.00594444	0.986865
"2026-09-11 21:44:06"	"B4"	4	600	"100.0%"	"100.0%"	"2026-09-11 21:43:35"	36554561	13	0	9	11	12	14	9	0	511	4095	16383	0.00684449	0.9855585
