checkpoint,checkpoint_date,age_group,population,S_prop_median,S_prop_lo95,S_prop_hi95,immune_prop_median,cumulative_infection_prop_median
Baseline (start),2015-01-04,0-4,638368,1,1,1,0,0
Baseline (start),2015-01-04,5-9,670900,1,1,1,0,0
Baseline (start),2015-01-04,10-19,1557455,1,1,1,0,0
Baseline (start),2015-01-04,20-39,2982633,1,1,1,0,0
Baseline (start),2015-01-04,40-59,1915515,1,1,1,0,0
Baseline (start),2015-01-04,60+,1022508,1,1,1,0,0
Before 2017 epidemic,2017-02-05,0-4,632252,0.933098329657615,0.9251323848566655,0.9414962016963497,0.06690167034238506,0.06690167034238506
Before 2017 epidemic,2017-02-05,5-9,640966,0.9252596137222785,0.9159850621550834,0.9347826825520509,0.07474038627772144,0.07474038627772144
Before 2017 epidemic,2017-02-05,10-19,1462647,0.9252586410856858,0.9159839104262358,0.9347818335561975,0.07474135891431419,0.07474135891431419
Before 2017 epidemic,2017-02-05,20-39,3020877,0.9252586760256287,0.9159839520831308,0.9347818634587419,0.0747413239743712,0.0747413239743712
Before 2017 epidemic,2017-02-05,40-59,2000595,0.9252586903986886,0.9159839692185747,0.9347818757606313,0.07474130960131134,0.07474130960131134
Before 2017 epidemic,2017-02-05,60+,1146437,0.9252587695660601,0.9159840635017678,0.9347819436165743,0.07474123043393985,0.07474123043393985
After 2017 epidemic,2018-12-16,0-4,632146,0.8281995297746612,0.8100423871365569,0.8416500795557033,0.17180047022533884,0.17180047022533884
After 2017 epidemic,2018-12-16,5-9,623532,0.7317373756580443,0.7050622136565069,0.7520362484243429,0.26826262434195575,0.26826262434195575
After 2017 epidemic,2018-12-16,10-19,1382061,0.7307649349293202,0.7040475318442434,0.7510917857789946,0.2692350650706799,0.2692350650706799
After 2017 epidemic,2018-12-16,20-39,3029003,0.7307657628987834,0.7040484454539859,0.7510925422812235,0.2692342371012168,0.2692342371012168
After 2017 epidemic,2018-12-16,40-59,2070639,0.7307664800326694,0.7040492190392544,0.7510932155435005,0.2692335199673306,0.2692335199673306
After 2017 epidemic,2018-12-16,60+,1266403,0.7307718535934562,0.7040550174547369,0.7510982583108724,0.2692281464065438,0.2692281464065438
Before 2022 seed/epidemic,2021-12-26,0-4,614103,0.9451205476297149,0.939365295938796,0.9491482136816378,0.05487945237028506,0.05487945237028506
Before 2022 seed/epidemic,2021-12-26,5-9,609651,0.7656985507480911,0.7428368015205726,0.7833017993857896,0.23430144925190893,0.23430144925190893
Before 2022 seed/epidemic,2021-12-26,10-19,1279668,0.7230445754370178,0.6968684873961947,0.7436234929662324,0.2769554245629823,0.2769554245629823
Before 2022 seed/epidemic,2021-12-26,20-39,2985836,0.7225707274320579,0.6963680343976382,0.743176838245931,0.27742927256794214,0.27742927256794214
Before 2022 seed/epidemic,2021-12-26,40-59,2171750,0.7225767738353226,0.6963746186584977,0.7431824492110625,0.2774232261646772,0.2774232261646772
Before 2022 seed/epidemic,2021-12-26,60+,1484817,0.7226325997615224,0.6964354539510356,0.7432342378081995,0.2773674002384775,0.2773674002384775
After 2022 epidemic,2023-12-17,0-4,582771,0.8716145193124673,0.8456593562455086,0.886533344505865,0.12838548068753272,0.12838548068753272
After 2022 epidemic,2023-12-17,5-9,603098,0.6986041361400057,0.6679082942052158,0.7237638913636273,0.3013958638599943,0.3013958638599943
After 2022 epidemic,2023-12-17,10-19,1231419,0.6084687448144555,0.5753205254417796,0.6409669214996785,0.39153125518554455,0.39153125518554455
After 2022 epidemic,2023-12-17,20-39,2926812,0.6046155327261817,0.5712117128786334,0.6372885349771115,0.39538446727381826,0.39538446727381826
After 2022 epidemic,2023-12-17,40-59,2231227,0.604625915985846,0.5712227535937984,0.6372983184146352,0.39537408401415397,0.39537408401415397
After 2022 epidemic,2023-12-17,60+,1638421,0.6047311597346854,0.5713366222563511,0.6373992271329787,0.39526884026531456,0.39526884026531456
End of simulation,2025-12-21,0-4,549802,0.9385017924627121,0.925315922408104,0.94603267190320806,0.061498207537287866,0.061498207537287866
End of simulation,2025-12-21,5-9,590380,0.7620760804215878,0.7302543832843176,0.7842869894790034,0.23792391957841225,0.23792391957841225
End of simulation,2025-12-21,10-19,1195815,0.6172667572147554,0.584834531115871,0.6492204858557639,0.3827332427852446,0.3827332427852446
End of simulation,2025-12-21,20-39,2853261,0.600878098383554,0.5673500510323759,0.6337586798263554,0.39912190161644595,0.39912190161644595
End of simulation,2025-12-21,40-59,2292337,0.6008971520978217,0.567370583321466,0.6337763040129781,0.3991028479021782,0.3991028479021782
End of simulation,2025-12-21,60+,1803060,0.6010990447536038,0.5675857333425179,0.6339653427753321,0.39890095524639624,0.39890095524639624
