year,observed,pred_base,pred_climate,ratio_base,ratio_climate
2015,25,36,35,1.44,1.4
2016,30862,29477.5,29383,0.9551390058972199,0.9520769878815372
2017,107421,88709.5,88698.5,0.8258115266102531,0.8257091257761517
2018,1454,1408,1391,0.9683631361760661,0.9566712517193948
2019,1202,1168,1178,0.9717138103161398,0.9800332778702163
2020,1013,1018,1002,1.0049358341559724,0.9891411648568608
2021,1318,1362,1347,1.0333839150227617,1.0220030349013658
2022,50986,52934.5,52514,1.0382163731220335,1.0299690111010866
2023,2017,2096,2104.5,1.0391670798215171,1.0433812592959841
2024,890,841,843.5,0.9449438202247191,0.947752808988764
2025,679,671,676,0.9882179675994109,0.9955817378497791
