week_start,t,Inew_age12_diff,Inew_0_11_diff,Inew_65plus_diff,X_total_diff
2015-01-04,1,0,0,0,0
2015-01-11,2,0,0,0,0
2015-01-18,3,0,0,0,0
2015-01-25,4,0,0,0,0
2015-02-01,5,0,0,0,0
2015-02-08,6,0,0,0,0
2015-02-15,7,0,0,0,0
2015-02-22,8,0,0,0,0
2015-03-01,9,0,0,0,0
2015-03-08,10,0,0,0,0
2015-03-15,11,0,0,0,0
2015-03-22,12,0,0,0,0
2015-03-29,13,0,0,0,0
2015-04-05,14,0,0,0,0
2015-04-12,15,0,0,0,0
2015-04-19,16,0,0,0,0
2015-04-26,17,0,0,0,0
2015-05-03,18,0,0,0,0
2015-05-10,19,0,0,0,0
2015-05-17,20,0,0,0,0
2015-05-24,21,0,0,0,0
2015-05-31,22,0,0,0,0
2015-06-07,23,0,0,0,0
2015-06-14,24,0,0,0,0
2015-06-21,25,0,0,0,0
2015-06-28,26,0,0,0,0
2015-07-05,27,0,0,0,0
2015-07-12,28,0,0,0,0
2015-07-19,29,0,0,0,0
2015-07-26,30,0,0,0,0
2015-08-02,31,0,0,0,0
2015-08-09,32,0,0,0,0
2015-08-16,33,0,0,0,0
2015-08-23,34,0,0,0,0
2015-08-30,35,0,0,0,0
2015-09-06,36,0,0,0,0
2015-09-13,37,0,0,0,0
2015-09-20,38,0,0,0,0
2015-09-27,39,0,0,0,0
2015-10-04,40,0,0,0,0
2015-10-11,41,0,0,0,0
2015-10-18,42,0,0,0,0
2015-10-25,43,0,0,0,0
2015-11-01,44,0,0,0,0
2015-11-08,45,0,0,0,0
2015-11-15,46,0,0,0,0
2015-11-22,47,0,0,0,0
2015-11-29,48,0,0,0,0
2015-12-06,49,0,0,0,0
2015-12-13,50,0,0,0,0
2015-12-20,51,0,0,0,0
2015-12-27,52,0,0,0,0
2016-01-03,53,0,0,0,0
2016-01-10,54,0,0,0,0
2016-01-17,55,0,0,0,0
2016-01-24,56,0,0,0,0
2016-01-31,57,0,0,0,0
2016-02-07,58,0,0,0,0
2016-02-14,59,0,0,0,0
2016-02-21,60,0,0,0,0
2016-02-28,61,0,0,0,0
2016-03-06,62,0,0,0,0
2016-03-13,63,0,0,0,0
2016-03-20,64,0,0,0,0
2016-03-27,65,0,0,0,0
2016-04-03,66,0,0,0,0
2016-04-10,67,0,0,0,0
2016-04-17,68,0,0,0,0
2016-04-24,69,0,0,0,0
2016-05-01,70,0,0,0,0
2016-05-08,71,0,0,0,0
2016-05-15,72,0,0,0,0
2016-05-22,73,0,0,0,0
2016-05-29,74,0,0,0,0
2016-06-05,75,0,0,0,0
2016-06-12,76,0,0,0,0
2016-06-19,77,0,0,0,0
2016-06-26,78,0,0,0,0
2016-07-03,79,0,0,0,0
2016-07-10,80,0,0,0,0
2016-07-17,81,0,0,0,0
2016-07-24,82,0,0,0,0
2016-07-31,83,0,0,0,0
2016-08-07,84,0,0,0,0
2016-08-14,85,0,0,0,0
2016-08-21,86,0,0,0,0
2016-08-28,87,0,0,0,0
2016-09-04,88,0,0,0,0
2016-09-11,89,0,0,0,0
2016-09-18,90,0,0,0,0
2016-09-25,91,0,0,0,0
2016-10-02,92,0,0,0,0
2016-10-09,93,0,0,0,0
2016-10-16,94,0,0,0,0
2016-10-23,95,0,0,0,0
2016-10-30,96,0,0,0,0
2016-11-06,97,0,0,0,0
2016-11-13,98,0,0,0,0
2016-11-20,99,0,0,0,0
2016-11-27,100,0,0,0,0
2016-12-04,101,0,0,0,0
2016-12-11,102,0,0,0,0
2016-12-18,103,0,0,0,0
2016-12-25,104,0,0,0,0
2017-01-01,105,0,0,0,0
2017-01-08,106,0,0,0,0
2017-01-15,107,0,0,0,0
2017-01-22,108,0,0,0,0
2017-01-29,109,0,0,0,0
2017-02-05,110,0,0,0,0
2017-02-12,111,0,0,0,0
2017-02-19,112,0,0,0,0
2017-02-26,113,0,0,0,0
2017-03-05,114,0,0,0,0
2017-03-12,115,0,0,0,0
2017-03-19,116,0,0,0,0
2017-03-26,117,0,0,0,0
2017-04-02,118,0,0,0,0
2017-04-09,119,0,0,0,0
2017-04-16,120,0,0,0,0
2017-04-23,121,0,0,0,0
2017-04-30,122,0,0,0,0
2017-05-07,123,0,0,0,0
2017-05-14,124,0,0,0,0
2017-05-21,125,0,0,0,0
2017-05-28,126,0,0,0,0
2017-06-04,127,0,0,0,0
2017-06-11,128,0,0,0,0
2017-06-18,129,0,0,0,0
2017-06-25,130,0,0,0,0
2017-07-02,131,0,0,0,0
2017-07-09,132,0,0,0,0
2017-07-16,133,0,0,0,0
