birth_cohort,calendar_year_turning_12,eligible_population,doses,effective_immunisations,n_weeks_vaccinated
2014,2026,117246.89650761444,105522.20685685301,54844.839546199284,52
2015,2027,116614.71300899751,104953.24170809776,56642.87299600908,52
2016,2028,117965.77881048925,106169.20092944033,59697.608439045565,53
2017,2029,114498.28322972634,103048.4549067537,60459.51941353789,52
2018,2030,112854.08030290375,101568.67227261339,62211.85309066436,52
2019,2031,110846.59699966114,99761.93729969503,63809.159941273356,52
2020,2032,108610.5581203204,97749.50230828837,65232.23644400914,52
2021,2033,106326.16856623319,95693.55170960986,66472.00350670496,52
2022,2034,106152.34411756996,95537.10970581297,68838.53460083966,53
2023,2035,102236.00867003332,92012.40780302999,68436.97592596468,52
2024,2036,100672.04521003146,90604.84068902831,69179.16497696146,52
2025,2037,99449.82911049109,89504.84619944199,69800.37597319449,52
2026,2038,98540.57796030036,88686.52016427032,70323.55005170305,52
2027,2039,97893.18558055286,88103.86702249758,70767.16736779848,52
2028,2040,99320.72772582118,89388.65495323906,72516.0669323936,53
2029,2041,97152.53233904665,87437.27910514199,71470.59393933088,52
2030,2042,96966.5910581961,87269.93195237649,71739.36854224902,52
2031,2043,96850.94406034646,87165.84965431181,71962.7580694194,52
2032,2044,96780.8586235599,87102.77276120392,72145.7278598626,52
2033,2045,98599.47240966726,88739.52516870054,73684.96294841725,53
2034,2046,96715.00600851965,87043.50540766769,72413.43960641886,52
2035,2047,96701.5114370998,87031.36029338984,72506.5737005716,52
2036,2048,96693.98913675486,87024.59022307937,72580.46302796564,52
2037,2049,96689.8657808994,87020.87920280946,72639.56978909147,52
2038,2050,87390.81208402893,78651.73087562603,65696.64946375492,47
