year,observed_cases,expected_cases_q025,expected_cases_median,expected_cases_q975,infections_q025,infections_median,infections_q975,S_start_median,S_end_median,annual_attack_median
2015,25,96.45247463168245,121.66632137156046,151.8171247437697,964.5247457968244,1216.6632131956044,1518.171246917697,1,0.9998668457969271,1.384557483446187e-4
2016,30862,21689.260592510072,26470.726091534874,32051.07612697417,216892.60592458074,264707.26091482874,320510.76126922166,0.9998629931218335,0.9725732147441276,0.029926809564681127
2017,107421,87038.8761780643,112420.22047912786,147895.2467448425,870388.7617801129,1124202.2047907484,1478952.467447895,0.9701889074300013,0.8458288254081521,0.12633074239436828
2018,1454,2246.0032768619176,2707.8007291938684,3282.7275867401954,22460.032768099172,27078.007291418682,32827.27586688196,0.8458460201688456,0.8449639100504345,0.003024974233510642
2019,1202,1160.363035189841,1387.5471369556885,1676.145897444157,11603.63035137841,13875.471369036884,16761.45897392157,0.844995702177057,0.845622056869505,0.00154049003149172
2020,1013,969.1780347053841,1163.865983036309,1419.951437184985,9691.780346533842,11638.65982984309,14199.51437132985,0.8456513706738663,0.8464697639737337,0.0012841939102863616
2021,1318,4159.482767873973,5012.571114082584,6175.84585230198,41594.827678219735,50125.71114030584,61758.45852249979,0.8464992364467213,0.8430877889804154,0.0055025067618415646
2022,50986,20955.65209808887,24516.43417320194,28957.610873477486,209556.52098036872,245164.34173149936,289576.10873425484,0.8429424990182406,0.8182095442270452,0.02680426824368826
2023,2017,4230.176927108919,5314.669869965131,6724.784380914448,42301.76927055919,53146.698699121305,67247.84380861447,0.8181627834978429,0.8145152234826172,0.005789430961546188
2024,890,670.1481749424934,812.2736782625841,982.0987022509839,6701.481748904933,8122.7367821058415,9820.98702198984,0.8145483628160826,0.8157129206161564,8.813856529326413e-4
2025,679,672.9416358542376,828.2719948419643,1026.613183492568,6729.416358032375,8282.719947909643,10266.131834415679,0.8157441122353746,0.8169480559894957,8.952572835528289e-4
