muni6,name_muni,cumulative_cases,population_at_checkpoint,checkpoint,cumulative_reported_incidence,q,A_i
290010,Abaíra,0,7301,2022-12-31,0,0.05,0
290010,Abaíra,0,7301,2022-12-31,0,0.1,0
290010,Abaíra,0,7301,2022-12-31,0,0.136,0
290010,Abaíra,0,7301,2022-12-31,0,0.15,0
290010,Abaíra,0,7301,2022-12-31,0,0.2,0
290010,Abaíra,0,7301,2022-12-31,0,0.25,0
290010,Abaíra,0,7301,2022-12-31,0,0.3,0
290010,Abaíra,0,7301,2022-12-31,0,0.359,0
290010,Abaíra,0,8710,2020-12-31,0,0.05,0
290010,Abaíra,0,8710,2020-12-31,0,0.1,0
290010,Abaíra,0,8710,2020-12-31,0,0.136,0
290010,Abaíra,0,8710,2020-12-31,0,0.15,0
290010,Abaíra,0,8710,2020-12-31,0,0.2,0
290010,Abaíra,0,8710,2020-12-31,0,0.25,0
290010,Abaíra,0,8710,2020-12-31,0,0.3,0
290010,Abaíra,0,8710,2020-12-31,0,0.359,0
290010,Abaíra,0,8767,2018-12-31,0,0.05,0
290010,Abaíra,0,8767,2018-12-31,0,0.1,0
290010,Abaíra,0,8767,2018-12-31,0,0.136,0
290010,Abaíra,0,8767,2018-12-31,0,0.15,0
290010,Abaíra,0,8767,2018-12-31,0,0.2,0
290010,Abaíra,0,8767,2018-12-31,0,0.25,0
290010,Abaíra,0,8767,2018-12-31,0,0.3,0
290010,Abaíra,0,8767,2018-12-31,0,0.359,0
290010,Abaíra,0,9199,2017-12-31,0,0.05,0
290010,Abaíra,0,9199,2017-12-31,0,0.1,0
290010,Abaíra,0,9199,2017-12-31,0,0.136,0
290010,Abaíra,0,9199,2017-12-31,0,0.15,0
290010,Abaíra,0,9199,2017-12-31,0,0.2,0
290010,Abaíra,0,9199,2017-12-31,0,0.25,0
290010,Abaíra,0,9199,2017-12-31,0,0.3,0
290010,Abaíra,0,9199,2017-12-31,0,0.359,0
290010,Abaíra,0,9212,2016-12-31,0,0.05,0
290010,Abaíra,0,9212,2016-12-31,0,0.1,0
290010,Abaíra,0,9212,2016-12-31,0,0.136,0
290010,Abaíra,0,9212,2016-12-31,0,0.15,0
290010,Abaíra,0,9212,2016-12-31,0,0.2,0
290010,Abaíra,0,9212,2016-12-31,0,0.25,0
290010,Abaíra,0,9212,2016-12-31,0,0.3,0
290010,Abaíra,0,9212,2016-12-31,0,0.359,0
290010,Abaíra,3,7407,2025-12-21,4.050222762251924e-4,0.05,0.008100445524503848
290010,Abaíra,3,7407,2025-12-21,4.050222762251924e-4,0.1,0.004050222762251924
