final_model_stratum,cases_in_wave,wave_id,wave_order,total_wave_cases,share_of_wave
1_Recife,5862,PE_wave_03,1,15849,0.36986560666288093
2_Metropolitana_remainder,5225,PE_wave_03,1,15849,0.32967379645403494
3_Agreste,3652,PE_wave_03,1,15849,0.23042463246892547
5_Vale_Sao_Francisco_Araripe,831,PE_wave_03,1,15849,0.0524323301154647
4_Sertao,279,PE_wave_03,1,15849,0.017603634298693924
1_Recife,312,PE_wave_04,2,655,0.4763358778625954
2_Metropolitana_remainder,238,PE_wave_04,2,655,0.36335877862595417
3_Agreste,50,PE_wave_04,2,655,0.07633587786259542
4_Sertao,31,PE_wave_04,2,655,0.04732824427480916
5_Vale_Sao_Francisco_Araripe,24,PE_wave_04,2,655,0.0366412213740458
1_Recife,772,PE_wave_05,3,1360,0.5676470588235294
2_Metropolitana_remainder,391,PE_wave_05,3,1360,0.2875
3_Agreste,113,PE_wave_05,3,1360,0.08308823529411764
4_Sertao,50,PE_wave_05,3,1360,0.03676470588235294
5_Vale_Sao_Francisco_Araripe,34,PE_wave_05,3,1360,0.025
1_Recife,2066,PE_wave_06,4,3005,0.6875207986688852
2_Metropolitana_remainder,689,PE_wave_06,4,3005,0.22928452579034941
3_Agreste,96,PE_wave_06,4,3005,0.03194675540765391
4_Sertao,96,PE_wave_06,4,3005,0.03194675540765391
5_Vale_Sao_Francisco_Araripe,58,PE_wave_06,4,3005,0.01930116472545757
1_Recife,12448,PE_wave_07,5,19846,0.6272296684470422
2_Metropolitana_remainder,6765,PE_wave_07,5,19846,0.3408747354630656
3_Agreste,472,PE_wave_07,5,19846,0.023783130101783734
5_Vale_Sao_Francisco_Araripe,92,PE_wave_07,5,19846,0.004635694850347677
4_Sertao,69,PE_wave_07,5,19846,0.0034767711377607577
5_Vale_Sao_Francisco_Araripe,8189,PE_wave_08,6,12994,0.630213944897645
2_Metropolitana_remainder,1506,PE_wave_08,6,12994,0.11589964599045713
3_Agreste,1451,PE_wave_08,6,12994,0.11166692319532091
1_Recife,1037,PE_wave_08,6,12994,0.07980606433738649
4_Sertao,811,PE_wave_08,6,12994,0.062413421579190394
1_Recife,361,PE_wave_09,7,777,0.4646074646074646
2_Metropolitana_remainder,249,PE_wave_09,7,777,0.3204633204633205
3_Agreste,96,PE_wave_09,7,777,0.12355212355212356
5_Vale_Sao_Francisco_Araripe,39,PE_wave_09,7,777,0.05019305019305019
4_Sertao,32,PE_wave_09,7,777,0.04118404118404118
1_Recife,996,PE_wave_10,8,2209,0.450882752376641
2_Metropolitana_remainder,898,PE_wave_10,8,2209,0.406518786781349
5_Vale_Sao_Francisco_Araripe,156,PE_wave_10,8,2209,0.07062019013128112
3_Agreste,90,PE_wave_10,8,2209,0.040742417383431415
4_Sertao,69,PE_wave_10,8,2209,0.03123585332729742
1_Recife,570,PE_wave_11,9,1204,0.473421926910299
2_Metropolitana_remainder,513,PE_wave_11,9,1204,0.4260797342192691
5_Vale_Sao_Francisco_Araripe,55,PE_wave_11,9,1204,0.04568106312292359
3_Agreste,45,PE_wave_11,9,1204,0.03737541528239203
4_Sertao,21,PE_wave_11,9,1204,0.01744186046511628
