variable,posterior::rhat,posterior::ess_bulk,posterior::ess_tail
gamma_ridge,1.0207558140117055,244.6565547998992,394.12038302692946
alpha_R,1.0257349782753171,112.45915853474794,317.74159766220214
z_year_contrast[1],1.0250560668563098,115.81848484902636,346.47006139047795
z_year_contrast[2],1.0247134598660532,113.06408270559439,319.3104669232866
z_year_contrast[3],1.0236968573256322,115.59940415392276,328.4640561126541
z_year_contrast[4],1.022628276970434,116.93932120034414,329.41939194419314
z_year_contrast[5],1.024934229864468,111.6272012567011,317.49951960688264
z_year_contrast[6],1.0243031324745215,114.21571451985066,301.7593572193258
z_year_contrast[7],1.0232132816077604,115.1068870322624,312.89872311361705
z_year_contrast[8],1.0282261133403545,111.86659731482209,297.3442099548472
z_year_contrast[9],1.00963816774249,233.24336839439178,412.6734955565613
z_year_contrast[10],1.0096338443872246,482.21387994389073,920.1798469471108
beta_sin1,1.0069407048982641,558.6701010717228,837.9964578684466
beta_cos1,1.00395453184557,907.0508561045295,766.7621605255142
beta_sin2,1.0035054573632038,1013.4447003486066,986.9392457461998
beta_cos2,0.9992045923472272,1655.62009128853,984.6442815257383
sigma_season_year,1.0097410161862697,174.17464476357065,508.66210132417945
z_season_year[1],1.0269267822307309,184.6789450042029,599.7390919796087
z_season_year[2],1.0060793499083205,778.68800788389,930.6387923688467
z_season_year[3],1.000673849189092,1112.2719041618025,866.5650719975033
z_season_year[4],1.0015311954366175,1087.6754602827618,944.2026850048601
z_season_year[5],1.00560943679812,940.5798304243888,852.2156152991535
z_season_year[6],1.0010054781103788,751.7042523567042,792.2136952277062
z_season_year[7],1.0103822113710428,547.0115084362035,721.281127899246
z_season_year[8],1.0039724480953547,697.8453799022916,703.0524635069112
z_season_year[9],1.0067562565814254,545.6170408060141,701.0980140760007
z_season_year[10],1.001639868842687,534.6099910831701,779.8400523013651
z_season_year[11],1.002592479720967,838.060248367423,805.9274973081083
phi_obs,1.0017352331892697,1238.0343628236567,881.6050134613197
logit_q,1.0241681041337305,121.68850921489764,376.61440676329784
