year,total_cases,mean_population,incidence_per_100k,peak_weekly_cases,peak_week,n_weeks_nonzero
2015,36,16971856,0.21211586994374687,10,2015-12-06,12
2016,1436,17043727,8.425387240713254,112,2016-04-10,52
2017,4125,17100398,24.122245575804726,176,2017-01-22,53
2018,33049,17148943,192.7174170443041,1571,2018-04-29,52
2019,77634,17193919,451.52009847202373,5711,2019-05-05,52
2020,2803,17222305,16.275405644018033,272,2020-01-26,52
2021,462,17220455,2.682855940798312,31,2021-05-16,50
2022,511,17211760,2.968900333260515,27,2022-05-01,52
2023,1033,17213813,6.000994666318265,64,2023-12-31,53
2024,3794,17219679,22.03293104360424,197,2024-04-07,52
2025,1545,17223547,8.970277725023772,112,2025-02-16,50
