wave_id,wave_order,major_epidemic_primary,start_week,peak_week,end_week,total_cases,duration_weeks,quiet_to_next_weeks
RJ_wave_01,NA,FALSE,2015-02-08,2015-02-15,2015-03-01,2,3,5
RJ_wave_02,NA,FALSE,2015-04-05,2015-04-12,2015-05-03,2,4,9
RJ_wave_03,NA,FALSE,2015-07-05,2015-07-12,2015-08-02,2,4,18
RJ_wave_04,1,TRUE,2015-12-06,2016-04-17,2016-09-11,1314,40,12
RJ_wave_05,2,TRUE,2016-12-04,2017-01-29,2017-10-29,3725,47,9
RJ_wave_06,3,TRUE,2017-12-31,2018-05-06,2018-09-09,27994,36,16
RJ_wave_07,4,TRUE,2018-12-30,2019-05-05,2020-12-20,81292,103,1
RJ_wave_08,NA,FALSE,2020-12-27,2021-05-09,2021-08-29,386,35,1
RJ_wave_09,NA,FALSE,2021-09-05,2022-05-01,2022-10-23,521,59,14
RJ_wave_10,5,TRUE,2023-01-29,2024-04-07,2024-10-20,4476,90,2
RJ_wave_11,6,TRUE,2024-11-03,2025-02-09,2025-12-28,1836,60,NA
