year,total_cases,mean_population,incidence_per_100k,peak_weekly_cases,peak_week,n_weeks_nonzero
2015,9,3327512,0.2704723529171345,3,2015-02-01,6
2016,93,3380091,2.7514052136466147,16,2016-12-18,31
2017,3872,3433278,112.77851662463685,517,2017-12-31,53
2018,12345,3490648,353.65926326573174,1275,2018-01-21,52
2019,339,3551996,9.543929666587463,20,2019-03-31,52
2020,188,3611987,5.20489137973088,17,2020-03-01,33
2021,100,3666669,2.7272709917366416,7,2021-05-02,46
2022,155,3720967,4.165583838824693,13,2022-04-03,40
2023,289,3778389,7.648762475224229,23,2023-12-31,51
2024,22298,3836399,581.2221304405512,1236,2024-12-29,52
2025,45115,3893659,1158.678764627308,3858,2025-01-26,51
