variable,rhat,ess_bulk,ess_tail
max_annual_multiplier,1.003522145865519,646.0541473435646,1317.4084632019437
lambda[3],1.0059671138506678,681.8514665247541,2368.693750976297
attack_prob[3],1.0059671138506678,681.8514665247541,2368.693750976297
X[3],1.005951794894964,682.8642657685397,2352.18966389993
log_sigma_year,1.003648610085373,683.9975821038397,1313.4429221332114
sigma_year,1.003648610085373,683.9975821038397,1313.4429221332114
case_shape[3],1.0057423195757536,687.7817156235402,2867.9574272840186
weight[3],1.0057320338862556,692.7420603599259,2820.1652840320676
weight[1],1.0046689021459034,719.697692610465,1892.4711117546829
log_kappa,1.0053552144439133,724.5463793691691,1607.8170877672576
kappa,1.0053552144439133,724.5463793691691,1607.8170877672576
eta[3],1.0055709050244535,726.1006959310738,1785.090907616561
case_shape[1],1.0045907110403955,726.8219741390022,1940.128741434745
lambda[1],1.004274367888783,807.7483783064916,1967.0241130485801
attack_prob[1],1.004274367888783,807.7483783064916,1967.0241130485801
X[1],1.004274367888783,807.7483783064916,1967.0241130485801
S_start[2],1.004274367888783,807.7483783064916,1967.0241130485801
S_end[1],1.004274367888783,807.7483783064916,1967.0241130485801
U_start[2],1.004274367888783,807.7483783064916,1967.0241130485801
U_end[1],1.004274367888783,807.7483783064916,1967.0241130485801
S_end_prop[1],1.004274367888783,807.7483783064916,1967.0241130485801
U_start[4],1.0046990825116235,858.1471064774465,2124.579632767483
U_end[3],1.0046990825116235,858.1471064774465,2124.579632767483
S_start[4],1.0046990825116235,858.147106477448,2124.579632767483
S_end[3],1.0046990825116235,858.147106477448,2124.579632767483
S_end_prop[3],1.0046990825116235,858.147106477448,2124.579632767483
case_shape[10],1.004470629076079,883.760326188567,2362.824099124558
weight[10],1.0044935766343794,887.3491118715986,2305.2512656913063
eta[1],1.0028947104950516,941.8742380458426,2131.7214444649485
case_shape[5],1.004607166815442,950.2760669952568,2016.3572903763727
