variable,rhat,ess_bulk,ess_tail
X[11],1.0058587478680534,1655.1305885406011,1160.524333022476
attack_prob[11],1.0054484599815188,1667.354466682779,1175.4611174124695
lambda[11],1.0054444655184542,1667.354466682779,1175.4611174124695
sigma_year,1.0045277336293559,996.0751060013115,1450.6845558429973
log_kappa,1.003934585650179,1095.9653445599401,823.2139983520898
kappa,1.0038464487360999,1095.9653445599401,823.2139983520898
attack_prob[1],1.0036807905750607,1231.2392416781106,1168.6378240283302
U_start[2],1.0036807905750607,1231.2392416781106,1168.6378240283302
U_end[1],1.0036807905750607,1231.2392416781106,1168.6378240283302
X[1],1.003677799541342,1231.2392416781106,1168.6378240283302
S_start[2],1.003677799541342,1231.2392416781106,1168.6378240283302
S_end[1],1.003677799541342,1231.2392416781106,1168.6378240283302
S_end_prop[1],1.003677799541342,1231.2392416781106,1168.6378240283302
lambda[1],1.0036578870803088,1231.2392416781106,1168.6378240283302
weight[11],1.00356385619711,1595.2909820875925,1088.5867511252816
case_shape[1],1.0035051137025135,1179.7367446976866,1407.1113452873433
eta[3],1.0034810263101366,1127.5566723252446,1134.233027629798
weight[1],1.003368022733221,1177.0130679588478,1380.3428499915626
case_shape[11],1.003358337626714,1600.7989573139255,1118.1130144932895
log_mean_weight,1.003215816021481,1499.855096749472,1080.1030590143978
max_annual_multiplier,1.003136985632546,933.0836211364787,1428.5365365926873
eta[11],1.0030359929900325,3265.9800069566304,2423.8443880769314
log_sigma_year,1.0028811729198408,996.0751060013115,1450.6845558429973
weight[3],1.0025232864239715,1183.3643999136468,1347.5249503554326
case_shape[3],1.0024829339197912,1184.307663261491,1342.6249806344206
case_shape[4],1.0023553567684511,1511.2769741622328,1753.922882991214
weight[4],1.002303526139571,1536.9953356477292,1741.7421533996828
z_year[11],1.0021589374806894,4616.080216262637,3114.842484820215
eta[8],1.0021117806312303,1434.4772062740744,1359.1114005665704
weight[7],1.0021074980357219,1532.8810743192932,1570.0664958378604
