region,uf,uf_name,wave_id,start_week,end_week,peak_week,duration_weeks,total_cases,peak_cases,n_active_munis,peak_time_sd_weeks,cor_sync_index,top3_share,n_total_munis,pct_active_munis,synchrony_class,is_first_major_epidemic,left_censored,uf_code
Norte,AC,Acre,1,2015-11-29,2016-06-05,2016-02-07,28,1043,76,6,1.9963323890563485,0.4198977896683128,0.8798029556650246,22,0.2727272727272727,Mixed / intermediate,TRUE,FALSE,NA
Norte,AC,Acre,2,2016-12-25,2017-03-12,2017-01-22,12,137,24,3,0.7286854964940187,0.41659136194561813,1,22,0.13636363636363635,Mixed / intermediate,FALSE,FALSE,NA
Norte,AC,Acre,3,2017-05-07,2017-06-11,2017-05-28,6,62,15,2,1.4891608375189027,NA,1,22,0.09090909090909091,Mixed / intermediate,FALSE,FALSE,NA
Norte,AC,Acre,4,2017-12-10,2018-03-11,2018-02-11,14,156,23,2,0,NA,1,22,0.09090909090909091,Mixed / intermediate,FALSE,FALSE,NA
Norte,AC,Acre,5,2018-06-17,2019-01-20,2018-10-28,32,463,31,3,5.439215629727017,-0.0937654487720226,1,22,0.13636363636363635,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,AC,Acre,6,2020-05-10,2020-06-14,2020-06-07,6,70,15,2,1.683330033000065,NA,1,22,0.09090909090909091,Mixed / intermediate,FALSE,FALSE,NA
Norte,AC,Acre,7,2021-01-03,2021-06-20,2021-01-10,25,449,57,4,4.4992760180948626,0.2784505931415885,0.8340807174887892,22,0.18181818181818182,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,AC,Acre,8,2021-10-17,2022-01-23,2021-11-14,15,155,17,2,2.769230769230769,NA,1,22,0.09090909090909091,Mixed / intermediate,FALSE,FALSE,NA
Norte,AC,Acre,9,2023-03-05,2023-05-07,2023-03-26,10,145,27,1,NA,NA,1,22,0.045454545454545456,Single-municipality dominated,FALSE,FALSE,NA
Norte,AC,Acre,10,2023-11-19,2024-12-22,2023-12-31,58,924,48,4,8.537978688221916,0.040572419245363145,0.9759903961584634,22,0.18181818181818182,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,AM,Amazonas,1,2016-04-03,2016-05-15,2016-04-24,7,353,61,1,NA,NA,1,57,0.017543859649122806,Single-municipality dominated,TRUE,FALSE,NA
Norte,AP,Amapá,1,2014-12-28,2015-06-07,2015-01-04,24,1117,134,5,1.8365886953028667,0.34356229187876297,0.9455357142857143,15,0.3333333333333333,Mixed / intermediate,TRUE,TRUE,NA
Norte,AP,Amapá,2,2016-01-31,2017-10-08,2016-08-14,89,1741,63,9,15.55728744733594,0.02760841879517267,0.8643586833144155,15,0.6,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,AP,Amapá,3,2018-01-07,2018-06-10,2018-04-01,23,417,35,4,3.6647292605665363,0.04701199522900574,0.9040178571428571,15,0.26666666666666666,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,AP,Amapá,4,2018-07-29,2018-08-26,2018-08-05,5,51,13,2,0.4760871250278503,NA,1,15,0.13333333333333333,Mixed / intermediate,FALSE,FALSE,NA
Norte,AP,Amapá,5,2019-02-03,2019-03-24,2019-02-17,8,81,13,4,2.84129479664433,-0.13274503374601299,0.8244274809160306,15,0.26666666666666666,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,AP,Amapá,6,2023-12-31,2024-08-11,2024-01-14,33,773,64,6,5.9795544710067805,0.0027063169995658245,0.820580474934037,15,0.4,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,PA,Pará,1,2016-04-24,2017-09-17,2017-01-29,74,14559,1034,57,16.751026334573066,0.08745355466137283,0.3723621511232131,144,0.3958333333333333,Asynchronous (localized/staggered),TRUE,FALSE,NA
Norte,PA,Pará,2,2017-10-29,2019-06-30,2018-02-25,88,18110,413,48,19.002118357093867,0.08186211493696466,0.6791061206516953,144,0.3333333333333333,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,PA,Pará,3,2020-01-05,2020-03-15,2020-02-02,11,1270,136,15,2.616547684082335,0.1564729835696992,0.6839887640449438,144,0.10416666666666667,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,PA,Pará,4,2024-01-07,2024-06-09,2024-02-18,23,5704,484,35,4.201815256892776,0.23659772451080754,0.43062939461498884,144,0.24305555555555555,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,1,2016-01-03,2016-06-12,2016-02-21,24,1576,155,10,2.0136099470508757,0.3705466535812326,0.7311411992263056,53,0.18867924528301888,Mixed / intermediate,TRUE,FALSE,NA
Norte,RO,Rondônia,2,2016-12-11,2017-04-02,2017-02-12,17,590,57,7,2.2483987553772438,0.058917160150130134,0.8180327868852459,53,0.1320754716981132,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,3,2019-11-17,2020-05-10,2020-02-09,26,851,61,8,3.8543138187077863,0.1276495686291968,0.6139315230224321,53,0.1509433962264151,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,4,2021-01-31,2021-03-21,2021-02-07,8,172,31,5,3.196866847354551,-0.024453413092978726,0.7844827586206896,53,0.09433962264150944,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,5,2022-03-06,2022-05-08,2022-04-10,10,185,26,4,3.5579863641221916,-0.0018789469058037508,0.8655913978494624,53,0.07547169811320754,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,6,2023-03-05,2023-05-28,2023-05-07,13,457,51,6,3.7661903305192466,0.013101403465944989,0.8701030927835052,53,0.11320754716981132,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,7,2023-12-10,2024-05-19,2024-01-14,24,1870,167,9,3.669305174884039,0.15012765651405097,0.8021563342318059,53,0.16981132075471697,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RO,Rondônia,8,2024-11-17,2024-12-15,2024-12-08,5,120,33,1,NA,NA,1,53,0.018867924528301886,Single-municipality dominated,FALSE,FALSE,NA
Norte,RR,Roraima,1,2014-12-28,2015-03-08,2015-01-11,11,77,12,1,NA,NA,1,15,0.06666666666666667,Single-municipality dominated,TRUE,TRUE,NA
Norte,RR,Roraima,2,2015-05-10,2015-09-27,2015-09-06,21,303,31,2,1.253600929415247,NA,1,15,0.13333333333333333,Mixed / intermediate,FALSE,FALSE,NA
Norte,RR,Roraima,3,2016-05-08,2018-10-14,2017-07-23,128,7410,487,12,2.989859666165573,0.39701437636120285,0.9036567264876535,15,0.8,Mixed / intermediate,FALSE,FALSE,NA
Norte,RR,Roraima,4,2018-11-18,2019-03-24,2019-02-17,19,151,23,2,0,NA,1,15,0.13333333333333333,Mixed / intermediate,FALSE,FALSE,NA
Norte,RR,Roraima,5,2019-04-28,2020-02-09,2019-09-08,42,429,23,4,4.6603425696981775,0.0565448413294375,0.917989417989418,15,0.26666666666666666,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RR,Roraima,6,2021-03-21,2021-09-12,2021-04-04,26,252,19,2,9.623042305314707,NA,1,15,0.13333333333333333,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RR,Roraima,7,2022-06-12,2022-09-18,2022-08-14,15,278,45,2,0.4560513721491651,NA,1,15,0.13333333333333333,Mixed / intermediate,FALSE,FALSE,NA
Norte,RR,Roraima,8,2023-01-22,2023-09-17,2023-02-26,35,407,37,5,10.169626778578257,0.0015714277074038781,0.8604651162790697,15,0.3333333333333333,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RR,Roraima,9,2023-12-10,2024-06-09,2024-05-19,27,488,75,4,9.257587016538434,0.15627960256887954,0.9175475687103594,15,0.26666666666666666,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,RR,Roraima,10,2024-08-04,2024-12-08,2024-09-15,19,233,36,3,4.889517824186779,0.05450977301667934,1,15,0.2,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,TO,Tocantins,1,2015-11-29,2016-07-24,2016-02-14,35,2012,128,13,6.614220977853426,0.14839806547207096,0.6240266963292548,139,0.09352517985611511,Asynchronous (localized/staggered),TRUE,FALSE,NA
Norte,TO,Tocantins,2,2016-12-11,2018-06-03,2017-05-14,78,7427,313,33,8.56783316160708,0.2052368062817769,0.5475923852183651,139,0.23741007194244604,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,TO,Tocantins,3,2018-10-07,2019-06-16,2019-02-03,37,1841,116,12,5.089516959018616,0.22196490790331586,0.7136803874092009,139,0.08633093525179857,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,TO,Tocantins,4,2021-04-25,2021-08-15,2021-05-09,17,452,43,4,3.182677603590263,0.07376815213566323,0.9537037037037037,139,0.02877697841726619,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,TO,Tocantins,5,2021-11-07,2024-08-04,2023-02-05,144,24522,845,48,30.69216625531536,0.11691569307292062,0.7326212064753861,139,0.34532374100719426,Asynchronous (localized/staggered),FALSE,FALSE,NA
Norte,TO,Tocantins,6,2024-11-10,2024-12-08,2024-11-24,5,106,26,2,2.9936789263877577,NA,1,139,0.014388489208633094,Mixed / intermediate,FALSE,FALSE,NA
Nordeste,AL,Alagoas,1,2014-12-28,2015-02-22,2015-02-01,9,943,195,5,1.3326650196376204,0.532747402345197,0.9026258205689278,102,0.049019607843137254,Synchronous (state-wide),TRUE,TRUE,NA
Nordeste,AL,Alagoas,2,2015-10-18,2016-10-16,2016-05-22,53,21568,926,69,9.578249322518044,0.11712077194000306,0.5012785345669255,102,0.6764705882352942,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,AL,Alagoas,3,2019-04-14,2019-09-15,2019-06-30,23,2142,167,18,3.9580799168613674,0.15659003710328792,0.57225156024964,102,0.17647058823529413,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,AL,Alagoas,4,2021-07-11,2021-08-15,2021-07-18,6,221,45,4,2.6320756490310497,-0.06005615971156747,0.91,102,0.0392156862745098,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,AL,Alagoas,5,2022-03-27,2023-01-08,2022-06-26,42,12051,762,30,4.376612192344746,0.2778293107691471,0.6972646417184092,102,0.29411764705882354,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,AL,Alagoas,6,2023-03-26,2023-04-16,2023-04-02,4,146,47,3,2.034697351336038,-0.03337901017535688,1,102,0.029411764705882353,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,BA,Bahia,1,2014-12-28,2016-07-17,2016-02-21,82,80456,5537,189,18.245747198228457,0.15072772407843826,0.29876561737890667,416,0.4543269230769231,Asynchronous (localized/staggered),TRUE,TRUE,NA
Nordeste,BA,Bahia,2,2016-12-25,2017-07-09,2017-01-15,29,9887,690,40,8.88697823608706,0.06132877528078703,0.48005808325266214,416,0.09615384615384616,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,BA,Bahia,3,2018-05-06,2018-06-10,2018-06-03,6,1072,203,7,1.2587010842452675,-0.02706566267207804,0.9287816362566216,416,0.016826923076923076,Asynchronous (localized/staggered),FALSE,FALSE,NA
Nordeste,BA,Bahia,4,2019-04-07,2020-11-15,2020-05-10,85,58661,3005,164,18.01945181304549,0.22367635673258482,0.4509294696555495,416,0.3942307692307692,Asynchronous (localized/staggered),FALSE,FALSE,NA
