variable,rhat,ess_bulk,ess_tail
log_phi_obs,1.034701070824216,179.67126663155742,1292.6952954416258
phi_obs,1.034701070824216,179.67126663155742,1292.6952954416258
lp__,1.0353191751043023,180.35445141043073,1137.6839240485945
implied_long_run_arithmetic_mean_lambda,1.0251900441211446,241.98355307012056,943.724505530547
log_sigma_delta,1.025098090829521,253.9523880632632,877.1804172489564
sigma_delta,1.025098090829521,253.9523880632632,877.1804172489564
delta[1],1.0241039005496864,261.5855226817011,1691.1730507458453
expected_cases[1],1.0260213032326493,263.1394804819799,1509.4596817452582
lambda[1],1.0245732063846953,263.60356578929253,1620.9912352928523
attack_prob[1],1.024577758659765,263.60356578929253,1620.9912352928523
latent_infections[1],1.024577758659765,263.60356578929253,1620.9912352928523
S_start[2],1.0245732585458136,263.60356578929253,1620.9912352928523
S_after[1],1.0245732585458136,263.60356578929253,1620.9912352928523
S_end[1],1.0245732585458136,263.60356578929253,1620.9912352928523
U_start[2],1.024577758659765,263.60356578929253,1620.9912352928523
U_end[1],1.024577758659765,263.60356578929253,1620.9912352928523
S_start_prop[2],1.0245732585458136,263.60356578929253,1620.9912352928523
S_end_prop[1],1.0245732585458136,263.60356578929253,1620.9912352928523
realized_geometric_mean_lambda_2015_2025,1.0252002737704282,263.67261660914323,1309.1763221864
expected_cases[11],1.0210412134075741,311.76109627162367,1516.466360743757
z_delta[1],1.0169124301092107,323.65641452070815,1399.4253323587884
delta[11],1.0195185231477275,332.18409213722833,1548.4073170060312
latent_infections[11],1.0198689146592346,338.2871044154636,1507.029156233661
lambda[11],1.0200323955735509,339.6378888315896,1544.514083812065
attack_prob[11],1.0200323955735509,339.6378888315896,1544.514083812065
expected_cases[7],1.0199189405982891,347.432503186371,1516.9211959196937
expected_cases[10],1.0212396762201574,351.364986880208,1346.0845626892813
lambda[10],1.0178539830375892,355.78913511176734,1380.255184827111
attack_prob[10],1.0178539830375892,355.78913511176734,1380.255184827111
delta[10],1.0173567013464273,362.6341479365346,1476.4111625213102
