"state","period_id","period_type","episode_id","period_start","period_end","n_weeks","reported_cases_period","N_start","N_end","births","deaths","reconciliation","year_centered","demographic_accounting_error"
"Ceara","CE_period_01","inter_episode",NA,2015-01-04,2016-01-31,57,908,8787379.56164384,8850599.80327869,144295,61057.9213563889,-20016.8370087579,-4.95277207392197,3.63797880709171e-12
"Ceara","CE_period_02","epidemic","CE_wave_01",2016-02-07,2018-06-17,124,194224,8850599.80327869,8975622.22465753,305375,138055.938917584,-42296.639703571,-3.21971252566735,-7.27595761418343e-12
"Ceara","CE_period_03","inter_episode",NA,2018-06-24,2019-01-27,32,1593,8975622.22465753,9011706.49589041,79159,36089.1534246575,-6985.57534246553,-1.72484599589322,0
"Ceara","CE_period_04","epidemic","CE_wave_02",2019-02-03,2019-06-30,22,4364,9011706.49589041,9036504.73770492,56569,24349.7205479452,-7421.03763754762,-1.20739219712526,1.81898940354586e-12
"Ceara","CE_period_05","inter_episode",NA,2019-07-07,2020-01-26,30,1431,9036504.73770492,9067085.55737705,71688,34340.5914813983,-6766.58884646978,-0.709103353867214,9.09494701772928e-13
"Ceara","CE_period_06","epidemic","CE_wave_03",2020-02-02,2020-03-08,6,692,9067085.55737705,9073201.72131148,14393,8132.39344262295,-144.442622950668,-0.364134154688569,0
"Ceara","CE_period_07","inter_episode",NA,2020-03-15,2020-04-12,5,351,9073201.72131148,9078298.52459016,12341,6776.99453551912,-467.202185792534,-0.257357973990418,0
"Ceara","CE_period_08","epidemic","CE_wave_04",2020-04-19,2020-08-02,16,1661,9078298.52459016,9093266.12054794,38550,21686.3825136612,-1896.02152855854,-0.0574948665297741,0
"Ceara","CE_period_09","inter_episode",NA,2020-08-09,2021-04-04,35,1518,9093266.12054794,9120512.13424657,78457,48687.6270678943,-2523.35923347566,0.432580424366872,2.27373675443232e-12
"Ceara","CE_period_10","epidemic","CE_wave_05",2021-04-11,2021-08-22,20,3344,9120512.13424657,9134924.56164384,47506,28856.1095890411,-4237.46301369846,0.958247775496235,0
"Ceara","CE_period_11","inter_episode",NA,2021-08-29,2021-11-28,14,848,9134924.56164384,9143901.63013699,31770,20199.2767123288,-2593.65479451919,1.28405201916496,1.81898940354586e-12
"Ceara","CE_period_12","epidemic","CE_wave_06",2021-12-05,2023-08-06,88,89068,9143901.63013699,9201017.1147541,190845,108580.84109589,-25148.6742869993,2.26146475017112,-3.63797880709171e-12
"Ceara","CE_period_13","inter_episode",NA,2023-08-13,2024-01-14,23,1245,9201017.1147541,9217286.03278689,46753,26978.5171195449,-3505.56484766739,3.3264887063655,9.09494701772928e-13
"Ceara","CE_period_14","epidemic","CE_wave_07",2024-01-21,2024-08-18,31,8692,9217286.03278689,9238957.09589041,63862,36762.5273224044,-5428.40957407066,3.84394250513347,0
"Ceara","CE_period_15","inter_episode",NA,2024-08-25,2024-12-29,19,931,9238957.09589041,9251776.10958904,36860,22544.4021333932,-1496.58416797675,4.32306639288159,4.54747350886464e-13
