state,episode_id,onset_week,peak_week,end_week,recurrence_order,is_recurrence,duration_weeks,weeks_onset_to_peak,episode_case_count,episode_cumulative_incidence_per_100k,peak_weekly_cases,peak_weekly_incidence_per_100k,quiet_weeks_before_episode,first4_case_count,first6_case_count,first8_case_count,first6_nonzero_weeks,re_prefit_eligible,re_prefit_eligible_n20,re_prefit_eligible_n50,reason_if_not_eligible,episode_definition_stable,sensitivity_notes
AC,AC_episode_01,2016-03-27,2016-06-05,2016-07-03,1,FALSE,15,10,49,5.859183492886473,11,1.315326906566351,56,7,13,18,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AC,AC_episode_02,2016-11-13,2018-10-28,2019-03-17,2,TRUE,123,102,355,41.745293951557564,25,2.9359815103628404,8,6,9,12,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AC,AC_episode_03,2020-05-10,2021-03-14,2022-07-03,3,TRUE,113,44,259,29.840974443047102,27,3.1093596331416276,9,9,11,12,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AC,AC_episode_04,2023-11-26,2023-12-31,2024-09-29,4,TRUE,45,5,221,25.119245004728064,35,3.9927810518582403,9,8,45,68,5,TRUE,TRUE,FALSE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AL,AL_episode_01,2015-11-22,2016-05-22,2017-10-01,1,FALSE,98,26,9791,307.11429985567145,667,20.9228252024997,46,65,84,122,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AL,AL_episode_02,2018-07-01,2019-07-14,2019-11-10,2,TRUE,72,54,1621,50.52886109583541,91,2.8360359821286103,8,31,45,56,6,TRUE,TRUE,FALSE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AL,AL_episode_03,2021-06-06,2022-06-26,2025-12-28,3,TRUE,239,55,16158,501.95433568728527,691,21.470422550965843,19,58,87,136,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AP,AP_episode_01,2016-04-17,2016-10-02,2019-04-14,1,FALSE,157,24,578,75.49647804906813,12,1.5853136543065045,46,15,21,28,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
AP,AP_episode_02,2021-01-10,2021-08-08,2021-09-26,2,TRUE,38,30,74,9.356772469846536,17,2.1495288106404207,8,5,5,6,3,FALSE,FALSE,FALSE,fewer than 4 nonzero weeks in first 6; fewer than 30 reported cases in first 6 weeks,FALSE,permissive: overlapping accepted episode; strict: not accepted/matched
AP,AP_episode_03,2023-09-10,2024-02-25,2025-12-28,3,TRUE,121,24,326,40.58636916843036,27,3.363073699891759,19,8,9,12,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
BA,BA_episode_01,2016-01-31,2016-03-13,2018-09-23,1,FALSE,139,6,15932,109.36032097707776,535,3.6827782824293065,30,384,1411,2402,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
BA,BA_episode_02,2019-03-24,2024-03-17,2025-10-12,2,TRUE,343,260,75909,513.0918554721462,1499,10.093927394966087,14,300,494,791,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
CE,CE_episode_01,2016-02-14,2017-04-30,2020-10-25,1,FALSE,246,63,141856,1591.0957862142302,10301,115.4279203566399,56,208,506,1090,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
CE,CE_episode_02,2021-04-18,2022-05-15,2023-09-17,2,TRUE,127,56,54054,589.88696589081,3521,38.42646831726228,13,93,144,202,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
CE,CE_episode_03,2024-02-04,2024-04-07,2024-09-01,3,TRUE,31,9,767,8.306568925677976,64,0.6931165726771714,14,125,186,245,6,TRUE,TRUE,TRUE,NA,FALSE,permissive: overlapping accepted episode; strict: not accepted/matched
CE,CE_episode_04,2025-03-30,2025-05-11,2025-09-28,4,TRUE,27,6,537,5.793607741036738,45,0.48549785539414014,22,115,199,282,6,TRUE,TRUE,TRUE,NA,FALSE,permissive: overlapping accepted episode; strict: not accepted/matched
DF,DF_episode_01,2022-01-09,2024-03-10,2025-12-28,1,FALSE,208,113,1636,55.074212692981035,39,1.3074884220223961,11,45,68,92,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
ES,ES_episode_01,2017-01-01,2020-01-19,2020-03-29,1,FALSE,170,159,7462,187.59853231621992,431,10.771049717516101,57,61,116,166,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
ES,ES_episode_02,2022-01-02,2024-03-17,2025-12-28,2,TRUE,209,115,21063,514.2527258133953,691,16.844911508146136,91,50,77,112,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
GO,GO_episode_01,2021-12-05,2024-03-10,2025-12-28,1,FALSE,213,118,19390,265.0875380617048,585,7.958660675767836,17,96,262,463,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MA,MA_episode_01,2016-01-31,2016-04-24,2019-10-20,1,FALSE,195,12,13353,194.0986206912362,870,12.675050459812953,52,94,283,818,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
