state,ensemble_id,foi_pwmean_grid,foi_equiv_grid,foi_pwmean_existing,foi_equiv_existing,pwmean_difference,equivalent_difference,pwmean_abs_difference,equivalent_abs_difference,max_temporal_weight_mean_deviation,aggregation_status
AC,1,0.0066737225111358975,0.006669055368076831,0.00667372251113589,0.00666905536807681,7.806255641895632e-18,2.168404344971009e-17,7.806255641895632e-18,2.168404344971009e-17,8.881784197001252e-16,NA
AC,2,0.006505354305967367,0.006500847853600959,0.00650535430596736,0.00650084785360096,7.806255641895632e-18,-8.673617379884035e-19,7.806255641895632e-18,8.673617379884035e-19,8.881784197001252e-16,NA
AC,3,0.005772884525267064,0.005770832062403149,0.00577288452526706,0.00577083206240315,4.336808689942018e-18,-1.734723475976807e-18,4.336808689942018e-18,1.734723475976807e-18,8.881784197001252e-16,NA
AC,4,0.00834178184943482,0.008337212430099755,0.00834178184943478,0.00833721243009974,3.9898639947466563e-17,1.3877787807814457e-17,3.9898639947466563e-17,1.3877787807814457e-17,8.881784197001252e-16,NA
AC,5,0.009922650182392615,0.009900882767677852,0.00992265018239258,0.00990088276767784,3.469446951953614e-17,1.214306433183765e-17,3.469446951953614e-17,1.214306433183765e-17,8.881784197001252e-16,NA
AC,6,0.007679387498843127,0.007673359581889258,0.00767938749884314,0.00767335958188925,-1.3010426069826053e-17,8.673617379884035e-18,1.3010426069826053e-17,8.673617379884035e-18,8.881784197001252e-16,NA
AC,7,0.006701203588551028,0.006695392598824099,0.00670120358855103,0.00669539259882409,-1.734723475976807e-18,9.540979117872439e-18,1.734723475976807e-18,9.540979117872439e-18,8.881784197001252e-16,NA
AC,8,0.006029581113896538,0.006023421113783957,0.00602958111389655,0.00602342111378393,-1.214306433183765e-17,2.688821387764051e-17,1.214306433183765e-17,2.688821387764051e-17,8.881784197001252e-16,NA
AC,9,0.006132600596877037,0.006128338936214283,0.00613260059687704,0.00612833893621426,-3.469446951953614e-18,2.2551405187698492e-17,3.469446951953614e-18,2.2551405187698492e-17,8.881784197001252e-16,NA
AC,10,0.006845203513184655,0.006841062636644773,0.00684520351318464,0.00684106263664478,1.474514954580286e-17,-6.938893903907228e-18,1.474514954580286e-17,6.938893903907228e-18,8.881784197001252e-16,NA
AC,11,0.006217345482867317,0.006213409477104226,0.0062173454828673,0.0062134094771042,1.734723475976807e-17,2.6020852139652106e-17,1.734723475976807e-17,2.6020852139652106e-17,8.881784197001252e-16,NA
AC,12,0.006182132531382233,0.006178612197756859,0.00618213253138221,0.00617861219775685,2.3418766925686896e-17,8.673617379884035e-18,2.3418766925686896e-17,8.673617379884035e-18,8.881784197001252e-16,NA
AC,13,0.008690766755834196,0.008685200161329752,0.00869076675583419,0.00868520016132976,6.938893903907228e-18,-6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,8.881784197001252e-16,NA
