state,year,within_state_S_q10,within_state_S_q10_q025,within_state_S_q10_q975,within_state_S_q25,within_state_S_q25_q025,within_state_S_q25_q975,within_state_S_q50,within_state_S_q50_q025,within_state_S_q50_q975,within_state_S_q75,within_state_S_q75_q025,within_state_S_q75_q975,within_state_S_q90,within_state_S_q90_q025,within_state_S_q90_q975,within_state_S_weighted_sd,within_state_S_weighted_sd_q025,within_state_S_weighted_sd_q975,within_state_S_weighted_iqr,within_state_S_weighted_iqr_q025,within_state_S_weighted_iqr_q975,prop_population_S_lt_025,prop_population_S_lt_025_q025,prop_population_S_lt_025_q975,prop_population_S_lt_050,prop_population_S_lt_050_q025,prop_population_S_lt_050_q975,prop_population_S_lt_075,prop_population_S_lt_075_q025,prop_population_S_lt_075_q975,prop_population_S_ge_090,prop_population_S_ge_090_q025,prop_population_S_ge_090_q975
AC,2015,0.9967512581177745,0.9884443007135864,0.9995240733863504,0.9970976734640262,0.9897627491476355,0.9995647776477949,0.9976661337701028,0.9913867390730888,0.9996568178995722,0.9984821096441637,0.9938539346390058,0.9997620095993067,0.998732366625841,0.9949478045184119,0.9998212988615253,8.564232669911473e-4,8.945843010345979e-5,0.0037036848029907005,0.0012686240323359077,1.3196705448149937e-4,0.005879632646029531,0,0,0,0,0,0,0,0,0,1,1,1
AC,2016,0.9880942062635663,0.9696537710147612,0.9957281357409835,0.9895750908593051,0.9760135054139032,0.9963131180268714,0.9916598709706532,0.9816629400605799,0.9970006050903457,0.9945737930418019,0.9873267897400198,0.998295327548837,0.9956889743616729,0.9891152430595296,0.998636623780994,0.0030716699452211556,0.0010801022266160025,0.009881006096324302,0.004397727408570307,0.0012214345237797908,0.015797031933123467,0,0,0,0,0,0,0,0,0,1,1,1
AC,2017,0.9787748507470286,0.9550307737138957,0.9901748610954759,0.9808799630411315,0.9639334657589123,0.9910492519077452,0.9853724618605224,0.9731023166937185,0.9931476625882425,0.9903519629543078,0.9803879385690697,0.9955663392032407,0.9922652780523576,0.9832656765274376,0.9967764784776374,0.005153572528766458,0.00207019684315037,0.014927310147271729,0.007756039159690142,0.001954147681409707,0.023457400138427384,0,0,0,0,0,0,0,0,0,1,1,1
AC,2018,0.9643309789414496,0.9288049529105804,0.9814472205278882,0.9682030355052651,0.9429258948481124,0.9830738877795898,0.9750410072535896,0.9586655729009532,0.9860851161606244,0.9829294778933404,0.9687520679100081,0.992341858853059,0.9861561193256296,0.9742509033850395,0.9941774494111599,0.00937771142618262,0.003942610352242382,0.020926266026939436,0.014034297080400382,0.004448835239886007,0.03486501000872267,0,0,0,0,0,0,0,0,0,1,0.99979009130133345,1
AC,2019,0.956896660934565,0.9222712547986709,0.978575131663977,0.9616182257328001,0.9365428049221353,0.9796105179845691,0.969727900239173,0.9538854289218597,0.9844116040450569,0.9798470961330387,0.9651542791300837,0.9903084442367559,0.9836965614759301,0.9708294499055583,0.9924020373089208,0.011255452503314143,0.004472070387253707,0.023833849399014673,0.01740937318421748,0.004838934969504741,0.03921340646555567,0,0,0,0,0,0,0,0,0,1,0.9495836667259782,1
AC,2020,0.9484822318445929,0.9081518577755828,0.9710193270331744,0.9548775132639862,0.9291323741261988,0.9745119314210553,0.9652481655009622,0.9466300521367634,0.9786166476128891,0.9763905753288221,0.958947819826351,0.988435690967687,0.9805812710431943,0.965222752657845,0.9908271081912166,0.0133304541404264,0.0057294673971390086,0.02770238608605431,0.021180306780175573,0.005750515922515484,0.04329912604833002,0,0,0,0,0,0,0,0,0,1,0.9098827877285183,1
AC,2021,0.9372992590855278,0.8840215715827662,0.9635597833341347,0.9438478228853562,0.9125039968623707,0.967405563642942,0.9554996043072133,0.9333612867230027,0.9732159384637258,0.9710211982656165,0.9480470224509647,0.9829916015461716,0.9765980571574656,0.9580960603749509,0.9887195037263534,0.01640573820748629,0.007341685055621352,0.03388384590946879,0.025364163637764392,0.0076312126700642784,0.05094508880955244,0,0,0,0,0,0,0,0,0,0.9999612759417698,0.8912882937067459,1
AC,2022,0.9312458168287985,0.8806386360360595,0.9604595624531845,0.9394110550268282,0.9077716577693233,0.9612214735909366,0.951486343992071,0.9290846961786331,0.9683749273370054,0.9690062933963122,0.9446512964974827,0.981388260753423,0.9743080090441627,0.9542433292097269,0.9874125434260957,0.017861252650131134,0.008213892890090297,0.03557327220805036,0.028331395119039815,0.008225190941261491,0.055533266659177447,0,0,0,0,0,0,0,0,0,0.9995650117659878,0.8854417075910834,1
AC,2023,0.9235070339525321,0.8725261023118978,0.9520255907000075,0.9317863170206662,0.8994252776379971,0.9568520050914715,0.9452022102330162,0.9208466235426663,0.9638260364343523,0.9640563874781802,0.9393241894915836,0.978278619085998,0.9705643076788228,0.9500711962144908,0.9847883875925753,0.01946361475408491,0.009564611143909593,0.036987519790411476,0.03200192115879674,0.009207559653327767,0.06468742128814833,0,0,0,0,0,0,0,0,0,0.9900433425576386,0.7265002789640274,1
AC,2024,0.9124890789038882,0.8563071643470686,0.9427325047530182,0.920175163758989,0.8873286747110771,0.9498712415310426,0.935964880285524,0.9088275877486471,0.9578503006859085,0.9572574938659673,0.9334131716596126,0.9740981311091951,0.965764556627528,0.9454638516327711,0.9831173884863067,0.022483112414793748,0.011536204937224112,0.04132526147497807,0.036954394531557855,0.01054868053596537,0.07232615120787189,0,0,0,0,0,0,0,0,0,0.944375870756442,0.5740421700756099,1
