UF,episode_id,window_weeks,week,Re_median,Re_lower,Re_upper,lag_spec,temperature,precipitation
AL,AL_wave_02,4,2016-02-21,1.949455628149896,1.346356712803349,2.938830632023244,primary,26.50726134578117,93.49060230626337
AL,AL_wave_02,6,2016-03-06,1.7370577571180097,1.2194315350518932,2.546849223880771,primary,26.855455107594135,69.43546204392356
AL,AL_wave_02,8,2016-03-20,1.569642784557387,1.13945399089529,2.223673961937834,primary,26.782079060874214,55.583043537150616
BA,BA_wave_02,4,2016-02-14,2.2144369374520414,1.520323218664252,3.3812119067687094,primary,25.898415662165213,261.69106701865616
BA,BA_wave_02,6,2016-02-28,2.6680929501253607,1.9046696074161815,3.877725191464171,primary,26.664267628266995,175.87914757391428
BA,BA_wave_02,8,2016-03-13,2.5555423112923146,1.887800574062263,3.5742428855008477,primary,26.73271185826281,34.98768141854072
CE,CE_wave_02,4,2016-04-03,2.1913598268442445,1.5409735105879954,3.272079027139675,primary,26.515413611774775,122.90091439514372
CE,CE_wave_02,6,2016-04-17,2.2070065834740946,1.57442714971276,3.1913516286055064,primary,26.353818456189057,210.51914143562556
CE,CE_wave_02,8,2016-05-01,2.28062126518745,1.672319109682878,3.227527242588666,primary,26.915844065361036,206.3066905560584
ES,ES_wave_02,4,2017-01-08,3.74675897037264,2.3148692439956253,6.139828062268854,primary,26.51516326430295,151.04631052996194
ES,ES_wave_02,6,2017-01-22,2.6993524440215397,1.718747970909903,4.272909083049022,primary,26.123899013683264,116.1710177295497
ES,ES_wave_02,8,2017-02-05,2.422074533082019,1.6690207792304468,3.6119316030578767,primary,25.46648584220701,33.65288633995892
GO,GO_wave_15,4,2021-12-19,2.1241711912695602,1.3975632158273523,3.3829627036342607,primary,23.311832026820642,264.56496983978275
GO,GO_wave_15,6,2022-01-02,1.9651509078894964,1.3594626109529058,2.9547164872175213,primary,22.670247054335757,251.40167242121956
GO,GO_wave_15,8,2022-01-16,2.1567165920536646,1.5864397520270273,3.024539873791669,primary,23.03401502726967,330.4211135924369
MA,MA_wave_02,4,2016-03-20,3.4065704203308624,2.377611612516084,5.15178527123214,primary,26.35003934956382,244.53220731995026
MA,MA_wave_02,6,2016-04-03,2.8994752525778673,2.0584851732844207,4.256280755868049,primary,26.514974249841703,277.69011332785334
MA,MA_wave_02,8,2016-04-17,2.655629816367191,1.946649844262572,3.733590760005586,primary,26.707118660850853,341.2434788791577
MG,MG_wave_05,4,2017-01-29,2.706623265871138,1.8878994062328165,4.057923717862433,primary,23.695091819196374,106.88447944936019
MG,MG_wave_05,6,2017-02-12,2.700460179836658,1.9013725790609597,3.993819886803721,primary,23.335048213623732,137.65014643145184
MG,MG_wave_05,8,2017-02-26,2.583002269824623,1.8792193238712187,3.67973269333563,primary,23.577910245877753,141.16227265702543
MT,MT_wave_05,4,2017-01-01,2.692217373492233,1.732964030702257,4.261049922953124,primary,25.845214267374075,307.52840876402814
MT,MT_wave_05,6,2017-01-15,2.4129964511132727,1.6229526567563086,3.6965186315819887,primary,26.119766967585665,275.8603033582128
MT,MT_wave_05,8,2017-01-29,2.2971795436688547,1.636007485394448,3.2785536859621063,primary,25.001938164790232,269.0912952125251
PA,PA_wave_04,4,2016-05-15,1.5517121891944146,1.0567685295034113,2.3612748195516566,primary,26.49224653887481,292.16087175856626
PA,PA_wave_04,6,2016-05-29,1.2813233515141416,0.8901547870763602,1.9367427862611688,primary,26.821101459540245,214.62601000057214
PA,PA_wave_04,8,2016-06-12,1.2399379287794905,0.903276273872324,1.7401638641447903,primary,26.291341376661624,158.59313827211756
PB,PB_wave_03,4,2016-02-28,2.277624474409375,1.5359909976523205,3.495187400934422,primary,26.498670483167437,140.79763058148782
PB,PB_wave_03,6,2016-03-13,2.1902915892568937,1.5236389058431274,3.2433923760561076,primary,26.789232739167694,98.57957133416028
PB,PB_wave_03,8,2016-03-27,2.067319080394655,1.5047695195823307,2.9381519441795008,primary,26.717533412005817,94.96972166819602
PE,PE_wave_03,4,2015-12-20,2.0691847599880404,1.403641989241479,3.1841286749328583,primary,26.29382001321051,12.679687293721942
PE,PE_wave_03,6,2016-01-03,2.287163301891378,1.6169073007702293,3.3689012417675075,primary,25.830189418457962,37.59356940999738
PE,PE_wave_03,8,2016-01-17,2.215932628027864,1.6189926892479476,3.097368545683004,primary,25.63010533749523,74.77403716921926
PI,PI_wave_03,4,2016-04-17,4.397527921365161,2.974089764284827,6.735170645063435,primary,27.578541102862587,270.69133189259554
PI,PI_wave_03,6,2016-05-01,3.461448641112203,2.4009024016756473,5.101402581321242,primary,28.422377674850186,177.15875999796887
PI,PI_wave_03,8,2016-05-15,2.890568143093903,2.072860442896083,4.1243952504563675,primary,28.31160847234028,96.20138249768664
PR,PR_wave_17,4,2023-02-12,2.003722334734676,1.2337056311023986,3.31563449207191,primary,22.431345791373133,265.5516925452648
PR,PR_wave_17,6,2023-02-26,2.343476213922807,1.580632186384457,3.561796488253162,primary,21.581677946893915,274.02138617178014
PR,PR_wave_17,8,2023-03-12,2.6454287158712244,1.8830074067822984,3.792595464997905,primary,22.035909047157382,309.6581451725285
RJ,RJ_wave_04,4,2015-12-27,2.1870933562988526,1.27887641080527,3.815324704653251,primary,27.377434398710673,243.53149235821667
RJ,RJ_wave_04,6,2016-01-10,1.7907344032820705,1.106719491458759,2.9641901412356786,primary,26.340032384977768,193.6799570010019
RJ,RJ_wave_04,8,2016-01-24,1.9122068538276484,1.2722572682819226,2.8952482197125566,primary,24.862422915130455,226.50077276748164
RN,RN_wave_03,4,2016-02-14,3.658608227083895,2.495419461425898,5.579136567877315,primary,26.610912922573956,171.061422185689
RN,RN_wave_03,6,2016-02-28,2.915973016595274,2.0301429457351756,4.33699736599314,primary,27.04426547909841,159.35097305901095
RN,RN_wave_03,8,2016-03-13,2.576270867948228,1.865533881184669,3.64879625950911,primary,27.58151292575288,136.5151103376967
RR,RR_wave_03,4,2017-02-19,1.8648007517606944,1.2379350706217778,2.8691755458100223,primary,26.175736977135923,126.15242487077059
RR,RR_wave_03,6,2017-03-05,1.7062771432678572,1.1766453091622644,2.555758235145154,primary,25.882297541317634,172.25553745851445
RR,RR_wave_03,8,2017-03-19,1.5147691724619068,1.075952828089676,2.2022528246015094,primary,26.09011344636453,190.69729206580803
SC,SC_wave_19,4,2025-02-16,2.2864696370997555,1.432893590120133,3.717249079406561,primary,24.67254376225409,222.6039445028206
SC,SC_wave_19,6,2025-03-02,2.594796277783251,1.763571179803003,3.939367504416715,primary,24.89632820541123,261.43169399330145
SC,SC_wave_19,8,2025-03-16,2.5395954534540426,1.8269874250697715,3.6130589583621657,primary,23.006870984757427,181.9737974353087
SP,SP_wave_06,4,2021-01-31,3.9476869923633497,2.7431226032639717,5.87600138391863,primary,24.265253212392647,282.870332899804
SP,SP_wave_06,6,2021-02-14,3.3729086088513194,2.3837129986977477,4.909400182430123,primary,22.976169361486573,233.76324728158812
SP,SP_wave_06,8,2021-02-28,3.0051958827473,2.2231106576718704,4.2050612051850935,primary,22.819622345471608,184.35899092136836
AL,AL_wave_02,4,2016-02-21,1.949455628149896,1.346356712803349,2.938830632023244,sensitivity_A,26.49630246807537,61.60704050825195
AL,AL_wave_02,6,2016-03-06,1.7370577571180097,1.2194315350518932,2.546849223880771,sensitivity_A,26.916446803359314,48.941616187314345
AL,AL_wave_02,8,2016-03-20,1.569642784557387,1.13945399089529,2.223673961937834,sensitivity_A,26.66085069408181,47.05646618430622
BA,BA_wave_02,4,2016-02-14,2.2144369374520414,1.520323218664252,3.3812119067687094,sensitivity_A,26.242618795636396,166.24471822495374
BA,BA_wave_02,6,2016-02-28,2.6680929501253607,1.9046696074161815,3.877725191464171,sensitivity_A,26.829051521470568,29.005123184659517
