state,anchor_week,temperature_summary,precipitation_summary,S_week,climate_in_training_support,R_climate_hat,R_climate_lower,R_climate_upper,S_pre_median,S_pre_lower,S_pre_upper,first_wave_end,R_pred_median,opportunity_id,state_name,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k,outcome_status_8w
BA,2016-10-09,24.703240967328426,56.119689971503995,2016-08-28,TRUE,2.0755953497524624,1.7786640044022273,2.4220966102936967,0.9965431679613119,0.9930268037364882,0.9982701718841286,2016-08-28,2.068420365248086,BA_20161009,Bahia,2016-10-16,2016-11-20,2016-12-04,TRUE,TRUE,TRUE,1,BA_wave_03,2016-10-16,2017-10-22,1.1734559394706694,0.8080042933447998,1.784439942802693,45.66039064,Major wave within 8 weeks
BA,2016-10-16,24.909322924596488,68.98334208719704,2016-09-04,TRUE,2.105218821523978,1.8182335320179748,2.437501128680644,0.9965201700643554,0.9929801621226819,0.9982593840705279,2016-08-28,2.0978930180477566,BA_20161016,Bahia,2016-10-23,2016-11-27,2016-12-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-10-23,25.143417436943786,74.72028937850354,2016-09-11,TRUE,2.1224250507132765,1.8418094626171255,2.445794848667083,0.9965021085798358,0.9929394002114521,0.9982498884523284,2016-08-28,2.1150010383384448,BA_20161023,Bahia,2016-10-30,2016-12-04,2016-12-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-10-30,25.382234507673136,74.17628507036586,2016-09-18,TRUE,2.1278839087632413,1.8495572828824611,2.448093914732392,0.9964866123267884,0.992906690309762,0.9982414355444453,2016-08-28,2.120407827668167,BA_20161030,Bahia,2016-11-06,2016-12-11,2016-12-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-11-06,25.37615557827026,69.00295756322633,2016-09-25,TRUE,2.1178717075902376,1.8373919401499366,2.4411669997013092,0.9964718035351854,0.9928800049451367,0.9982337698779318,2016-08-28,2.1103994401185866,BA_20161106,Bahia,2016-11-13,2016-12-18,2017-01-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-11-13,25.295610387120405,62.2069308325254,2016-10-02,TRUE,2.1028368860979354,1.8188295499765026,2.431191515219878,0.9964582472098593,0.9928499691029978,0.9982289011264398,2016-08-28,2.0953891576893873,BA_20161113,Bahia,2016-11-20,2016-12-25,2017-01-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-11-20,25.279626021770966,52.39099819806233,2016-10-09,TRUE,2.083984179137377,1.7954785570561291,2.4188481905435086,0.996445774449418,0.9928184985596615,0.9982244079344553,2016-08-28,2.076577229320878,BA_20161120,Bahia,2016-11-27,2017-01-01,2017-01-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-11-27,25.582159529481892,73.63572976809965,2016-10-16,TRUE,2.132301785663731,1.8544525130607317,2.4517807132416096,0.9964334491660127,0.9927891675502493,0.9982179197194007,2016-08-28,2.1246968229517593,BA_20161127,Bahia,2016-12-04,2017-01-08,2017-01-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-12-04,26.07950883821275,84.9216501151821,2016-10-23,TRUE,2.1677430311404953,1.8899974612145363,2.4863048472236966,0.9964208287233314,0.9927643737161529,0.9982103162895446,2016-08-28,2.1599843075482386,BA_20161204,Bahia,2016-12-11,2017-01-15,2017-01-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2016-12-11,26.423854993131258,90.73285463494264,2016-10-30,TRUE,2.1886919572095427,1.9048509121233648,2.5148280388063764,0.99640913516806,0.9927397812575317,0.9982045569621127,2016-08-28,2.180832660232449,BA_20161211,Bahia,2016-12-18,2017-01-22,2017-02-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
