state,episode_id,episode_start,episode_end,anchor_week,temperature_summary_event,precipitation_summary_event,R_climate_hat_event,S_pre_median_event,Re_pred_median,Re_obs_median,Re_obs_lower,Re_obs_upper,reported_incidence_per_100k,state_name
BA,BA_wave_03,2016-10-16,2017-10-22,2016-11-20,25.27962602177097,52.39099819806233,2.083984179137377,0.996445774449418,2.080727414690238,1.1734559394706694,0.8080042933447998,1.784439942802693,45.66039064,Bahia
BA,BA_wave_04,2017-11-12,2018-12-16,2017-12-17,25.551601926775152,75.10376829703148,2.134275495238801,0.9931083242153872,2.1205435041010685,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Bahia
BA,BA_wave_05,2019-02-03,2019-12-15,2019-03-10,27.391357869779863,63.423220161958,2.1623593866165836,0.9914650722325486,2.135600819968773,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777,Bahia
BA,BA_wave_06,2020-01-19,2020-12-20,2020-02-23,26.976120391518567,107.13066634272444,2.2368639498300835,0.9886489761597916,2.21108294488403,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364,Bahia
BA,BA_wave_07,2021-01-03,2021-10-24,2021-02-07,25.806957180303357,44.00209284875285,2.082374393181971,0.9796207202104494,2.040118735201755,2.8219228702929304,1.996569018758673,4.115175892497589,64.55116116,Bahia
BA,BA_wave_08,2021-12-05,2022-10-02,2022-01-09,24.846061829588503,273.920096444018,2.5278306695686816,0.9746214328459872,2.4654733339828607,1.9509810772173637,1.3806884022790014,2.8416752801552843,93.8309236,Bahia
BA,BA_wave_09,2022-11-06,2023-12-24,2022-12-11,24.690483965403303,232.93113671959748,2.431768043541922,0.967604557467594,2.345443306082749,1.8480614056425169,1.3062062337117826,2.7519658300357652,85.17289047,Bahia
BA,BA_wave_10,2024-01-21,2025-12-28,2024-02-25,26.039862858419458,199.69730096567724,2.401491571235573,0.9616984231762588,2.3086933676243167,2.536639210128031,1.826916662081009,3.658050871406114,100.0154851,Bahia
MT,MT_wave_06,2017-12-17,2019-08-18,2018-01-21,25.783603697593517,303.75335703752586,2.62770210755819,0.9716696615831192,2.5538896927089736,3.665110571912772,2.6090741879831874,5.3110364660060085,384.6833438,Mato Grosso
MT,MT_wave_13,2024-01-07,2024-10-06,2024-02-11,26.82923160739207,253.69808820489953,2.546223188421176,0.9032388530916609,2.2937317803581294,4.164370458958377,2.9539918874472675,6.138342002533675,506.9597818,Mato Grosso
MT,MT_wave_14,2024-12-01,2025-12-28,2025-01-05,25.481513912924065,206.40422932397297,2.3987738275549035,0.7648310569256092,1.8364964734648948,2.682665377483171,1.8960105261756035,3.93450242144236,1216.435132,Mato Grosso
RJ,RJ_wave_05,2016-12-04,2017-10-29,2017-01-08,27.84497779721084,167.88654910385105,2.3885107967043617,0.994576160172904,2.3764286704713324,2.8136932364933,1.9813716899667455,4.151052820508581,21.78432427,Rio de Janeiro
RJ,RJ_wave_06,2017-12-31,2018-09-09,2018-02-04,24.70188091649769,292.33685479259543,2.565181342535171,0.9774591377299062,2.5058376356227736,1.8000551227484034,1.262434719281696,2.655080127082135,163.2423681,Rio de Janeiro
RJ,RJ_wave_07,2018-12-30,2020-12-20,2019-02-03,27.078627499229437,147.48885742132035,2.322334667200188,0.8594879389063645,1.987010838389508,1.5210606445803867,1.0816079289492058,2.225350018678889,472.7812533,Rio de Janeiro
RJ,RJ_wave_10,2023-01-29,2024-10-20,2023-03-05,26.397735566125675,295.65046897905734,2.6292650150901844,0.5653033319564449,1.4864281725813084,1.159856998096124,0.7748620570879136,1.7668143777172278,25.9954553,Rio de Janeiro
RJ,RJ_wave_11,2024-11-03,2025-12-28,2024-12-08,24.920225001141517,157.5638739048365,2.279560350653608,0.5551582246481561,1.264000529955256,1.7280692722759765,1.1966236875019838,2.5846316065683808,10.66020078,Rio de Janeiro
