state,calendar_year,wave_id,wave_order,is_recurrence,onset_week,peak_week,end_week,total_cases,cumulative_incidence_per_100k,weeks_since_previous_wave,previous_wave_total_cases,preceding_trough_ratio,re6_prefit_eligible,re6_fit_status,re6_fit_pass,re6_analysis_usable,Re_early_4_median,Re_early_4_q025,Re_early_4_q975,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_8_median,Re_early_8_q025,Re_early_8_q975,susceptibility_timing_status,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,usable,n_major_waves,event_status,map_Re
AC,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AC,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AC,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AC,2018,AC_wave_07,1,FALSE,2018-05-27,2018-10-28,2019-03-31,232,27.21166096,NA,NA,0.066666667,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.970147148293206,0.9786194200835148,0.9823458376353748,0.9857396776214437,0.9910637259391112,FALSE,1,major_re_unavailable,NA
AC,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AC,2020,AC_wave_13,2,TRUE,2020-11-08,2021-03-07,2021-04-11,169,19.46854047,588,232,0,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.945902437330302,0.9587587796466868,0.9646893054289708,0.969935616813387,0.978217045399618,FALSE,1,major_re_unavailable,NA
AC,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AC,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AC,2023,AC_wave_22,3,TRUE,2023-11-26,2024-01-07,2024-10-13,221,25.119245,959,169,0,TRUE,fitted,TRUE,TRUE,NA,NA,NA,5.991802782255448,3.676698143438098,9.920569685113694,4.213425550925132,2.702557656523658,6.640104691771308,retrospective_smoothed,0.924419360882075,0.94099064888891,0.9486057673803228,0.9555222369826508,0.9658997381986504,TRUE,1,recurrent_usable,5.991802782255448
AC,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
