state,foi_equiv_log_mean,foi_equiv_log_sd,foi_equiv_median,foi_equiv_q025,foi_equiv_q975
CE,-4.387228034772244,0.16264051123353757,0.012299640243754014,0.009397290698727589,0.017342554349202604
AM,-4.496568663938937,0.1656630212019836,0.011015221535532395,0.008451233518228927,0.015780471718196198
SP,-4.117038083711794,0.17397910364758892,0.01658808247009931,0.011588181442948414,0.022563033481362425
AC,-4.9562369251788425,0.2005122576968617,0.007208594820359425,0.004928970178246344,0.009915894182172962
AL,-4.762390451635199,0.14895242864197866,0.00867599386617986,0.0064001348398196704,0.010840092209954815
AP,-4.717160468684047,0.21924047237247513,0.009044323198808081,0.005983836324233031,0.013233991303855046
BA,-4.608512236016733,0.14781906721223853,0.010075771791206709,0.007298647029033999,0.013062035041133634
DF,-4.292427715169089,0.2601924873536777,0.01351567558449314,0.008757507802529518,0.02144975821453271
ES,-4.309165673444372,0.1555841197078753,0.013559535309385695,0.009902406760486052,0.01843436184058548
GO,-4.593679171462309,0.1891628709053254,0.01030980572108181,0.006698360849005917,0.013718244572192468
MA,-4.389562863017,0.16464507719577884,0.012373152484652235,0.009342539320858823,0.016870270498069932
MG,-4.244989791870797,0.19015839715031368,0.014465727865673756,0.010164795129638825,0.02053604701249863
MS,-4.582857231088751,0.19350207315891912,0.01052351579745714,0.0072630948397625055,0.014033851907503878
MT,-4.690933069542243,0.1995830979158243,0.009336056917540834,0.005836364464780492,0.012833192104056493
PA,-4.55621597532339,0.17542202222896777,0.01055983308804964,0.0070821984302295166,0.014395926773917603
PB,-4.4693395060727195,0.1464221777136649,0.011526895083591226,0.008366059173296624,0.015301576032243847
PE,-4.52477686247109,0.16036475489768576,0.010839882886850276,0.0077626256046963975,0.015053065418371845
PI,-4.2964184312893945,0.15334758960336445,0.01357398084117337,0.010253478576547627,0.017908183493247052
PR,-4.2294764211255185,0.21298479800588516,0.01501982015452458,0.009828248215346683,0.021273483060510436
RJ,-4.3740038362083755,0.1765452290154127,0.0125916349034378,0.00932412782972835,0.017277387949680298
RN,-4.449572667835975,0.14802915733452615,0.01166529395730871,0.008652995132678384,0.016254177625322736
RO,-4.816190076259512,0.17784358488342608,0.00818025315549872,0.005574741247780691,0.010844057779321268
RR,-4.267464594544501,0.1510141903818834,0.014247632629602415,0.010606799343412578,0.018495807379866835
RS,-4.235858039326186,0.20808372165460176,0.01492042886434167,0.009477558340117438,0.02127543954327115
SC,-4.193055060773116,0.19340138010009375,0.015226331564213349,0.010487040092634275,0.02223007063378963
SE,-4.510143844225651,0.17117286791496067,0.011037260629191189,0.0074584575916693645,0.01498161447347502
TO,-4.8230929378902365,0.2400935631784508,0.007981117715486655,0.004850593797502818,0.012141909101275324
