state,fit_status,elapsed_seconds,divergences,treedepth_hits,max_rhat,min_bulk_ess,min_tail_ess,min_bfmi,bfmi_by_chain,hmc_pass
CE,fitted,17.572999954223633,0,0,1.0060767837728326,544.662871084449,1720.4027446980651,0.5372253453011999,0.588;0.537;0.668;0.621,TRUE
AM,fitted,16.902207136154175,0,0,1.0019155307203709,915.3059348479693,1681.3938422575566,0.5806810577261904,0.581;0.735;0.69;0.7,TRUE
SP,fitted,18.69902014732361,0,0,1.0073908804626786,466.90813981359327,1604.4074956493912,0.5547874215445489,0.582;0.555;0.582;0.583,TRUE
AC,fitted,21.99346899986267,0,0,1.002999104331011,981.7151086983232,1259.1180953555304,0.6160447989071635,0.616;0.666;0.661;0.763,TRUE
AL,fitted,16.53967308998108,0,0,1.0077110012764035,434.15602948175524,1745.1921976572619,0.48955712232575316,0.49;0.665;0.663;0.6,TRUE
AP,fitted,19.61398196220398,0,0,1.0034792225487617,924.738727371375,1679.3124361364755,0.6578317837318287,0.71;0.658;0.747;0.7,TRUE
BA,fitted,27.405208110809326,0,0,1.0008407547854419,777.3592252950224,1052.3574571944177,0.6778522937747093,0.737;0.729;0.752;0.678,TRUE
DF,fitted,17.61660408973694,0,0,1.0037680064156658,684.8317426442653,1195.3619867898228,0.5508827965974644,0.588;0.584;0.551;0.629,TRUE
ES,fitted,17.171406030654907,0,0,1.0014764451361744,576.2870511931094,1101.431338026478,0.5460440261654188,0.546;0.563;0.563;0.607,TRUE
GO,fitted,15.45462703704834,0,0,1.003362343341462,762.3472861565604,1596.7149433905242,0.5468439797655019,0.628;0.571;0.547;0.618,TRUE
MA,fitted,14.791576862335205,0,0,1.0054415389942053,757.0778423443054,2095.932517766058,0.6080461836246914,0.637;0.608;0.682;0.621,TRUE
MG,fitted,13.440227031707764,0,0,1.0034333734642085,664.9808062835941,1311.1284211169618,0.509570052823677,0.51;0.591;0.642;0.574,TRUE
MS,fitted,15.555758953094482,0,0,1.000823602270404,429.95690877808835,1101.9246973953148,0.5098739818873739,0.518;0.522;0.51;0.527,TRUE
MT,fitted,14.360249996185303,0,0,1.004922476758431,627.0947020728937,1510.1445590223489,0.5548236288154175,0.641;0.555;0.757;0.594,TRUE
PA,fitted,21.20687985420227,0,0,1.0023018177549008,678.1306671210564,1698.1871675318066,0.5680724358470952,0.568;0.636;0.621;0.604,TRUE
PB,fitted,14.343240976333618,0,0,1.0079026626559096,799.3529823713808,1613.6371289506415,0.5861914327084018,0.602;0.606;0.619;0.586,TRUE
PE,fitted,15.204425811767578,0,0,1.0034491106474952,559.488307649841,1488.4753523109878,0.49808501027780305,0.724;0.597;0.498;0.646,TRUE
PI,fitted,12.61484408378601,0,0,1.007242718738491,748.8750129312543,1708.0059633286053,0.5462623754972076,0.569;0.566;0.546;0.673,TRUE
PR,fitted,10.333698987960815,0,0,1.0048531109119547,413.89035271667115,1307.329612321253,0.4669978304464908,0.492;0.521;0.467;0.597,TRUE
RJ,fitted,15.000848054885864,0,0,1.0017762436626756,436.1291173704697,1445.6278464882416,0.5172496734190548,0.597;0.517;0.567;0.526,TRUE
RN,fitted,16.66068387031555,0,0,1.0040389651947155,1082.4360214060148,1611.6232699935351,0.6025601089361015,0.735;0.647;0.746;0.603,TRUE
RO,fitted,17.978407859802246,0,0,1.0074889247078294,344.67946494304505,957.8884795355737,0.4376702781650103,0.443;0.462;0.438;0.523,FALSE
RR,fitted,18.201236963272095,0,0,1.0184987703621324,280.97363974351236,1240.548393688778,0.4926320378048247,0.494;0.493;0.503;0.54,FALSE
RS,fitted,16.751327991485596,0,0,1.0082492341165454,547.4101092718588,1336.6413320461886,0.5668586863788123,0.575;0.567;0.599;0.589,TRUE
SC,fitted,17.661248922348022,0,0,1.0062361675796443,448.2801813227002,909.8211711069268,0.5065236843666538,0.507;0.508;0.518;0.632,TRUE
SE,fitted,13.06890320777893,0,0,1.0039997705438155,763.2239327194993,1300.7371117394355,0.5814225866132099,0.581;0.645;0.631;0.615,TRUE
TO,fitted,17.5455641746521,0,0,1.003732225811828,714.5881119838656,1377.152023999606,0.6152853606101764,0.671;0.616;0.615;0.678,TRUE
