model_name,n_waves,n_states,climate_window,FOI_scale_scenario,AIC,deviance_explained,adjusted_R2,leave_one_state_out_RMSE,leave_one_state_out_MAE,direction_of_S_effect,effective_df_S,evidence_for_nonzero_S_effect
M_climate,117,22,pre6_2_PRIMARY,0_5,51.73678726037795,0.2515875024708377,0.23845691388450208,0.3051539063366756,0.2399360165157296,NA,NA,NA
M_climate_S,117,22,pre6_2_PRIMARY,0_5,48.98271733483158,0.28931770192266065,0.2680472620335713,0.30802147256423174,0.23971326158407377,smooth,1.0000058004929604,p=0.0227
M_climate_S_linear,117,22,pre6_2_PRIMARY,0_5,48.982940001212,0.2893187997035344,0.26804773427926554,0.306818896308127,0.23838415401661375,linear_positive,1,p=0.0227
M_mechanistic_gate,117,22,pre6_2_PRIMARY,0_5,49.23272854217445,0.2476807587084299,0.25458255834610743,0.30305493809724887,0.23733706545642813,NA,NA,NA
M_climate,117,22,pre4_1,0_5,60.49125339549553,0.19940556337339754,0.18366290617777847,0.331231643514838,0.25807360361550735,NA,NA,NA
M_climate_S,117,22,pre4_1,0_5,55.902287322146734,0.23760978259055887,0.21736789439051496,0.32971115761823055,0.2566366075139689,smooth,1.0000185143953426,p=0.0142
M_climate_S_linear,117,22,pre4_1,0_5,55.9022358482017,0.23760955520374577,0.21736781051651588,0.32541167893728506,0.25511380527665434,linear_positive,1,p=0.0142
M_mechanistic_gate,117,22,pre4_1,0_5,57.68591031441696,0.19561442756414152,0.20183335834999316,0.3277262509310799,0.2554182066820134,NA,NA,NA
M_climate,117,22,pre8_4,0_5,54.85117342043472,0.24109990525978592,0.22483421660752767,0.3055694663067952,0.2421490348428736,NA,NA,NA
M_climate_S,117,22,pre8_4,0_5,51.164208875500364,0.2820591769383914,0.25811593919472164,0.3003790035240293,0.24084370599749894,smooth,1.0000023734596384,p=0.0193
M_climate_S_linear,117,22,pre8_4,0_5,51.164201492294744,0.2820591734483095,0.2581159489005347,0.30037898958367704,0.24084368976953824,linear_positive,1,p=0.0193
M_mechanistic_gate,117,22,pre8_4,0_5,52.326021345237635,0.23916242776443242,0.24257205238267787,0.30239077289163613,0.24053336032134434,NA,NA,NA
M_climate,117,22,pre6_2_PRIMARY,1_0,51.73678726037795,0.2515875024708377,0.23845691388450208,0.3051539063366756,0.2399360165157296,NA,NA,NA
M_climate_S,117,22,pre6_2_PRIMARY,1_0,49.01895919544224,0.2889900521747783,0.2677475557422757,0.3080689142855465,0.23964454082281447,smooth,1.000005552796662,p=0.0233
M_climate_S_linear,117,22,pre6_2_PRIMARY,1_0,49.0191737499204,0.2889911110376043,0.26774801145920635,0.30690514764854526,0.23833312199357562,linear_positive,1,p=0.0233
M_mechanistic_gate,117,22,pre6_2_PRIMARY,1_0,47.54154651412739,0.24240288152680362,0.26528023319685445,0.3026264801236406,0.23529418225452484,NA,NA,NA
M_climate,117,22,pre4_1,1_0,60.49125339549553,0.19940556337339754,0.18366290617777847,0.331231643514838,0.25807360361550735,NA,NA,NA
M_climate_S,117,22,pre4_1,1_0,55.94279474294777,0.23734577204871632,0.21709687745795336,0.32962186898319285,0.2565567725691926,smooth,1.000018692374989,p=0.0145
M_climate_S_linear,117,22,pre4_1,1_0,55.94274275031419,0.23734554206344874,0.21709679253628444,0.3254197467693696,0.2550650025223743,linear_positive,1,p=0.0145
M_mechanistic_gate,117,22,pre4_1,1_0,55.58868979763173,0.190562735594904,0.2144679818975469,0.3250992014933869,0.2538146432165725,NA,NA,NA
M_climate,117,22,pre8_4,1_0,54.85117342043472,0.24109990525978592,0.22483421660752767,0.3055694663067952,0.2421490348428736,NA,NA,NA
M_climate_S,117,22,pre8_4,1_0,51.18987188940175,0.28189514032965474,0.2579499239101032,0.3004492578291143,0.24082193020378123,smooth,1.00000235533362,p=0.0196
M_climate_S_linear,117,22,pre8_4,1_0,51.18986448484576,0.2818951369092091,0.25794993370424557,0.3004492430567611,0.24082191242430784,linear_positive,1,p=0.0196
M_mechanistic_gate,117,22,pre8_4,1_0,50.52406878879966,0.23601219421197034,0.2550135096557611,0.300129074975497,0.2392651818670264,NA,NA,NA
M_climate,117,22,pre6_2_PRIMARY,2_0,51.73678726037795,0.2515875024708377,0.23845691388450208,0.3051539063366756,0.2399360165157296,NA,NA,NA
M_climate_S,117,22,pre6_2_PRIMARY,2_0,49.07425168186718,0.2884641703027982,0.2672722488422833,0.30808062133246833,0.2394190960497165,smooth,1.0000048103353156,p=0.0242
M_climate_S_linear,117,22,pre6_2_PRIMARY,2_0,49.07445375235478,0.28846517053413734,0.2672726800952664,0.30706283672794077,0.23822323433690626,linear_positive,1,p=0.0242
M_mechanistic_gate,117,22,pre6_2_PRIMARY,2_0,47.066113925316024,0.23472682557993158,0.27451935551887263,0.30441564448204494,0.23714395569172775,NA,NA,NA
M_climate,117,22,pre4_1,2_0,60.49125339549553,0.19940556337339754,0.18366290617777847,0.331231643514838,0.25807360361550735,NA,NA,NA
M_climate_S,117,22,pre4_1,2_0,56.007562768708176,0.23692341030333505,0.21666331776425507,0.32930439498189873,0.25638335977255966,smooth,1.0000177777659653,p=0.0150
M_climate_S_linear,117,22,pre4_1,2_0,56.00751239884971,0.2369231936294546,0.21666324020765693,0.32540575459557053,0.2549473078867088,linear_positive,1,p=0.0150
M_mechanistic_gate,117,22,pre4_1,2_0,53.87381801901815,0.17888637922064957,0.22442165828835348,0.32260421480853096,0.2536344959316988,NA,NA,NA
M_climate,117,22,pre8_4,2_0,54.85117342043472,0.24109990525978592,0.22483421660752767,0.3055694663067952,0.2421490348428736,NA,NA,NA
M_climate_S,117,22,pre8_4,2_0,51.222400039126526,0.2816978095165668,0.2577460666476986,0.3005637511409596,0.24075853226836777,smooth,1.0000022893808023,p=0.0199
M_climate_S_linear,117,22,pre8_4,2_0,51.22239271763165,0.2816978068471523,0.2577460768733818,0.30056373428765265,0.24075851079463015,linear_positive,1,p=0.0199
M_mechanistic_gate,117,22,pre8_4,2_0,49.21158789890895,0.22659050997847557,0.26455934929304137,0.298353994107286,0.23925387269169146,NA,NA,NA
