state,q_implied_q025,q_implied_median,q_implied_q975,q_implied_gt_one_draw_fraction
CE,0.12763332963241733,0.1702734688697528,0.2299448868973156,0
AM,0.00142273888482504,0.00192821257072874,0.00264753810682715,0
SP,0.00369044813905736,0.00497278109890962,0.00676982542355993,0
AC,0.01063428204744615,0.01528567594222942,0.02261114298608998,0
AL,0.07298165119766271,0.09671069415929208,0.12865940827802308,0
AP,0.00959946723237096,0.0142306663218246,0.02170231869678949,0
BA,0.04648112187777053,0.06071990466300235,0.08009755605789316,0
DF,0.00315987777180994,0.00491522839901499,0.00781808338201224,0
ES,0.03988254407088615,0.05205840717631116,0.06963609272128163,0
GO,0.01894109795259808,0.02675208345156529,0.03779216710863976,0
MA,0.0161241332604274,0.02197013068337038,0.0300334992844722,0
MG,0.07019668955939279,0.09781446527685062,0.1377326348872823,0
MS,0.02775046659128181,0.03977075057647385,0.0567570799412331,0
MT,0.16945147659940624,0.24367823100371344,0.3592822889055707,0
PA,0.01509056979400928,0.02083952861665381,0.02925715133935126,0
PB,0.06679769823453026,0.08684329139628644,0.11391571344552182,0
PE,0.04138489981647909,0.05550630465040383,0.0751865611285184,0
PI,0.03684495137562427,0.04851449342598235,0.06401497284161929,0
PR,0.00343425967604933,0.00495160340118405,0.00720655082110389,0
RJ,0.0411324366200422,0.05715217681189888,0.07893554247980383,0
RN,0.05014445977735356,0.06553741973528857,0.0853883909987373,0
RO,0.02373549592258354,0.03315631427363282,0.0467360676024501,0
RR,0.03805994153398263,0.05043376825019177,0.06684164691280442,0
RS,3.717982282720216e-4,5.441850357112792e-4,7.921191590659691e-4,0
SC,6.130483423347064e-4,8.506169283015151e-4,0.00121713288774123,0
SE,0.05061395117061475,0.06980604574166975,0.09498402112722336,0
TO,0.06191904877852673,0.09543510920525416,0.1508137359842679,0
