state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
AC,AC_wave_07,0.9413815178661538,0.9578664863826044,0.9651799759937557,0.9718489935212162,0.9823907190991417,4000
AC,AC_wave_13,0.894961564608502,0.9193902825744128,0.9307712158519819,0.9409010537761356,0.9570248746731284,4000
AC,AC_wave_22,0.854910831291765,0.8856970581391544,0.9000436723518197,0.91318075355708,0.9330448802282111,4000
AL,AL_wave_02,0.9765031702752318,0.984460026882226,0.9898906164756154,0.9943747860751315,0.998173634578567,4000
AL,AL_wave_03,0.9139028825559152,0.9401544364817374,0.9498846423099316,0.9578318044610048,0.9722545617018613,4000
AL,AL_wave_04,0.9054416938738097,0.9286884120429,0.9386580313409227,0.9478469852812434,0.9647924435567188,4000
AL,AL_wave_07,0.8772635944859754,0.9034681310741645,0.9155703770332749,0.928129201379444,0.9495538298599568,4000
AL,AL_wave_08,0.8638317035802543,0.8915692760843362,0.9053961680144234,0.9198437947008448,0.9445879811077496,4000
AL,AL_wave_09,0.8193693155644365,0.8526233579982755,0.8668483035923173,0.8797772909017278,0.901797470206888,4000
AL,AL_wave_10,0.810402896676006,0.8435595603919096,0.8577389890756604,0.8715017955772442,0.895062561025326,4000
AM,AM_wave_15,0.806813092098535,0.8444264234433786,0.8634768253700449,0.8800813955403102,0.9104255532337503,4000
AP,AP_wave_02,0.9762513575598166,0.985366856917224,0.9901358319031608,0.9942437086109642,0.9981653029685749,4000
AP,AP_wave_03,0.9381777153019524,0.9599899337616802,0.9678683129882057,0.9749190305383203,0.9859084034219346,4000
AP,AP_wave_04,0.9031677533323754,0.9351925807763994,0.9471801503838005,0.9563462375280762,0.9711731486498003,4000
AP,AP_wave_17,0.8169263216289613,0.8586685449440444,0.8780846249848686,0.8949956253573048,0.9220651804410982,4000
BA,BA_wave_02,0.9759718544860806,0.9832521203827629,0.9881284857571049,0.9924430755663189,0.9970970153929469,4000
BA,BA_wave_03,0.9530951607780583,0.9643142718547463,0.9709152018441174,0.9778374419445657,0.9875956523078072,4000
BA,BA_wave_04,0.9291469951750307,0.944104017524198,0.9522799914371424,0.9614061712889213,0.9755539603325669,4000
BA,BA_wave_05,0.9084706323345183,0.9270327624336067,0.9372118420981059,0.9484409787543143,0.965983145169838,4000
BA,BA_wave_06,0.8875016824972002,0.909285563031363,0.9211243014948005,0.9329215777980591,0.9542734647019961,4000
BA,BA_wave_07,0.8601844014323162,0.8870146053384758,0.8988648415040092,0.9101610421486331,0.9327869980061162,4000
BA,BA_wave_08,0.8389824546619948,0.869227236489551,0.8822746606123667,0.8941782144406473,0.9172878972816871,4000
BA,BA_wave_09,0.8171479254299832,0.8493342045222869,0.8632806597745424,0.8759696988650012,0.8991814339937021,4000
BA,BA_wave_10,0.7953675460935052,0.8297142467758438,0.8445602259694758,0.8581719944689331,0.8821302912177228,4000
CE,CE_wave_02,0.9671050580122581,0.978292356309549,0.9860389740433777,0.994328161673383,0.9987101340363203,4000
CE,CE_wave_03,0.918128746493406,0.9467458350250295,0.9562317217220896,0.9657699879587129,0.9842409048864154,4000
CE,CE_wave_04,0.7995088221856638,0.8612586971271395,0.8921323336483578,0.9108410661754336,0.933683407528774,4000
CE,CE_wave_05,0.7938670149536183,0.851250286777266,0.8760369543046493,0.8945069221040032,0.9194950707649875,4000
CE,CE_wave_06,0.7780004150616756,0.8251237764457373,0.8453408402348339,0.8623414105354188,0.8926944929387682,4000
CE,CE_wave_07,0.7306835208696204,0.7794557351602578,0.8012037226186175,0.8221131721790795,0.8547731845319212,4000
CE,CE_wave_08,0.7220005693819511,0.767412786148171,0.7890622053921066,0.8098486526529678,0.8417047889625464,4000
DF,DF_wave_12,0.7861015074791623,0.8542716401644416,0.8865626298140394,0.9161739785451949,0.9542582481461284,4000
DF,DF_wave_13,0.7435424604311431,0.8171506808965582,0.8482778679396148,0.8774744908407366,0.9178605991036729,4000
DF,DF_wave_14,0.708873088763449,0.7808326293666077,0.8128804540639527,0.8418898019693772,0.8839751425610406,4000
DF,DF_wave_15,0.6747111827880394,0.7490771139200496,0.7839773685519136,0.8152337588627266,0.8625355793531405,4000
ES,ES_wave_02,0.9423389501812803,0.962652097110533,0.9786579894397133,0.9880708061065457,0.9957758513572167,4000
ES,ES_wave_03,0.9142169510062729,0.9404545897644512,0.9602602872083956,0.9749640782939494,0.9893972210997332,4000
ES,ES_wave_04,0.882602116788554,0.9156919510085098,0.940849868237972,0.9604904543172053,0.981533227091757,4000
ES,ES_wave_05,0.8665018829250826,0.901138407464267,0.9261608122344054,0.9477827015719966,0.9726249776023853,4000
ES,ES_wave_08,0.8194837424524937,0.8607821627394991,0.88560430605285,0.9117421193532584,0.9462100574728951,4000
ES,ES_wave_09,0.7820419793620863,0.8307148051718176,0.8617185093960247,0.8935994495225396,0.9332128485332394,4000
ES,ES_wave_10,0.753415014214084,0.8019653566420898,0.8316760652616018,0.8603013387867776,0.9048357915957677,4000
ES,ES_wave_11,0.7154457574805,0.7603353198206388,0.7806196984720413,0.8009789182498201,0.835997062842344,4000
GO,GO_wave_15,0.8510117539130351,0.8945046917927908,0.9247797294074908,0.9586075934799764,0.9857153235031991,4000
GO,GO_wave_16,0.819971556110458,0.8666633977421412,0.8938176892078329,0.9256642050778168,0.9604147679525454,4000
GO,GO_wave_17,0.8063624848777318,0.8528850849620806,0.8799060900959659,0.9089750273891124,0.9472468819268071,4000
GO,GO_wave_18,0.7607347614776634,0.8090560280426708,0.8302886597033926,0.8500214050756609,0.8833842028473647,4000
MA,MA_wave_02,0.968182500488476,0.9793231632608704,0.9868480937994906,0.9921991818240228,0.9967480674084498,4000
MA,MA_wave_03,0.8806102342881037,0.923730913257899,0.9437230344120253,0.9558276578942805,0.9724883400478553,4000
MA,MA_wave_04,0.8274182854469062,0.8803147548066295,0.9084966697838905,0.9279947438069418,0.9500764961261081,4000
MA,MA_wave_05,0.81814873691113,0.8672555256551457,0.891139840065009,0.909324391743698,0.9336301574808883,4000
MA,MA_wave_08,0.7959100209670296,0.8380313334480748,0.8573771149389915,0.8740463431711996,0.9034799442063235,4000
MA,MA_wave_09,0.7668983331893962,0.8099333137389582,0.8301050193300552,0.8485887079710741,0.8800046402731689,4000
MA,MA_wave_10,0.7389248460049955,0.7851879671280475,0.8079987204613708,0.8275153313738561,0.8613147769587821,4000
MA,MA_wave_11,0.7230211473965301,0.7707042796663567,0.7938517576049016,0.8137828591200693,0.8484253262277911,4000
MG,MG_wave_05,0.9315846070106085,0.9582019287362712,0.9772373943720601,0.989357968670701,0.9966732375502949,4000
MG,MG_wave_06,0.8971504500577537,0.9304918477715279,0.9528340995012334,0.9721424619392588,0.9896979063147449,4000
MG,MG_wave_07,0.8644924880209712,0.90438701626092,0.9315822480339763,0.9562489665450619,0.9813779112858797,4000
MG,MG_wave_08,0.8362298506378765,0.8845239237820222,0.9171528482754955,0.94701396350635,0.9757033146494946,4000
MG,MG_wave_09,0.8209151905584053,0.8716437317095134,0.9066702166211231,0.940758473877272,0.972354782881125,4000
MG,MG_wave_10,0.7840009519627146,0.842665977314193,0.8827473351112259,0.9256994429949571,0.9644311123728226,4000
MG,MG_wave_11,0.7706492299151433,0.8304338428086476,0.8713358828587547,0.9166450246916877,0.9587787926992155,4000
MG,MG_wave_12,0.7310342588333262,0.7937320299001808,0.8274789095933681,0.8625320529429079,0.91042702301925,4000
MG,MG_wave_13,0.6754620325660815,0.7343604259976881,0.761922398293625,0.7881272706302801,0.8317437085185414,4000
MS,MS_wave_05,0.9267096068199371,0.9516758388402414,0.9727094312908913,0.986061061824368,0.9943842011218194,4000
MS,MS_wave_10,0.846690775986469,0.8913145233726278,0.9344280426549314,0.9647025200440456,0.9826784135535382,4000
MS,MS_wave_11,0.8206665032151215,0.8723638586036362,0.919882112983459,0.95645025762661,0.9775051470555647,4000
MS,MS_wave_12,0.8007802147410827,0.8546692435718795,0.8993077234914724,0.9369834807486292,0.9635486689028954,4000
MS,MS_wave_13,0.7821497794350037,0.839058367439386,0.8825260729954845,0.9236723815236051,0.9536564479475068,4000
MT,MT_wave_05,0.9615468570445683,0.9740055593928773,0.981127854069238,0.9902937257098718,0.9979307663857625,4000
MT,MT_wave_06,0.9316183737793744,0.9516504837935049,0.9621243026901357,0.9754943435501497,0.9918878931305066,4000
MT,MT_wave_07,0.8834197499717958,0.9143750155636152,0.9293977338232751,0.9446977655510804,0.9724573562203149,4000
MT,MT_wave_13,0.8122015568233354,0.8580744665278125,0.8826681661918541,0.913520463956796,0.9595997424976003,4000
