state,year,weekly_timing_unidentified,raw_cases_year,smoothed_weight_sum,annual_infection_allocation_max_abs_error
AC,2015,TRUE,0,0,NA
AC,2016,FALSE,63,1,4.547473508864641e-13
AC,2017,FALSE,69,1,3.637978807091713e-12
AC,2018,FALSE,237,1,9.094947017729282e-13
AC,2019,FALSE,46,1,9.094947017729282e-13
AC,2020,FALSE,49,0.9999999999999999,3.637978807091713e-12
AC,2021,FALSE,208,0.9999999999999999,3.637978807091713e-12
AC,2022,FALSE,17,1,1.8189894035458565e-12
AC,2023,FALSE,68,1,9.094947017729282e-13
AC,2024,FALSE,183,1,3.637978807091713e-12
AC,2025,FALSE,44,1,9.094947017729282e-13
AL,2015,FALSE,95,1,3.637978807091713e-12
AL,2016,FALSE,9304,1,2.9103830456733704e-11
AL,2017,FALSE,434,1,1.8189894035458565e-12
AL,2018,FALSE,192,1,7.275957614183426e-12
AL,2019,FALSE,1513,1,3.637978807091713e-12
AL,2020,FALSE,146,0.9999999999999999,7.275957614183426e-12
AL,2021,FALSE,527,1,7.275957614183426e-12
AL,2022,FALSE,10479,1,0
AL,2023,FALSE,876,1,0
AL,2024,FALSE,410,0.9999999999999999,7.275957614183426e-12
AL,2025,FALSE,3916,1,1.4551915228366852e-11
AM,2015,TRUE,0,0,NA
AM,2016,FALSE,100,0.9999999999999999,2.9103830456733704e-11
AM,2017,FALSE,88,1,1.4551915228366852e-11
AM,2018,FALSE,7,1,7.275957614183426e-12
AM,2019,FALSE,46,1,2.9103830456733704e-11
AM,2020,FALSE,10,0.9999999999999999,2.9103830456733704e-11
AM,2021,FALSE,122,1,1.4551915228366852e-11
AM,2022,FALSE,142,1,2.9103830456733704e-11
AM,2023,FALSE,192,1,1.4551915228366852e-11
AM,2024,FALSE,44,1,1.4551915228366852e-11
AM,2025,FALSE,160,0.9999999999999999,2.9103830456733704e-11
AP,2015,FALSE,2,1,3.637978807091713e-12
AP,2016,FALSE,176,1,9.094947017729282e-13
AP,2017,FALSE,217,1,3.637978807091713e-12
AP,2018,FALSE,170,1,1.8189894035458565e-12
AP,2019,FALSE,27,1,1.8189894035458565e-12
AP,2020,FALSE,7,1,1.8189894035458565e-12
AP,2021,FALSE,76,0.9999999999999999,3.637978807091713e-12
AP,2022,FALSE,25,1,1.8189894035458565e-12
AP,2023,FALSE,41,1,3.637978807091713e-12
AP,2024,FALSE,241,1,1.8189894035458565e-12
AP,2025,FALSE,60,1,1.8189894035458565e-12
BA,2015,FALSE,254,1,1.4551915228366852e-11
BA,2016,FALSE,6549,1,1.4551915228366852e-11
BA,2017,FALSE,6323,0.9999999999999999,5.820766091346741e-11
BA,2018,FALSE,3266,1,0
BA,2019,FALSE,5900,1,0
BA,2020,FALSE,18947,1,0
BA,2021,FALSE,10085,1,0
BA,2022,FALSE,14599,1,0
BA,2023,FALSE,11714,0.9999999999999999,5.820766091346741e-11
BA,2024,FALSE,13392,1,0
BA,2025,FALSE,1595,1,1.4551915228366852e-11
CE,2015,FALSE,25,1,2.9103830456733704e-11
CE,2016,FALSE,30862,1,2.9103830456733704e-11
CE,2017,FALSE,107421,1,0
CE,2018,FALSE,1454,1,2.9103830456733704e-11
CE,2019,FALSE,1202,1,1.4551915228366852e-11
CE,2020,FALSE,1013,1,0
CE,2021,FALSE,1318,1,0
CE,2022,FALSE,50986,1,0
CE,2023,FALSE,2017,1,1.4551915228366852e-11
CE,2024,FALSE,890,1,7.275957614183426e-12
CE,2025,FALSE,683,1,2.9103830456733704e-11
DF,2015,TRUE,0,0,NA
DF,2016,FALSE,66,0.9999999999999999,2.9103830456733704e-11
DF,2017,FALSE,40,1,7.275957614183426e-12
DF,2018,FALSE,11,0.9999999999999999,1.4551915228366852e-11
DF,2019,FALSE,40,1,7.275957614183426e-12
DF,2020,FALSE,58,1,7.275957614183426e-12
DF,2021,FALSE,113,1,7.275957614183426e-12
DF,2022,FALSE,476,1,2.9103830456733704e-11
DF,2023,FALSE,578,0.9999999999999999,2.9103830456733704e-11
DF,2024,FALSE,355,1,0
DF,2025,FALSE,230,1,1.4551915228366852e-11
ES,2015,FALSE,3,1,0
ES,2016,FALSE,91,1,1.4551915228366852e-11
ES,2017,FALSE,747,0.9999999999999999,2.9103830456733704e-11
ES,2018,FALSE,549,1,1.4551915228366852e-11
ES,2019,FALSE,2168,1,0
ES,2020,FALSE,4001,1,1.4551915228366852e-11
ES,2021,FALSE,1,1,0
ES,2022,FALSE,1088,1,0
ES,2023,FALSE,4942,1,1.4551915228366852e-11
ES,2024,FALSE,12856,1,0
ES,2025,FALSE,2177,1,2.9103830456733704e-11
GO,2015,FALSE,2,1,2.9103830456733704e-11
GO,2016,FALSE,40,1,2.9103830456733704e-11
GO,2017,FALSE,51,1,1.4551915228366852e-11
GO,2018,FALSE,10,1,1.4551915228366852e-11
GO,2019,FALSE,4,1,2.9103830456733704e-11
GO,2020,TRUE,0,0,NA
GO,2021,FALSE,465,1,2.9103830456733704e-11
GO,2022,FALSE,4016,1,1.4551915228366852e-11
GO,2023,FALSE,2861,1,3.637978807091713e-12
GO,2024,FALSE,10304,1,0
GO,2025,FALSE,2113,1,1.4551915228366852e-11
MA,2015,FALSE,32,1,2.9103830456733704e-11
MA,2016,FALSE,7231,1,0
MA,2017,FALSE,5061,1,5.820766091346741e-11
MA,2018,FALSE,516,1,2.9103830456733704e-11
MA,2019,FALSE,595,1,1.4551915228366852e-11
MA,2020,FALSE,155,1,1.4551915228366852e-11
MA,2021,FALSE,182,1,1.4551915228366852e-11
MA,2022,FALSE,1738,1,1.4551915228366852e-11
MA,2023,FALSE,2730,0.9999999999999999,5.820766091346741e-11
MA,2024,FALSE,793,1,1.4551915228366852e-11
MA,2025,FALSE,482,1,1.4551915228366852e-11
MG,2015,FALSE,11,1,1.1641532182693481e-10
MG,2016,FALSE,207,1,2.9103830456733704e-11
MG,2017,FALSE,13884,1,5.820766091346741e-11
MG,2018,FALSE,11063,0.9999999999999999,1.1641532182693481e-10
MG,2019,FALSE,1791,1,5.820766091346741e-11
MG,2020,FALSE,2528,0.9999999999999999,5.820766091346741e-11
MG,2021,FALSE,5027,1,1.1641532182693481e-10
MG,2022,FALSE,10809,1,0
MG,2023,FALSE,88570,0.9999999999999999,2.3283064365386963e-10
MG,2024,FALSE,146446,1,0
MG,2025,FALSE,17844,1,0
MS,2015,FALSE,38,1,7.275957614183426e-12
MS,2016,FALSE,26,1,7.275957614183426e-12
MS,2017,FALSE,118,0.9999999999999999,1.4551915228366852e-11
MS,2018,FALSE,218,1,7.275957614183426e-12
MS,2019,FALSE,67,1,7.275957614183426e-12
MS,2020,FALSE,71,0.9999999999999999,7.275957614183426e-12
MS,2021,FALSE,102,1,1.4551915228366852e-11
MS,2022,FALSE,260,1,7.275957614183426e-12
MS,2023,FALSE,1441,0.9999999999999999,1.4551915228366852e-11
MS,2024,FALSE,922,1,3.637978807091713e-12
MS,2025,FALSE,8609,0.9999999999999999,5.820766091346741e-11
MT,2015,FALSE,9,1,1.4551915228366852e-11
MT,2016,FALSE,93,1,7.275957614183426e-12
MT,2017,FALSE,3872,1,7.275957614183426e-12
MT,2018,FALSE,12345,1,0
MT,2019,FALSE,339,1,0
MT,2020,FALSE,188,1,7.275957614183426e-12
MT,2021,FALSE,100,1,3.637978807091713e-12
MT,2022,FALSE,155,0.9999999999999999,1.4551915228366852e-11
MT,2023,FALSE,289,1,7.275957614183426e-12
MT,2024,FALSE,22298,1,0
MT,2025,FALSE,45131,1,1.4551915228366852e-11
PA,2015,FALSE,7,1,2.9103830456733704e-11
PA,2016,FALSE,1657,1,2.9103830456733704e-11
PA,2017,FALSE,7325,1,5.820766091346741e-11
PA,2018,FALSE,6851,1,1.4551915228366852e-11
PA,2019,FALSE,2069,1,5.820766091346741e-11
PA,2020,FALSE,154,1,1.4551915228366852e-11
PA,2021,FALSE,116,1,1.4551915228366852e-11
PA,2022,FALSE,87,1,1.4551915228366852e-11
PA,2023,FALSE,205,1,2.9103830456733704e-11
PA,2024,FALSE,379,1,5.820766091346741e-11
PA,2025,FALSE,368,1,2.9103830456733704e-11
PB,2015,FALSE,19,1,7.275957614183426e-12
PB,2016,FALSE,7781,1,1.8189894035458565e-12
PB,2017,FALSE,1363,1,3.637978807091713e-12
PB,2018,FALSE,618,0.9999999999999999,1.4551915228366852e-11
PB,2019,FALSE,1079,1,1.4551915228366852e-11
PB,2020,FALSE,1297,1,0
PB,2021,FALSE,9266,1,1.4551915228366852e-11
PB,2022,FALSE,16839,1,2.9103830456733704e-11
PB,2023,FALSE,1283,0.9999999999999999,1.4551915228366852e-11
PB,2024,FALSE,1550,0.9999999999999999,1.4551915228366852e-11
PB,2025,FALSE,540,1,2.9103830456733704e-11
PE,2015,FALSE,613,0.9999999999999999,2.9103830456733704e-11
PE,2016,FALSE,14288,1,5.820766091346741e-11
PE,2017,FALSE,1171,1,2.9103830456733704e-11
PE,2018,FALSE,656,0.9999999999999999,2.9103830456733704e-11
PE,2019,FALSE,1362,1,1.4551915228366852e-11
PE,2020,FALSE,3210,1,5.820766091346741e-11
PE,2021,FALSE,20159,1,0
PE,2022,FALSE,13087,1,0
PE,2023,FALSE,1160,1,7.275957614183426e-12
PE,2024,FALSE,1851,1,2.9103830456733704e-11
PE,2025,FALSE,1198,1,1.4551915228366852e-11
PI,2015,FALSE,3,1,1.4551915228366852e-11
PI,2016,FALSE,1238,1,0
PI,2017,FALSE,5477,1,2.9103830456733704e-11
PI,2018,FALSE,499,1,7.275957614183426e-12
PI,2019,FALSE,803,1,7.275957614183426e-12
PI,2020,FALSE,162,1,3.637978807091713e-12
PI,2021,FALSE,228,1,7.275957614183426e-12
PI,2022,FALSE,9464,1,0
PI,2023,FALSE,3489,1,7.275957614183426e-12
PI,2024,FALSE,573,1,1.4551915228366852e-11
PI,2025,FALSE,489,1,7.275957614183426e-12
PR,2015,TRUE,0,0,NA
PR,2016,FALSE,52,1,5.820766091346741e-11
PR,2017,FALSE,60,1,5.820766091346741e-11
PR,2018,FALSE,55,1,5.820766091346741e-11
PR,2019,FALSE,51,1,2.9103830456733704e-11
PR,2020,FALSE,21,1,5.820766091346741e-11
PR,2021,FALSE,109,1,5.820766091346741e-11
PR,2022,FALSE,28,1,2.9103830456733704e-11
PR,2023,FALSE,1607,1,5.820766091346741e-11
PR,2024,FALSE,465,1,5.820766091346741e-11
PR,2025,FALSE,6039,1,0
RJ,2015,FALSE,36,0.9999999999999999,5.820766091346741e-11
RJ,2016,FALSE,1436,1,5.820766091346741e-11
RJ,2017,FALSE,4125,1,2.9103830456733704e-11
RJ,2018,FALSE,33049,1,0
