state,year,S_end_weekly_minus_annual_q025,S_end_weekly_minus_annual_median,S_end_weekly_minus_annual_q975,max_abs_discrepancy_prop,weekly_timing_unidentified
AC,2015,NA,NA,NA,NA,TRUE
AC,2016,-98.00710814388002,-45.30391439725645,-12.79029547975224,2.867322385032143e-4,FALSE
AC,2017,-128.3062723713345,-57.33373368595494,-17.406847770288,2.987132353517574e-4,FALSE
AC,2018,-255.32288899736884,-96.58590898651164,-37.599986094509944,4.4284009104834693e-4,FALSE
AC,2019,-132.24007613082358,-61.160465971857775,-19.330840309849,3.163832277928411e-4,FALSE
AC,2020,-128.33088960935711,-61.046847112476826,-17.625407518533756,2.803227457646461e-4,FALSE
AC,2021,-262.9617315169162,-101.37761264771689,-42.99308399509462,5.027350007278424e-4,FALSE
AC,2022,-109.91121826682065,-51.57142121193465,-13.556320649504777,2.1907489778479414e-4,FALSE
AC,2023,-142.3130980269227,-66.80707046610769,-23.9080548595899,3.3495802828197003e-4,FALSE
AC,2024,-210.06823420208528,-83.37483465642435,-32.984226801057225,4.772174537335906e-4,FALSE
AC,2025,-116.81884029958164,-57.08029045484727,-19.253998573878196,2.809012872904506e-4,FALSE
AL,2015,-601.1619245973416,-252.39339671307243,-33.909778612724004,3.364659440876993e-4,FALSE
AL,2016,-1660.8400353554402,-559.4143046415411,-222.6913035781355,8.132437811423562e-4,FALSE
AL,2017,-598.4106035477831,-279.92986989114434,-54.17093552605946,3.1621214311935e-4,FALSE
AL,2018,-544.8814709683763,-247.757613199763,-46.8394897128106,3.5359540877932284e-4,FALSE
AL,2019,-671.772622809629,-323.078290411504,-86.35419430655892,4.304464287136456e-4,FALSE
AL,2020,-519.625573857571,-238.30520759825595,-43.76354304574196,2.752112473758003e-4,FALSE
AL,2021,-625.4884927999344,-298.30057244189084,-60.6556387829827,3.5937476933476314e-4,FALSE
AL,2022,-1874.596172454662,-586.0421105057467,-237.42442078571761,8.511848868252548e-4,FALSE
AL,2023,-622.5435323714278,-306.26286045392044,-76.24932134147966,4.155821796699247e-4,FALSE
AL,2024,-550.8349490120542,-261.6435961960815,-58.56629087966863,2.4911238922330426e-4,FALSE
AL,2025,-926.9105336412671,-385.94115211395547,-149.64241783833117,5.621075069655525e-4,FALSE
AM,2015,NA,NA,NA,NA,TRUE
AM,2016,-674.4276911080233,-292.16050365311094,-91.91102065131997,3.555749366218652e-4,FALSE
AM,2017,-685.7108004523791,-302.05408527865075,-104.00116880279964,3.152116117764627e-4,FALSE
AM,2018,-403.7569566807244,-176.12656709481962,-40.353431307664124,1.6467496611980944e-4,FALSE
AM,2019,-549.4350700089708,-252.01592959067784,-76.76324398287105,2.960785386799956e-4,FALSE
AM,2020,-501.62223268037195,-237.79448157409206,-61.83315829323837,2.727119093211578e-4,FALSE
AM,2021,-1072.0994669756503,-462.84822290437296,-172.0330431311506,5.013934959443251e-4,FALSE
AM,2022,-938.5525805048877,-390.3839388496708,-149.7601381484419,3.735025086706439e-4,FALSE
AM,2023,-1001.417166644917,-401.3455069633201,-159.29493196662514,3.8238683358232813e-4,FALSE
AM,2024,-584.3428906049929,-268.74775972007774,-88.63091778898377,2.5339716079320046e-4,FALSE
AM,2025,-874.0713109739357,-354.39256889675744,-142.71425823537865,3.220892037879094e-4,FALSE
AP,2015,-143.0585735314846,-58.90606957208365,-10.516102091019267,4.131510422936094e-4,FALSE
AP,2016,-185.50656243128466,-71.40790296369232,-28.14268078460299,4.3723243274182975e-4,FALSE
AP,2017,-240.56647103665455,-90.59012530226028,-36.999532187587455,5.229763456899871e-4,FALSE
AP,2018,-233.49865934966076,-97.31013900780817,-40.31662815768795,4.912202897610753e-4,FALSE
AP,2019,-136.51304882300028,-65.83807452977635,-18.893444995637395,2.9430966895339e-4,FALSE
AP,2020,-118.68522132015205,-54.944575963017996,-14.118118700775081,2.3762256196056253e-4,FALSE
AP,2021,-189.777465608099,-86.60014473705087,-30.54440014453429,4.0336924039390405e-4,FALSE
AP,2022,-132.79810857691336,-66.03834250639193,-19.933425260504002,3.468877146574999e-4,FALSE
AP,2023,-147.91025633945537,-70.55009005573811,-21.613330193643918,3.099917312445432e-4,FALSE
AP,2024,-260.8684051288903,-102.87105123372748,-44.59913884279375,6.217106929085783e-4,FALSE
AP,2025,-143.68667278833746,-69.20756767573766,-24.983342502510638,3.566723857906884e-4,FALSE
BA,2015,-2257.0547285592647,-1101.4592458419502,-258.291411850322,2.826013784772624e-4,FALSE
BA,2016,-2588.6097533931493,-1370.4559023575857,-519.7965451204218,2.8004728329978783e-4,FALSE
BA,2017,-2533.6286441189704,-1394.0838235709816,-545.1991399859543,3.0673496483824263e-4,FALSE
BA,2018,-2163.500171042187,-1214.4988233111799,-424.60492824949324,2.8750890914234866e-4,FALSE
BA,2019,-2352.9873180694876,-1260.5845269998536,-498.36329958960414,2.4380199560080225e-4,FALSE
BA,2020,-3799.8598345963283,-1608.9520790167153,-775.5521623378617,4.431166527555595e-4,FALSE
BA,2021,-3059.3700516452545,-1477.4125040527433,-677.478936943272,4.2061712361819714e-4,FALSE
BA,2022,-3524.8681348487266,-1591.6732280123979,-793.4635471548415,4.387175266581081e-4,FALSE
BA,2023,-3049.0798279901032,-1460.7946017980576,-656.5812525769695,3.62536508998457e-4,FALSE
BA,2024,-3199.55907279551,-1422.4795693950728,-700.4159363634417,3.329141128718486e-4,FALSE
BA,2025,-1737.4921196099372,-1008.4732350017875,-346.75942500261584,2.121919125700439e-4,FALSE
CE,2015,-1827.394660241343,-763.8471616953611,-53.4377452952787,4.1963438651284414e-4,FALSE
CE,2016,-2745.006649116147,-1018.3387266313657,-329.0566130327992,6.736665566679005e-4,FALSE
CE,2017,-6575.390818393091,-1564.4393611671403,-580.5023079694708,0.0010183549944036748,FALSE
CE,2018,-1485.708858235646,-703.2662855293602,-109.11746262947561,4.350751175472746e-4,FALSE
CE,2019,-1380.401028048084,-636.3975489446893,-112.40756279327903,3.7793425746720415e-4,FALSE
CE,2020,-1433.5845130063592,-653.928121025674,-108.65252014966681,2.713826839507719e-4,FALSE
CE,2021,-1563.4899609744316,-740.0799256302416,-118.83831440289504,3.429676959373892e-4,FALSE
CE,2022,-3526.5045257617485,-1123.8080814033747,-413.92007729380856,7.001995499881112e-4,FALSE
CE,2023,-1369.343416177039,-676.6652770629153,-124.37294843886042,3.6973634342601426e-4,FALSE
CE,2024,-1272.331689523696,-604.7494824114256,-103.766514360602,2.7414868326901303e-4,FALSE
CE,2025,-1194.163376344554,-579.3701855861582,-97.17938519993331,2.842737103314204e-4,FALSE
DF,2015,NA,NA,NA,NA,TRUE
DF,2016,-391.77752964213727,-159.22496194578707,-30.859607769502308,4.1232204925356305e-4,FALSE
DF,2017,-440.212225685711,-167.11759410309605,-30.750352042401172,2.520336623042829e-4,FALSE
DF,2018,-380.8561961349565,-141.28736673877575,-23.84511775642166,2.645323641600157e-4,FALSE
DF,2019,-426.56383597437525,-172.86905972100794,-33.06489344084402,3.1578761959233636e-4,FALSE
DF,2020,-468.4052141166757,-188.60246585984714,-37.38616370777599,4.1196932543130114e-4,FALSE
DF,2021,-590.384099798894,-238.62874001520686,-61.39565977687016,3.855535734396264e-4,FALSE
DF,2022,-1032.4794224385987,-367.4564332154114,-118.29271303374551,6.793118942714756e-4,FALSE
DF,2023,-1180.928555703163,-381.77127667097375,-125.15032397847381,8.075136150051329e-4,FALSE
DF,2024,-793.6856723584118,-285.5137545338366,-97.68376248542914,5.027677369968702e-4,FALSE
DF,2025,-619.5965578034287,-251.8829591081012,-83.12392163136973,3.90328762312612e-4,FALSE
ES,2015,-659.8952111392281,-187.05537926079705,-22.32055931804934,3.095882083687014e-4,FALSE
ES,2016,-344.70948938969525,-126.05087141180411,-18.61111599401338,1.7654288676325697e-4,FALSE
ES,2017,-553.1442573374719,-224.98973729577847,-42.683246463933024,3.4300193557888043e-4,FALSE
ES,2018,-525.5884532377007,-215.69303500792012,-38.81000039405185,2.521066358820425e-4,FALSE
ES,2019,-674.87590431415,-278.29111917247064,-68.53988205214262,3.213321887020507e-4,FALSE
ES,2020,-926.3271473948145,-342.2237258576788,-94.48098422973412,4.4275522053309816e-4,FALSE
ES,2021,-424.36291072122987,-125.86474118521437,-20.605671841709405,1.8767998865592354e-4,FALSE
ES,2022,-651.8475170161691,-269.37805526098236,-61.30312115678093,3.3948480281299325e-4,FALSE
ES,2023,-1072.9762489315356,-389.7355745800305,-120.67477664868348,4.492170387075079e-4,FALSE
ES,2024,-1814.4165254971595,-658.3368841160554,-178.71675790238658,6.478115620464242e-4,FALSE
ES,2025,-674.4926015437698,-277.83747003017925,-76.94333291664948,2.7915669013531437e-4,FALSE
GO,2015,-839.242417721101,-276.8451402671635,-22.409052426274854,2.504928574457791e-4,FALSE
GO,2016,-149.98881140337326,-55.935076663736254,-5.473524467903184,6.193756352348077e-5,FALSE
GO,2017,-248.8189685550518,-92.51467679999769,-9.779539730050592,7.171830656154868e-5,FALSE
GO,2018,-223.85197515999897,-80.52830227976665,-7.873133918317032,7.074252087222787e-5,FALSE
GO,2019,-164.99082897549962,-57.593051746021956,-5.298534059547816,4.401118753047975e-5,FALSE
GO,2020,NA,NA,NA,NA,TRUE
GO,2021,-430.1821985698072,-160.7856374173425,-22.881638696347345,1.351620099258633e-4,FALSE
GO,2022,-729.4569764274871,-237.19504068559036,-66.22153435684734,1.8446519955126584e-4,FALSE
GO,2023,-555.3635057311737,-184.62312850169837,-46.76348591067362,1.57208891652005e-4,FALSE
GO,2024,-967.5536993122427,-261.4703568983823,-75.51919681897851,2.124160853695209e-4,FALSE
GO,2025,-407.81536796661095,-144.5216997154057,-37.1797399658244,1.0765263006253649e-4,FALSE
MA,2015,-1706.642812838126,-661.9595142421313,-97.16474373557139,4.1919256483807224e-4,FALSE
MA,2016,-4910.906104511046,-1721.7980456878431,-650.7702132703731,0.001215092997638814,FALSE
MA,2017,-3957.7622352451554,-1488.793587159831,-570.7538534813793,9.556480371166202e-4,FALSE
MA,2018,-1773.3730959476438,-840.0221353801899,-212.16088952531564,5.320397771918668e-4,FALSE
MA,2019,-1715.7642529977486,-806.5314955534413,-209.10600273723247,5.042484109858706e-4,FALSE
MA,2020,-1425.558632391668,-662.5031808032654,-141.7966248770011,4.604258439417459e-4,FALSE
MA,2021,-1641.7487762435571,-762.0904373568483,-182.26545443329954,3.9141335289520255e-4,FALSE
MA,2022,-2302.9886031026717,-1012.8952415222302,-329.711222290364,6.246065400969379e-4,FALSE
MA,2023,-2680.392525321827,-1139.574310132768,-433.12742853395144,7.335659757652543e-4,FALSE
MA,2024,-1643.3079707761062,-819.8019345556386,-249.7246211905963,4.590576449021051e-4,FALSE
MA,2025,-1542.2928769918856,-744.0643832571805,-201.13649578373878,3.6150552982440053e-4,FALSE
MG,2015,-3845.5768012763933,-1045.9213131908327,-98.59444777322925,4.0771145563594857e-4,FALSE
MG,2016,-2796.8753953040577,-914.7477346099913,-102.93526787934825,2.325631691482669e-4,FALSE
MG,2017,-4462.422720807511,-1753.2498437743634,-336.4860027576795,5.17017549002793e-4,FALSE
