excluded_uf,p_temperature,p_precipitation,dev_explained
AL,0.5287113078217592,0.024157268641862184,0.8751956864138195
BA,0.9391866431439043,4.90422486847053e-4,0.9074948229127333
CE,0.613282898485742,0.013486012043865125,0.8817193209496014
ES,0.9408932192775776,0.031230739513001315,0.8923160013866714
GO,0.8100490053395212,0.013651160296603848,0.8797776276324898
MA,0.5215066017291854,0.003622865821601262,0.8937271103033281
MG,0.5169443951291072,0.011609246602491463,0.8804740753546474
MT,0.6854121878270973,0.017084623763900075,0.8824919557756782
PA,0.40965904010391685,0.017910456817073872,0.8374829592847779
PB,0.6182186503489506,0.01691345985328091,0.8809338579198244
PE,0.6133276203687614,0.015751919402814896,0.8815969647183872
PI,0.7930440544282609,0.082868522532408,0.8702311434289001
PR,0.6057674877924533,0.01656282266247816,0.8886590967613331
RJ,0.7685988899814219,0.01670150346802668,0.8798101248112649
RN,0.48424193053072,0.01225864776353569,0.8900952861632403
RR,0.5765470361345831,0.007116631853266997,0.879262456895044
SC,0.4408301302305661,0.011164212285224684,0.8853894370075279
SP,0.5953996588241246,0.03408214966639339,0.8669357579108473
