state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible
AC,AC_wave_01,1/24/2016,1/31/2016,2/14/2016,FALSE,NA,NA,0.119575173,0.039858391,1,1/17/2016,0,NA,NA,4,1,1,0.119575173,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen)
AC,AC_wave_02,3/20/2016,6/5/2016,7/17/2016,FALSE,NA,NA,1.315326907,0.996459778,11,2/14/2016,0,0,5,18,11,49,5.859183493,5,10,17,3,5,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases,fewer than 30 raw cases
AC,AC_wave_03,8/28/2016,1/15/2017,4/2/2017,FALSE,NA,NA,0.355241469,0.552597841,3,7/17/2016,0,0,24,32,20,39,4.633236655,1,2,3,1,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
AC,AC_wave_04,4/30/2017,6/4/2017,8/13/2017,FALSE,NA,NA,0.236827646,0.276298921,2,4/2/2017,0.078942549,0.285714286,4,16,5,19,2.24986264,6,10,13,3,5,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,fewer than 30 raw cases
AC,AC_wave_05,8/20/2017,10/8/2017,11/19/2017,FALSE,NA,NA,0.473655293,0.315770195,4,8/13/2017,0,0,10,14,7,13,1.539379701,2,3,9,2,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
AC,AC_wave_06,11/26/2017,2/25/2018,5/6/2018,FALSE,NA,NA,0.352317781,0.587196302,3,11/19/2017,0.039471274,0.125,5,24,13,52,6.115612606,6,9,16,4,6,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases,fewer than 30 raw cases
AC,AC_wave_07,5/27/2018,10/28/2018,3/31/2019,FALSE,1,FALSE,2.93598151,2.113906687,25,5/6/2018,0.03914642,0.066666667,8,45,22,232,27.21166096,9,14,17,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,fewer than 30 raw cases
AC,AC_wave_08,5/19/2019,5/26/2019,6/9/2019,FALSE,NA,NA,0.116561121,0.038853707,1,3/31/2019,0,0,7,4,1,1,0.116561121,1,1,2,1,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen)
AC,AC_wave_09,6/30/2019,7/7/2019,7/21/2019,FALSE,NA,NA,0.116561121,0.038853707,1,6/9/2019,0,0,3,4,1,1,0.116561121,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen)
AC,AC_wave_10,10/27/2019,12/8/2019,12/29/2019,FALSE,NA,NA,0.233122241,0.155414827,2,7/21/2019,0,0,14,10,6,5,0.582805603,1,2,5,1,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
