state,wave_id,onset_week,peak_week,end_week,major_epidemic_primary,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reporting_anomaly_flag,early_peak_flag,n_candidate_peaks_in_segment
AC,AC_wave_01,2016-01-24,2016-01-31,2016-02-14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AC,AC_wave_03,2016-08-28,2017-01-15,2017-04-02,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
AC,AC_wave_07,2018-05-27,2018-10-28,2019-03-31,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
AC,AC_wave_08,2019-05-19,2019-05-26,2019-06-09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AC,AC_wave_09,2019-06-30,2019-07-07,2019-07-21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AC,AC_wave_12,2020-04-05,2020-07-12,2020-08-16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
AC,AC_wave_13,2020-11-08,2021-03-07,2021-04-11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
AC,AC_wave_14,2021-04-18,2021-10-31,2021-11-28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AC,AC_wave_15,2021-12-12,2022-02-20,2022-05-01,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
AC,AC_wave_16,2022-05-22,2022-06-05,2022-07-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
AC,AC_wave_17,2022-09-04,2022-09-11,2022-09-25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AC,AC_wave_18,2022-10-30,2022-11-06,2022-11-20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AC,AC_wave_19,2023-02-05,2023-04-09,2023-06-04,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AC,AC_wave_20,2023-07-02,2023-07-09,2023-08-20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
AC,AC_wave_21,2023-10-08,2023-10-15,2023-10-29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AC,AC_wave_22,2023-11-26,2024-01-07,2024-10-13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
AC,AC_wave_23,2024-12-08,2025-01-19,2025-05-04,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AC,AC_wave_24,2025-05-25,2025-06-29,2025-08-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
AL,AL_wave_01,2015-03-29,2015-04-12,2015-08-23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3
AL,AL_wave_02,2016-01-31,2016-05-29,2017-10-29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12
AL,AL_wave_03,2017-11-19,2018-07-22,2018-09-23,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AL,AL_wave_04,2019-02-03,2019-07-07,2020-01-05,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AL,AL_wave_05,2020-02-16,2020-07-26,2020-11-22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
AL,AL_wave_07,2021-05-02,2021-11-07,2022-01-02,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AL,AL_wave_08,2022-03-27,2022-06-26,2023-10-29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
AL,AL_wave_09,2023-11-05,2024-02-25,2024-08-11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
AL,AL_wave_10,2025-03-23,2025-08-03,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
AM,AM_wave_01,2016-03-06,2016-12-04,2017-09-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10
AM,AM_wave_03,2018-03-11,2018-03-25,2018-04-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
AM,AM_wave_05,2018-09-16,2018-09-23,2018-10-07,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AM,AM_wave_06,2018-12-30,2019-03-17,2019-04-21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
AM,AM_wave_08,2019-12-01,2019-12-15,2020-03-01,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
AM,AM_wave_09,2020-03-29,2020-04-05,2020-04-19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AM,AM_wave_11,2020-09-20,2020-09-27,2020-10-11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AM,AM_wave_12,2020-12-13,2020-12-27,2021-02-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
AM,AM_wave_13,2021-03-14,2021-06-06,2021-11-07,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
AM,AM_wave_14,2022-01-30,2022-04-24,2022-08-21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
AM,AM_wave_15,2022-08-28,2023-04-02,2024-05-26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
AM,AM_wave_16,2024-06-23,2024-06-30,2024-07-14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AM,AM_wave_17,2024-08-11,2025-02-09,2025-05-11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9
AP,AP_wave_01,2015-11-15,2015-11-22,2016-01-03,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
AP,AP_wave_02,2016-02-07,2016-10-02,2017-01-15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
AP,AP_wave_03,2017-01-29,2017-05-28,2017-11-19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
AP,AP_wave_04,2017-11-26,2018-04-15,2019-01-13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
AP,AP_wave_06,2019-06-09,2019-06-23,2019-08-11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
AP,AP_wave_07,2019-10-20,2019-10-27,2019-11-10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AP,AP_wave_09,2020-11-01,2020-11-08,2020-11-22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AP,AP_wave_10,2020-12-27,2021-01-10,2021-02-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
AP,AP_wave_11,2021-02-28,2021-08-01,2021-10-10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
AP,AP_wave_12,2021-12-12,2022-03-13,2022-03-27,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
AP,AP_wave_14,2022-11-20,2022-11-27,2022-12-11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
AP,AP_wave_15,2023-01-15,2023-02-26,2023-03-19,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2
AP,AP_wave_17,2023-09-10,2024-02-25,2024-06-30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
