"episode_id","week_in_episode","I_rep_q025","I_rep_median","I_rep_q975","week_start","I_obs","Lambda"
"CE_wave_01",1,5,18,42,2016-02-07,7,7.98874625097503
"CE_wave_01",2,10,29,64,2016-02-14,20,12.8159046999937
"CE_wave_01",3,9,29,63.0250000000001,2016-02-21,20,12.9109068588348
"CE_wave_01",4,12,36,74,2016-02-28,55,15.9488026018639
"CE_wave_01",5,19,53,113,2016-03-06,113,23.5055473347006
"CE_wave_01",6,41,107,234,2016-03-13,132,47.6863173470739
"CE_wave_01",7,73,192,395,2016-03-20,166,85.1810466550675
"CE_wave_01",8,106,270.5,555.025,2016-03-27,231,118.35503604129
"CE_wave_02",1,6,21,47,2019-02-03,21,17.5659374652539
"CE_wave_02",2,7,21,47,2019-02-10,34,17.6223974223068
"CE_wave_02",3,8,25,54,2019-02-17,23,21.0971724361755
"CE_wave_02",4,10,30,67.0250000000001,2019-02-24,25,26.175204422739
"CE_wave_02",5,10,30,69,2019-03-03,37,25.9154559447494
"CE_wave_02",6,11,32,69,2019-03-10,32,26.9184917727622
"CE_wave_02",7,13,37,82.0250000000001,2019-03-17,30,31.1047650275277
"CE_wave_02",8,13,37,81.0250000000001,2019-03-24,36,32.0658002360111
"CE_wave_03",1,3,12,28,2020-02-02,15,10.6221587559022
"CE_wave_03",2,5,16,37,2020-02-09,12,14.3327838496962
"CE_wave_03",3,5,16,38,2020-02-16,24,14.8173420497031
"CE_wave_03",4,5,17,39,2020-02-23,19,15.1847619453665
"CE_wave_03",5,6,21,48,2020-03-01,44,18.5981784652254
"CE_wave_03",6,9,26,59,2020-03-08,29,23.0697771947716
"CE_wave_03",7,12,36,78,2020-03-15,15,31.3047741874064
"CE_wave_03",8,11,34,75,2020-03-22,14,29.8189500902479
"CE_wave_04",1,6,20,45.0250000000001,2020-04-19,32,18.7438180562383
"CE_wave_04",2,8,24,54,2020-04-26,31,22.7549624276637
"CE_wave_04",3,10,29,65,2020-05-03,28,27.5191765912143
"CE_wave_04",4,11,32,69,2020-05-10,36,29.5367208040216
"CE_wave_04",5,11,32,71.0250000000001,2020-05-17,37,30.190452350616
"CE_wave_04",6,12,35,79,2020-05-24,18,33.0748290903726
"CE_wave_04",7,12,35,76,2020-05-31,40,32.7600038951785
"CE_wave_04",8,11,31,68,2020-06-07,19,28.9185543473079
"CE_wave_05",1,5,17,39,2021-04-11,13,15.8817953555721
"CE_wave_05",2,5,19,44,2021-04-18,19,18.3950616404451
"CE_wave_05",3,6,18,42,2021-04-25,21,17.1505532483461
"CE_wave_05",4,5,19,43,2021-05-02,25,17.9148867613182
"CE_wave_05",5,7,21,48,2021-05-09,28,20.1542735925029
"CE_wave_05",6,8,24,55,2021-05-16,34,23.2277814257162
"CE_wave_05",7,9,28,64,2021-05-23,17,26.8266256122567
"CE_wave_05",8,10,30,67,2021-05-30,25,28.3179609703034
"CE_wave_06",1,18,49,104,2021-12-05,62,33.9103476921364
"CE_wave_06",2,22,61,133,2021-12-12,72,42.1900590924316
"CE_wave_06",3,28,79,167,2021-12-19,80,54.2148854781407
"CE_wave_06",4,35,96,209,2021-12-26,23,65.7115166242058
"CE_wave_06",5,36,97,202,2022-01-02,44,66.0261693095586
"CE_wave_06",6,27,71,153,2022-01-09,75,48.8710305040736
"CE_wave_06",7,25,69,149,2022-01-16,112,47.4593034341825
"CE_wave_06",8,36,96,213,2022-01-23,153,65.9771472710312
"CE_wave_07",1,3,11,27,2024-01-21,11,8.22448051130451
"CE_wave_07",2,4,15,36,2024-01-28,18,11.0674628178363
"CE_wave_07",3,5,17,40,2024-02-04,20,12.5669366014383
"CE_wave_07",4,6,22,49,2024-02-11,25,15.5301155819678
"CE_wave_07",5,8,26,59.0250000000001,2024-02-18,35,18.8801198398063
"CE_wave_07",6,11,33,71,2024-02-25,45,23.6880537897737
"CE_wave_07",7,15,44,93,2024-03-03,25,31.1885583365497
"CE_wave_07",8,18,50,106,2024-03-10,36,36.0509716944147
