"episode_id","wave_id","onset","peak_week","peak_cases","total_episode_cases","duration_weeks","cases_first_4wk","cases_first_8wk","week_in_episode","week_start","I_obs","Lambda"
"CE_major_wave_01",1,2016-02-07,2017-04-30,12843,194224,124,102,744,1,2016-02-07,7,7.98874625097503
"CE_major_wave_01",1,2016-02-07,2017-04-30,12843,194224,124,102,744,2,2016-02-14,20,12.8159046999937
"CE_major_wave_01",1,2016-02-07,2017-04-30,12843,194224,124,102,744,3,2016-02-21,20,12.9109068588348
"CE_major_wave_01",1,2016-02-07,2017-04-30,12843,194224,124,102,744,4,2016-02-28,55,15.9488026018639
"CE_major_wave_01",1,2016-02-07,2017-04-30,12843,194224,124,102,744,5,2016-03-06,113,23.5055473347006
"CE_major_wave_01",1,2016-02-07,2017-04-30,12843,194224,124,102,744,6,2016-03-13,132,47.6863173470739
"CE_major_wave_02",2,2019-02-03,2019-05-05,316,4364,22,103,238,1,2019-02-03,21,17.5659374652539
"CE_major_wave_02",2,2019-02-03,2019-05-05,316,4364,22,103,238,2,2019-02-10,34,17.6223974223068
"CE_major_wave_02",2,2019-02-03,2019-05-05,316,4364,22,103,238,3,2019-02-17,23,21.0971724361755
"CE_major_wave_02",2,2019-02-03,2019-05-05,316,4364,22,103,238,4,2019-02-24,25,26.175204422739
"CE_major_wave_02",2,2019-02-03,2019-05-05,316,4364,22,103,238,5,2019-03-03,37,25.9154559447494
"CE_major_wave_02",2,2019-02-03,2019-05-05,316,4364,22,103,238,6,2019-03-10,32,26.9184917727622
"CE_major_wave_06",6,2021-12-05,2022-05-15,5070,89068,88,237,621,1,2021-12-05,62,33.9103476921364
"CE_major_wave_06",6,2021-12-05,2022-05-15,5070,89068,88,237,621,2,2021-12-12,72,42.1900590924316
"CE_major_wave_06",6,2021-12-05,2022-05-15,5070,89068,88,237,621,3,2021-12-19,80,54.2148854781407
"CE_major_wave_06",6,2021-12-05,2022-05-15,5070,89068,88,237,621,4,2021-12-26,23,65.7115166242058
"CE_major_wave_06",6,2021-12-05,2022-05-15,5070,89068,88,237,621,5,2022-01-02,44,66.0261693095586
"CE_major_wave_06",6,2021-12-05,2022-05-15,5070,89068,88,237,621,6,2022-01-09,75,48.8710305040736
"CE_major_wave_07",7,2024-01-21,2024-03-31,651,8692,31,74,215,1,2024-01-21,11,8.22448051130451
"CE_major_wave_07",7,2024-01-21,2024-03-31,651,8692,31,74,215,2,2024-01-28,18,11.0674628178363
"CE_major_wave_07",7,2024-01-21,2024-03-31,651,8692,31,74,215,3,2024-02-04,20,12.5669366014383
"CE_major_wave_07",7,2024-01-21,2024-03-31,651,8692,31,74,215,4,2024-02-11,25,15.5301155819678
"CE_major_wave_07",7,2024-01-21,2024-03-31,651,8692,31,74,215,5,2024-02-18,35,18.8801198398063
"CE_major_wave_07",7,2024-01-21,2024-03-31,651,8692,31,74,215,6,2024-02-25,45,23.6880537897737
