"parameter_x","parameter_y","correlation","version"
"log_infection_scale","log_infection_scale",1,"v2"
"sigma_R","log_infection_scale",0.00324931111070269,"v2"
"rho_sym_ceara_mid","log_infection_scale",-0.0905277926023258,"v2"
"reporting_trend","log_infection_scale",0.0481217147590888,"v2"
"phi_obs","log_infection_scale",-0.0068274904024816,"v2"
"sero_geographic_offset","log_infection_scale",-0.096193678328311,"v2"
"log_infection_scale","sigma_R",0.00324931111070269,"v2"
"sigma_R","sigma_R",1,"v2"
"rho_sym_ceara_mid","sigma_R",0.0428553022219429,"v2"
"reporting_trend","sigma_R",-0.028693718956981,"v2"
"phi_obs","sigma_R",0.284688127378392,"v2"
"sero_geographic_offset","sigma_R",0.0335193621344082,"v2"
"log_infection_scale","rho_sym_ceara_mid",-0.0905277926023258,"v2"
"sigma_R","rho_sym_ceara_mid",0.0428553022219429,"v2"
"rho_sym_ceara_mid","rho_sym_ceara_mid",1,"v2"
"reporting_trend","rho_sym_ceara_mid",0.0597163142463912,"v2"
"phi_obs","rho_sym_ceara_mid",0.01479214693124,"v2"
"sero_geographic_offset","rho_sym_ceara_mid",0.910872010324966,"v2"
"log_infection_scale","reporting_trend",0.0481217147590888,"v2"
"sigma_R","reporting_trend",-0.028693718956981,"v2"
"rho_sym_ceara_mid","reporting_trend",0.0597163142463912,"v2"
"reporting_trend","reporting_trend",1,"v2"
"phi_obs","reporting_trend",-0.0066473113111818,"v2"
"sero_geographic_offset","reporting_trend",0.108298962077207,"v2"
"log_infection_scale","phi_obs",-0.0068274904024816,"v2"
"sigma_R","phi_obs",0.284688127378392,"v2"
"rho_sym_ceara_mid","phi_obs",0.01479214693124,"v2"
"reporting_trend","phi_obs",-0.0066473113111818,"v2"
"phi_obs","phi_obs",1,"v2"
"sero_geographic_offset","phi_obs",0.0331101041108187,"v2"
"log_infection_scale","sero_geographic_offset",-0.096193678328311,"v2"
"sigma_R","sero_geographic_offset",0.0335193621344082,"v2"
"rho_sym_ceara_mid","sero_geographic_offset",0.910872010324966,"v2"
"reporting_trend","sero_geographic_offset",0.108298962077207,"v2"
"phi_obs","sero_geographic_offset",0.0331101041108187,"v2"
"sero_geographic_offset","sero_geographic_offset",1,"v2"
"log_infection_scale","log_infection_scale",1,"v2.1"
"sigma_R","log_infection_scale",-0.116979185992983,"v2.1"
"p_symp","log_infection_scale",0.0229863282127616,"v2.1"
"rho_sym_ceara_mid","log_infection_scale",-0.152829807553984,"v2.1"
"reporting_trend","log_infection_scale",0.0404947059437147,"v2.1"
"phi_obs","log_infection_scale",-0.057124583523751,"v2.1"
"sigma_geo","log_infection_scale",0.0204926027331995,"v2.1"
"log_infection_scale","sigma_R",-0.116979185992983,"v2.1"
"sigma_R","sigma_R",1,"v2.1"
"p_symp","sigma_R",0.0387756433095159,"v2.1"
"rho_sym_ceara_mid","sigma_R",0.10371909630642,"v2.1"
"reporting_trend","sigma_R",0.0259159103624197,"v2.1"
"phi_obs","sigma_R",0.332144786514193,"v2.1"
"sigma_geo","sigma_R",-0.0555043981203586,"v2.1"
"log_infection_scale","p_symp",0.0229863282127616,"v2.1"
"sigma_R","p_symp",0.0387756433095159,"v2.1"
"p_symp","p_symp",1,"v2.1"
"rho_sym_ceara_mid","p_symp",-0.231208428792168,"v2.1"
"reporting_trend","p_symp",0.0585082094334363,"v2.1"
"phi_obs","p_symp",0.00550980103323869,"v2.1"
"sigma_geo","p_symp",0.00109616161182134,"v2.1"
"log_infection_scale","rho_sym_ceara_mid",-0.152829807553984,"v2.1"
"sigma_R","rho_sym_ceara_mid",0.10371909630642,"v2.1"
"p_symp","rho_sym_ceara_mid",-0.231208428792168,"v2.1"
"rho_sym_ceara_mid","rho_sym_ceara_mid",1,"v2.1"
"reporting_trend","rho_sym_ceara_mid",0.155338581631523,"v2.1"
"phi_obs","rho_sym_ceara_mid",0.0414115944386898,"v2.1"
"sigma_geo","rho_sym_ceara_mid",-0.0567598055666415,"v2.1"
"log_infection_scale","reporting_trend",0.0404947059437147,"v2.1"
"sigma_R","reporting_trend",0.0259159103624197,"v2.1"
"p_symp","reporting_trend",0.0585082094334363,"v2.1"
"rho_sym_ceara_mid","reporting_trend",0.155338581631523,"v2.1"
"reporting_trend","reporting_trend",1,"v2.1"
"phi_obs","reporting_trend",0.0499392721869582,"v2.1"
"sigma_geo","reporting_trend",-0.00564337095577609,"v2.1"
"log_infection_scale","phi_obs",-0.057124583523751,"v2.1"
"sigma_R","phi_obs",0.332144786514193,"v2.1"
"p_symp","phi_obs",0.00550980103323869,"v2.1"
"rho_sym_ceara_mid","phi_obs",0.0414115944386898,"v2.1"
"reporting_trend","phi_obs",0.0499392721869582,"v2.1"
"phi_obs","phi_obs",1,"v2.1"
"sigma_geo","phi_obs",-0.00716486718762129,"v2.1"
"log_infection_scale","sigma_geo",0.0204926027331995,"v2.1"
"sigma_R","sigma_geo",-0.0555043981203586,"v2.1"
"p_symp","sigma_geo",0.00109616161182134,"v2.1"
"rho_sym_ceara_mid","sigma_geo",-0.0567598055666415,"v2.1"
"reporting_trend","sigma_geo",-0.00564337095577609,"v2.1"
"phi_obs","sigma_geo",-0.00716486718762129,"v2.1"
"sigma_geo","sigma_geo",1,"v2.1"
