"year","observed_cases","posterior_infections_q025","posterior_infections_median","posterior_infections_q975","overall_detection_q025","overall_detection_median","overall_detection_q975","S_start_q025","S_start_median","S_start_q975","S_end_q025","S_end_median","S_end_q975","attack_increment_q025","attack_increment_median","attack_increment_q975"
2015,25,210.475249624842,348.234867952035,572.363874493913,0.0600380701386656,0.0891920964500407,0.138843747736196,1,1,1,0.99993951254405,0.999963328839826,0.999978105518051,2.39519925306912e-05,3.96289776160405e-05,6.51347617886261e-05
2016,30862,221912.40289855,346596.793120436,518205.797983503,0.0600380701386656,0.0891920964500407,0.138843747736196,0.999935634353885,0.999960809165014,0.999976304782415,0.942182454437889,0.961334974056535,0.975250033199532,0.0250885835115891,0.039184932772894,0.058586402873761
2017,107421,775927.463301191,1203288.19381932,1790578.01814158,0.0600380701386656,0.0891920964500407,0.138843747736196,0.941942118496355,0.961163388211109,0.975131189637574,0.745153356246061,0.827932094713248,0.889002895809373,0.0871938269337089,0.13521792626965,0.201213846924421
2018,1454,10417.5050340696,16275.9254793701,24327.0493444739,0.0600380701386656,0.0891920964500407,0.138843747736196,0.745148974361213,0.827938235572651,0.889005404112659,0.746164721871998,0.828572639655781,0.889445129070361,0.00116377412733449,0.00181823775552482,0.00271765557385371
2019,1202,8604.95762128582,13438.7633513581,20128.9099039009,0.0600380701386656,0.0891920964500407,0.138843747736196,0.746209448911663,0.828601898052282,0.88946540035806,0.747569617301679,0.829467203112621,0.890122741407487,0.000955344224671167,0.00149200559950277,0.00223476264171821
2020,1013,7262.51453500441,11367.3216259904,17039.6824434225,0.0600380701386656,0.0891920964500407,0.138843747736196,0.74761472955887,0.829500295885875,0.890143359070458,0.74895981946799,0.830536241178052,0.890767226757438,0.000801335985033646,0.00125425482158457,0.00188013540622156
2021,1318,9394.56854791355,14679.1956373719,21934.2355945438,0.0600380701386656,0.0891920964500407,0.138843747736196,0.749004781330224,0.830567878010252,0.89078696251546,0.749953297948596,0.831230162936464,0.891121094057199,0.00103128066981002,0.00161139605634612,0.00240781181811014
2022,50986,369538.324306246,574013.688410024,861150.354674852,0.0600380701386656,0.0891920964500407,0.138843747736196,0.749923678584601,0.831216369044884,0.891106829376119,0.659394753308213,0.770922727291047,0.852520140080028,0.0404023044341241,0.0627579719425173,0.0941511515982681
2023,2017,14595.2732272476,22626.248854892,33584.0919977884,0.0600380701386656,0.0891920964500407,0.138843747736196,0.659429713083864,0.770947248330743,0.852530882532388,0.659959997282549,0.771317651082206,0.852700924111821,0.00158990734669001,0.00246474586137044,0.00365841692497499
2024,890,6418.94952603926,9929.20377752987,14979.8241838996,0.0600380701386656,0.0891920964500407,0.138843747736196,0.660016973110061,0.771354804491406,0.852725431346173,0.662293270886736,0.772797326662471,0.85370231697276,0.000696510322926288,0.0010774026032505,0.00162543764168603
2025,679,4838.5092659592,7590.79029252678,11449.2738143431,0.0600380701386656,0.0891920964500407,0.138843747736196,0.662349525302059,0.772835376253163,0.853726813290803,0.664870892775499,0.774511280161242,0.854838264090962,0.000522981664130881,0.000820468437909914,0.00123752171245006
