"variable","rhat","ess_bulk","ess_tail"
"alpha_R",1.03725990160895,153.00222638044,363.839237965336
"z_site[1]",1.02840860740091,161.672447991073,395.174393165884
"q",1.02403789367684,191.227698157754,414.335036821862
"phi_R",1.01582144714723,196.149253627877,382.285649308183
"z_site[2]",1.01991445747156,226.946925341851,450.134727184068
"sigma_geo",1.01231557223696,243.570960232048,517.768188469735
"phi_obs",1.00488624512788,248.366565281429,425.273417813662
"z_R[392]",1.01545843043432,250.230018402932,661.173008330088
"sigma_R",1.00906552924123,250.343089620445,644.487482916387
"z_R[15]",1.02246536083179,268.642014527851,807.335746195754
"beta_cos",1.00807944372018,280.800398085837,387.149691114722
"z_R[484]",1.0183962022145,289.359932162859,620.758497393718
"beta_sin",1.00855293737,292.728832513667,412.480222825901
"z_R[421]",1.01578451172846,301.822177221233,452.777284684292
"z_R[355]",1.01124255859933,303.98379059887,741.190809809842
"z_R[506]",1.01092793721271,309.249161896847,790.802501320521
"z_R[111]",1.00560675454362,313.105785278493,600.307105412782
"z_R[391]",1.01034375229833,314.04960535394,694.544100244076
"z_R[319]",1.00889832679268,315.768334279232,914.410580340987
"z_R[269]",1.00705798379297,325.830671784289,643.008292464018
"z_R[171]",1.01146473772265,328.076962292847,833.792811252922
"z_R[141]",1.01078880487645,328.273147235057,773.301663217953
"z_R[333]",1.00485336264751,329.162463382204,747.605858454038
"z_R[46]",1.01393562000763,333.031744870649,902.325592599268
"z_R[32]",1.01156110237635,337.593434347145,1002.22599401799
"z_R[539]",1.01252103868864,338.873335828707,733.921576366039
"z_R[542]",1.01257603340405,340.891093544585,626.376260173786
"z_R[440]",1.01527700725452,344.611996134981,669.555321476684
"z_R[53]",1.01528759631004,345.275341680529,751.959461535901
"z_R[343]",1.01495952051512,347.035163859883,931.39547873225
