"variable","rhat","ess_bulk","ess_tail"
"alpha_R",1.03725990160895,153.00222638044,363.839237965336
"phi_R",1.01582144714723,196.149253627877,382.285649308183
"beta_cos",1.00807944372018,280.800398085837,387.149691114722
"z_site[1]",1.02840860740091,161.672447991073,395.174393165884
"beta_sin",1.00855293737,292.728832513667,412.480222825901
"q",1.02403789367684,191.227698157754,414.335036821862
"phi_obs",1.00488624512788,248.366565281429,425.273417813662
"z_R[468]",1.00499515231111,461.402673827581,450.081057313407
"z_site[2]",1.01991445747156,226.946925341851,450.134727184068
"z_R[421]",1.01578451172846,301.822177221233,452.777284684292
"z_R[241]",1.00875278976155,389.861279075728,452.948793810873
"z_R[71]",1.01080842718408,376.322999274927,456.703543640511
"z_R[504]",1.009052435979,358.423700247331,484.540976087548
"sigma_geo",1.01231557223696,243.570960232048,517.768188469735
"z_R[492]",1.01079217476549,380.964988256287,518.164105520277
"z_R[376]",1.01335597014889,395.876406950386,558.81917745047
"z_R[403]",1.00672250934151,356.397412394884,564.811134039489
"z_R[133]",1.02052994895257,425.591537866077,565.910703844293
"z_R[430]",1.01167917631257,375.229821296328,574.652552141676
"z_R[136]",1.00458838219305,354.571365419634,575.615066906807
"z_R[437]",1.00356344729048,380.639874482841,576.76594394748
"z_R[196]",1.00599590566014,453.26467993012,577.901936305624
"z_R[313]",1.00381106305229,394.501083721445,585.219664417703
"z_R[489]",1.0094674274235,381.337503321819,585.506977230704
"log_seed_hazard[7]",1.00660909523765,433.306237461845,586.1413438318
"log_seed_hazard[1]",1.0057039631225,516.869865923216,586.350311300617
"z_R[549]",1.01307129223073,387.826765291203,592.541514778154
"z_R[361]",1.02640286081468,430.483744106022,596.642232107104
"z_R[527]",1.00927090937865,406.366814905608,597.747489113137
"z_R[483]",1.00698959969399,515.497791636615,599.98163065288
