"unit_index","unit","date","susceptible_median","susceptible_q2.5","susceptible_q97.5","credible_interval_width"
1,"Fortaleza",2017-12-31,0.550387027669875,0.500686733345788,0.573144157023251,0.0724574236774637
1,"Fortaleza",2019-12-29,0.550384170703001,0.502198743407662,0.572970463648943,0.0707717202412812
2,"Juazeiro do Norte",2017-12-31,0.616910779523749,0.463654159208223,0.649307492748814,0.185653333540592
2,"Juazeiro do Norte",2019-12-29,0.626040825337077,0.477759820805306,0.657196443720791,0.179436622915485
3,"Quixada",2017-12-31,0.643169022069639,0.564297360680935,0.676178135455522,0.111880774774587
3,"Quixada",2019-12-29,0.436447046882335,0.342159691628345,0.551175510948334,0.209015819319988
4,"High-burden pooled municipalities",2017-12-31,0.564985167465454,0.503055868913301,0.587485526561689,0.0844296576483879
4,"High-burden pooled municipalities",2019-12-29,0.56651393337212,0.50458023690054,0.587118529365856,0.0825382924653157
5,"Moderate-burden pooled municipalities",2017-12-31,0.563328853655368,0.524884328056472,0.583196582921059,0.0583122548645872
5,"Moderate-burden pooled municipalities",2019-12-29,0.566655473768134,0.526537925172849,0.582796638163411,0.0562587129905618
6,"Low-burden pooled municipalities",2017-12-31,0.519331361667446,0.465455302893323,0.62228402972094,0.156828726827618
6,"Low-burden pooled municipalities",2019-12-29,0.528968814021528,0.476170398809582,0.630226114388254,0.154055715578672
