"muni6","total_reported_cases_2015_2019","unit_index","unit"
"230010",2,6,"Low-burden pooled municipalities"
"230015",58,5,"Moderate-burden pooled municipalities"
"230020",71,5,"Moderate-burden pooled municipalities"
"230030",1120,4,"High-burden pooled municipalities"
"230040",0,6,"Low-burden pooled municipalities"
"230050",46,5,"Moderate-burden pooled municipalities"
"230060",14,6,"Low-burden pooled municipalities"
"230070",0,6,"Low-burden pooled municipalities"
"230075",24,6,"Low-burden pooled municipalities"
"230080",51,5,"Moderate-burden pooled municipalities"
"230090",83,5,"Moderate-burden pooled municipalities"
"230100",459,4,"High-burden pooled municipalities"
"230110",2447,4,"High-burden pooled municipalities"
"230120",372,4,"High-burden pooled municipalities"
"230125",137,5,"Moderate-burden pooled municipalities"
"230130",63,5,"Moderate-burden pooled municipalities"
"230140",142,5,"Moderate-burden pooled municipalities"
"230150",6,6,"Low-burden pooled municipalities"
"230160",213,5,"Moderate-burden pooled municipalities"
"230170",1,6,"Low-burden pooled municipalities"
"230180",13,6,"Low-burden pooled municipalities"
"230185",37,5,"Moderate-burden pooled municipalities"
"230190",267,4,"High-burden pooled municipalities"
"230195",509,4,"High-burden pooled municipalities"
"230200",8,6,"Low-burden pooled municipalities"
"230205",24,6,"Low-burden pooled municipalities"
"230210",649,4,"High-burden pooled municipalities"
"230220",448,4,"High-burden pooled municipalities"
"230230",23,6,"Low-burden pooled municipalities"
"230240",591,4,"High-burden pooled municipalities"
"230250",927,4,"High-burden pooled municipalities"
"230260",166,5,"Moderate-burden pooled municipalities"
"230270",245,5,"Moderate-burden pooled municipalities"
"230280",2352,4,"High-burden pooled municipalities"
"230290",84,5,"Moderate-burden pooled municipalities"
"230300",381,4,"High-burden pooled municipalities"
"230310",77,5,"Moderate-burden pooled municipalities"
"230320",10,6,"Low-burden pooled municipalities"
"230330",10,6,"Low-burden pooled municipalities"
"230340",4,6,"Low-burden pooled municipalities"
"230350",1248,4,"High-burden pooled municipalities"
"230360",545,4,"High-burden pooled municipalities"
"230365",0,6,"Low-burden pooled municipalities"
"230370",7235,4,"High-burden pooled municipalities"
"230380",32,5,"Moderate-burden pooled municipalities"
"230390",67,5,"Moderate-burden pooled municipalities"
"230393",43,5,"Moderate-burden pooled municipalities"
"230395",135,5,"Moderate-burden pooled municipalities"
"230400",509,4,"High-burden pooled municipalities"
"230410",2688,4,"High-burden pooled municipalities"
"230420",334,4,"High-burden pooled municipalities"
"230423",3,6,"Low-burden pooled municipalities"
"230425",16,6,"Low-burden pooled municipalities"
"230426",12,6,"Low-burden pooled municipalities"
"230427",2,6,"Low-burden pooled municipalities"
"230428",184,5,"Moderate-burden pooled municipalities"
"230430",19,6,"Low-burden pooled municipalities"
"230435",89,5,"Moderate-burden pooled municipalities"
"230440",79655,1,"Fortaleza"
"230445",256,4,"High-burden pooled municipalities"
"230450",92,5,"Moderate-burden pooled municipalities"
"230460",147,5,"Moderate-burden pooled municipalities"
"230465",6,6,"Low-burden pooled municipalities"
"230470",503,4,"High-burden pooled municipalities"
"230480",0,6,"Low-burden pooled municipalities"
"230490",12,6,"Low-burden pooled municipalities"
"230495",40,5,"Moderate-burden pooled municipalities"
"230500",1,6,"Low-burden pooled municipalities"
"230510",52,5,"Moderate-burden pooled municipalities"
"230520",430,4,"High-burden pooled municipalities"
"230523",742,4,"High-burden pooled municipalities"
"230526",53,5,"Moderate-burden pooled municipalities"
"230530",6,6,"Low-burden pooled municipalities"
"230533",111,5,"Moderate-burden pooled municipalities"
"230535",374,4,"High-burden pooled municipalities"
"230540",627,4,"High-burden pooled municipalities"
"230550",1399,4,"High-burden pooled municipalities"
"230560",701,4,"High-burden pooled municipalities"
"230565",4,6,"Low-burden pooled municipalities"
"230570",29,5,"Moderate-burden pooled municipalities"
"230580",230,5,"Moderate-burden pooled municipalities"
"230590",126,5,"Moderate-burden pooled municipalities"
"230600",14,6,"Low-burden pooled municipalities"
"230610",629,4,"High-burden pooled municipalities"
"230620",54,5,"Moderate-burden pooled municipalities"
"230625",255,4,"High-burden pooled municipalities"
"230630",385,4,"High-burden pooled municipalities"
"230640",1440,4,"High-burden pooled municipalities"
"230650",170,5,"Moderate-burden pooled municipalities"
"230655",78,5,"Moderate-burden pooled municipalities"
"230660",537,4,"High-burden pooled municipalities"
"230670",49,5,"Moderate-burden pooled municipalities"
"230680",115,5,"Moderate-burden pooled municipalities"
"230690",44,5,"Moderate-burden pooled municipalities"
"230700",128,5,"Moderate-burden pooled municipalities"
"230710",2,6,"Low-burden pooled municipalities"
"230720",8,6,"Low-burden pooled municipalities"
"230725",19,6,"Low-burden pooled municipalities"
"230730",196,2,"Juazeiro do Norte"
"230740",12,6,"Low-burden pooled municipalities"
"230750",22,6,"Low-burden pooled municipalities"
"230760",126,5,"Moderate-burden pooled municipalities"
"230763",189,5,"Moderate-burden pooled municipalities"
"230765",2607,4,"High-burden pooled municipalities"
"230770",1947,4,"High-burden pooled municipalities"
"230780",277,4,"High-burden pooled municipalities"
"230790",136,5,"Moderate-burden pooled municipalities"
"230800",362,4,"High-burden pooled municipalities"
"230810",219,5,"Moderate-burden pooled municipalities"
"230820",33,5,"Moderate-burden pooled municipalities"
"230830",655,4,"High-burden pooled municipalities"
"230835",3,6,"Low-burden pooled municipalities"
"230837",49,5,"Moderate-burden pooled municipalities"
"230840",16,6,"Low-burden pooled municipalities"
"230850",114,5,"Moderate-burden pooled municipalities"
"230860",4,6,"Low-burden pooled municipalities"
"230870",169,5,"Moderate-burden pooled municipalities"
"230880",7,6,"Low-burden pooled municipalities"
"230890",22,6,"Low-burden pooled municipalities"
"230900",28,5,"Moderate-burden pooled municipalities"
"230910",50,5,"Moderate-burden pooled municipalities"
"230920",1,6,"Low-burden pooled municipalities"
"230930",953,4,"High-burden pooled municipalities"
"230940",383,4,"High-burden pooled municipalities"
"230945",466,4,"High-burden pooled municipalities"
"230950",29,5,"Moderate-burden pooled municipalities"
"230960",229,5,"Moderate-burden pooled municipalities"
"230970",1367,4,"High-burden pooled municipalities"
"230980",89,5,"Moderate-burden pooled municipalities"
"230990",11,6,"Low-burden pooled municipalities"
"231000",130,5,"Moderate-burden pooled municipalities"
"231010",100,5,"Moderate-burden pooled municipalities"
"231020",244,5,"Moderate-burden pooled municipalities"
"231025",59,5,"Moderate-burden pooled municipalities"
"231030",13,6,"Low-burden pooled municipalities"
"231040",23,6,"Low-burden pooled municipalities"
"231050",133,5,"Moderate-burden pooled municipalities"
"231060",0,6,"Low-burden pooled municipalities"
"231070",2114,4,"High-burden pooled municipalities"
"231080",122,5,"Moderate-burden pooled municipalities"
"231085",330,4,"High-burden pooled municipalities"
"231090",419,4,"High-burden pooled municipalities"
"231095",6,6,"Low-burden pooled municipalities"
"231100",0,6,"Low-burden pooled municipalities"
"231110",4,6,"Low-burden pooled municipalities"
"231120",3,6,"Low-burden pooled municipalities"
"231123",4,6,"Low-burden pooled municipalities"
"231126",27,5,"Moderate-burden pooled municipalities"
"231130",1377,3,"Quixada"
"231135",30,5,"Moderate-burden pooled municipalities"
"231140",2272,4,"High-burden pooled municipalities"
"231150",590,4,"High-burden pooled municipalities"
"231160",324,4,"High-burden pooled municipalities"
"231170",814,4,"High-burden pooled municipalities"
"231180",892,4,"High-burden pooled municipalities"
"231190",72,5,"Moderate-burden pooled municipalities"
"231195",19,6,"Low-burden pooled municipalities"
"231200",163,5,"Moderate-burden pooled municipalities"
"231210",5,6,"Low-burden pooled municipalities"
"231220",374,4,"High-burden pooled municipalities"
"231230",6,6,"Low-burden pooled municipalities"
"231240",786,4,"High-burden pooled municipalities"
"231250",2,6,"Low-burden pooled municipalities"
"231260",84,5,"Moderate-burden pooled municipalities"
