"week_start","variable","observed","median","q2.5","q97.5"
2015-01-04,"Ceara posterior-predicted cases",0,2,0,10.05
2015-01-11,"Ceara posterior-predicted cases",0,1,0,12.025
2015-01-18,"Ceara posterior-predicted cases",0,1,0,7
2015-01-25,"Ceara posterior-predicted cases",0,2,0,10.025
2015-02-01,"Ceara posterior-predicted cases",0,1,0,9.44999999999985
2015-02-08,"Ceara posterior-predicted cases",0,2,0,21.125
2015-02-15,"Ceara posterior-predicted cases",0,3.5,0,21.075
2015-02-22,"Ceara posterior-predicted cases",0,2,0,11.4249999999999
2015-03-01,"Ceara posterior-predicted cases",2,2,0,10
2015-03-08,"Ceara posterior-predicted cases",2,2,0,10.05
2015-03-15,"Ceara posterior-predicted cases",1,2,0,8.02499999999999
2015-03-22,"Ceara posterior-predicted cases",1,2,0,7
2015-03-29,"Ceara posterior-predicted cases",1,2,0,6.02499999999999
2015-04-05,"Ceara posterior-predicted cases",1,1,0,5
2015-04-12,"Ceara posterior-predicted cases",1,1,0,5
2015-04-19,"Ceara posterior-predicted cases",2,1,0,3
2015-04-26,"Ceara posterior-predicted cases",3,1,0,4
2015-05-03,"Ceara posterior-predicted cases",0,1,0,4
2015-05-10,"Ceara posterior-predicted cases",3,0,0,3.02499999999999
2015-05-17,"Ceara posterior-predicted cases",0,0,0,4
2015-05-24,"Ceara posterior-predicted cases",1,0,0,2
2015-05-31,"Ceara posterior-predicted cases",1,0,0,3
2015-06-07,"Ceara posterior-predicted cases",0,0,0,2.02499999999999
2015-06-14,"Ceara posterior-predicted cases",1,0,0,2
2015-06-21,"Ceara posterior-predicted cases",0,0,0,1.02499999999999
2015-06-28,"Ceara posterior-predicted cases",0,0,0,2
2015-07-05,"Ceara posterior-predicted cases",0,0,0,1.02499999999999
2015-07-12,"Ceara posterior-predicted cases",0,0,0,1.02499999999999
2015-07-19,"Ceara posterior-predicted cases",0,0,0,1
2015-07-26,"Ceara posterior-predicted cases",0,0,0,1
2015-08-02,"Ceara posterior-predicted cases",0,0,0,1
2015-08-09,"Ceara posterior-predicted cases",0,0,0,1
