"week_start","variable","observed","median","q2.5","q97.5","unit_index","unit"
2015-01-04,"Susceptible proportion: Fortaleza",NA,1,1,1,1,"Fortaleza"
2015-01-11,"Susceptible proportion: Fortaleza",NA,0.99999489334988,0.999981529274288,0.999999612692423,1,"Fortaleza"
2015-01-18,"Susceptible proportion: Fortaleza",NA,0.999988908806381,0.999977262686947,0.999997482261595,1,"Fortaleza"
2015-01-25,"Susceptible proportion: Fortaleza",NA,0.999986024117136,0.999957772722928,0.999995815311487,1,"Fortaleza"
2015-02-01,"Susceptible proportion: Fortaleza",NA,0.999983128526784,0.999929815606952,0.999994876663786,1,"Fortaleza"
2015-02-08,"Susceptible proportion: Fortaleza",NA,0.999980447576383,0.999927551306012,0.999991123900439,1,"Fortaleza"
2015-02-15,"Susceptible proportion: Fortaleza",NA,0.999976739583859,0.999896186658499,0.999988748402875,1,"Fortaleza"
2015-02-22,"Susceptible proportion: Fortaleza",NA,0.999949391541925,0.999833022476286,0.999981420200569,1,"Fortaleza"
2015-03-01,"Susceptible proportion: Fortaleza",NA,0.999933000091045,0.999789062074051,0.999971504333711,1,"Fortaleza"
2015-03-08,"Susceptible proportion: Fortaleza",NA,0.999919878846835,0.999769739506612,0.999969943829469,1,"Fortaleza"
2015-03-15,"Susceptible proportion: Fortaleza",NA,0.999909089872617,0.999723491565695,0.999967566721632,1,"Fortaleza"
2015-03-22,"Susceptible proportion: Fortaleza",NA,0.999898356171282,0.999690340234364,0.999965314443831,1,"Fortaleza"
2015-03-29,"Susceptible proportion: Fortaleza",NA,0.99988918918791,0.999663992576931,0.999963310737213,1,"Fortaleza"
2015-04-05,"Susceptible proportion: Fortaleza",NA,0.999882570247119,0.999643623153906,0.999961691456978,1,"Fortaleza"
2015-04-12,"Susceptible proportion: Fortaleza",NA,0.99987598587634,0.999629096489648,0.999960319448271,1,"Fortaleza"
2015-04-19,"Susceptible proportion: Fortaleza",NA,0.999869684522172,0.999621550690164,0.999959083968143,1,"Fortaleza"
2015-04-26,"Susceptible proportion: Fortaleza",NA,0.999865023876752,0.999618400383143,0.999957798446259,1,"Fortaleza"
2015-05-03,"Susceptible proportion: Fortaleza",NA,0.999862015650252,0.999615659631335,0.999956676848736,1,"Fortaleza"
2015-05-10,"Susceptible proportion: Fortaleza",NA,0.999859694384258,0.999613699700772,0.999955575626139,1,"Fortaleza"
2015-05-17,"Susceptible proportion: Fortaleza",NA,0.999857675624336,0.999612323977334,0.999954743272716,1,"Fortaleza"
2015-05-24,"Susceptible proportion: Fortaleza",NA,0.999854680002102,0.999611231968424,0.999953938311028,1,"Fortaleza"
2015-05-31,"Susceptible proportion: Fortaleza",NA,0.999852179836166,0.99961010426837,0.999953254134592,1,"Fortaleza"
2015-06-07,"Susceptible proportion: Fortaleza",NA,0.999850055099049,0.999606951105149,0.99995260340138,1,"Fortaleza"
2015-06-14,"Susceptible proportion: Fortaleza",NA,0.99984771310556,0.999604626160049,0.999952244911094,1,"Fortaleza"
2015-06-21,"Susceptible proportion: Fortaleza",NA,0.999845722805638,0.999603016329712,0.99995190726859,1,"Fortaleza"
2015-06-28,"Susceptible proportion: Fortaleza",NA,0.999843855468735,0.999601697268259,0.999951560194993,1,"Fortaleza"
2015-07-05,"Susceptible proportion: Fortaleza",NA,0.99984230014787,0.999600899369027,0.99995125651665,1,"Fortaleza"
2015-07-12,"Susceptible proportion: Fortaleza",NA,0.999841115936555,0.999600177153088,0.999950995543348,1,"Fortaleza"
2015-07-19,"Susceptible proportion: Fortaleza",NA,0.999840047510256,0.999599646191398,0.99995074447821,1,"Fortaleza"
2015-07-26,"Susceptible proportion: Fortaleza",NA,0.999839564759013,0.99959924121796,0.999950523161619,1,"Fortaleza"
2015-08-02,"Susceptible proportion: Fortaleza",NA,0.999839175584863,0.999598943899642,0.999950366885024,1,"Fortaleza"
2015-08-09,"Susceptible proportion: Fortaleza",NA,0.999838857520598,0.999598724143742,0.99995021047415,1,"Fortaleza"
2015-08-16,"Susceptible proportion: Fortaleza",NA,0.999838664264551,0.999598572801812,0.999950085048362,1,"Fortaleza"
2015-08-23,"Susceptible proportion: Fortaleza",NA,0.999838477335294,0.999598432102383,0.999949951201653,1,"Fortaleza"
2015-08-30,"Susceptible proportion: Fortaleza",NA,0.999838320885693,0.999598318380561,0.999949822809451,1,"Fortaleza"
2015-09-06,"Susceptible proportion: Fortaleza",NA,0.999838171797313,0.999598199996673,0.999949723287638,1,"Fortaleza"
2015-09-13,"Susceptible proportion: Fortaleza",NA,0.99983799391343,0.999597803484122,0.999949603815594,1,"Fortaleza"
2015-09-20,"Susceptible proportion: Fortaleza",NA,0.999837800533695,0.999596784918644,0.999949480508432,1,"Fortaleza"
2015-09-27,"Susceptible proportion: Fortaleza",NA,0.999837570811447,0.999595427848171,0.999949324276692,1,"Fortaleza"
2015-10-04,"Susceptible proportion: Fortaleza",NA,0.999837233444858,0.99959421818922,0.999949101798239,1,"Fortaleza"
2015-10-11,"Susceptible proportion: Fortaleza",NA,0.99983682066661,0.999592845430963,0.999948865851644,1,"Fortaleza"
2015-10-18,"Susceptible proportion: Fortaleza",NA,0.999836266730856,0.999591313322481,0.9999486148945,1,"Fortaleza"
2015-10-25,"Susceptible proportion: Fortaleza",NA,0.999835402061775,0.999589970913074,0.999948339004832,1,"Fortaleza"
2015-11-01,"Susceptible proportion: Fortaleza",NA,0.999834334173619,0.999588537094046,0.999948013583228,1,"Fortaleza"
2015-11-08,"Susceptible proportion: Fortaleza",NA,0.999833117066107,0.99958682736661,0.99994751560232,1,"Fortaleza"
2015-11-15,"Susceptible proportion: Fortaleza",NA,0.999831630388825,0.999585017483107,0.999947054091846,1,"Fortaleza"
2015-11-22,"Susceptible proportion: Fortaleza",NA,0.999829478363166,0.999582950107838,0.999946531299602,1,"Fortaleza"
2015-11-29,"Susceptible proportion: Fortaleza",NA,0.999826361603979,0.999580323052049,0.999945863022816,1,"Fortaleza"
2015-12-06,"Susceptible proportion: Fortaleza",NA,0.999823666656458,0.999577004829431,0.999944968065309,1,"Fortaleza"
2015-12-13,"Susceptible proportion: Fortaleza",NA,0.999819700222039,0.999572183582973,0.99994377461762,1,"Fortaleza"
2015-12-20,"Susceptible proportion: Fortaleza",NA,0.999815653202528,0.999566157837834,0.999941819480284,1,"Fortaleza"
2015-12-27,"Susceptible proportion: Fortaleza",NA,0.999810329260765,0.999558700783467,0.999939116937168,1,"Fortaleza"
2016-01-03,"Susceptible proportion: Fortaleza",NA,0.999803991487207,0.999547916260458,0.99993531998417,1,"Fortaleza"
2016-01-10,"Susceptible proportion: Fortaleza",NA,0.999792224569251,0.999531926551468,0.999929643504189,1,"Fortaleza"
2016-01-17,"Susceptible proportion: Fortaleza",NA,0.999774769654502,0.999505686669792,0.999922115284745,1,"Fortaleza"
2016-01-24,"Susceptible proportion: Fortaleza",NA,0.999742398440723,0.999464800721472,0.999911392361572,1,"Fortaleza"
2016-01-31,"Susceptible proportion: Fortaleza",NA,0.999705402171661,0.999366145476652,0.999897542164166,1,"Fortaleza"
2016-02-07,"Susceptible proportion: Fortaleza",NA,0.999657043513029,0.999208042933743,0.999876348205744,1,"Fortaleza"
2016-02-14,"Susceptible proportion: Fortaleza",NA,0.999558798765806,0.999012265890184,0.999842587870656,1,"Fortaleza"
2016-02-21,"Susceptible proportion: Fortaleza",NA,0.999410103332767,0.998699707792863,0.99978842303315,1,"Fortaleza"
2016-02-28,"Susceptible proportion: Fortaleza",NA,0.999188554250279,0.998178566594419,0.999703792341524,1,"Fortaleza"
2016-03-06,"Susceptible proportion: Fortaleza",NA,0.99886116196263,0.997096783592859,0.999565514641372,1,"Fortaleza"
2016-03-13,"Susceptible proportion: Fortaleza",NA,0.998290297746486,0.995824419614601,0.999325755343104,1,"Fortaleza"
2016-03-20,"Susceptible proportion: Fortaleza",NA,0.997356511319069,0.993842369338849,0.998919394958022,1,"Fortaleza"
2016-03-27,"Susceptible proportion: Fortaleza",NA,0.995895852249671,0.990949270063979,0.998250081882634,1,"Fortaleza"
2016-04-03,"Susceptible proportion: Fortaleza",NA,0.993816731493737,0.986722610487742,0.99687705468693,1,"Fortaleza"
2016-04-10,"Susceptible proportion: Fortaleza",NA,0.990802247101381,0.982067382322875,0.994605506434075,1,"Fortaleza"
2016-04-17,"Susceptible proportion: Fortaleza",NA,0.985927768488442,0.975639307958299,0.991099141586135,1,"Fortaleza"
2016-04-24,"Susceptible proportion: Fortaleza",NA,0.978513351944668,0.966394644173271,0.985528451630743,1,"Fortaleza"
2016-05-01,"Susceptible proportion: Fortaleza",NA,0.967118146610506,0.954610644266109,0.97747392217721,1,"Fortaleza"
2016-05-08,"Susceptible proportion: Fortaleza",NA,0.952130638228763,0.940094068639239,0.966109847524824,1,"Fortaleza"
2016-05-15,"Susceptible proportion: Fortaleza",NA,0.937352148143643,0.913910676489113,0.955328930125646,1,"Fortaleza"
2016-05-22,"Susceptible proportion: Fortaleza",NA,0.921441422885618,0.884618552730478,0.942151283850155,1,"Fortaleza"
2016-05-29,"Susceptible proportion: Fortaleza",NA,0.907456437663597,0.851757508718097,0.928730450394194,1,"Fortaleza"
2016-06-05,"Susceptible proportion: Fortaleza",NA,0.893968918059294,0.82578597289724,0.917183748684817,1,"Fortaleza"
2016-06-12,"Susceptible proportion: Fortaleza",NA,0.881955185599922,0.803086517448982,0.907250852936466,1,"Fortaleza"
2016-06-19,"Susceptible proportion: Fortaleza",NA,0.871738478824413,0.784649078207483,0.898771379826057,1,"Fortaleza"
2016-06-26,"Susceptible proportion: Fortaleza",NA,0.863176388840432,0.770456113327668,0.890369278311969,1,"Fortaleza"
2016-07-03,"Susceptible proportion: Fortaleza",NA,0.855925953204616,0.761073556703952,0.882731943486497,1,"Fortaleza"
2016-07-10,"Susceptible proportion: Fortaleza",NA,0.850701484322096,0.755115832580869,0.876774822260791,1,"Fortaleza"
2016-07-17,"Susceptible proportion: Fortaleza",NA,0.846028929847536,0.750280969170478,0.872281132940386,1,"Fortaleza"
2016-07-24,"Susceptible proportion: Fortaleza",NA,0.842778826577027,0.746923580840184,0.869035670992027,1,"Fortaleza"
2016-07-31,"Susceptible proportion: Fortaleza",NA,0.839653020843606,0.744514687140458,0.866639622353437,1,"Fortaleza"
2016-08-07,"Susceptible proportion: Fortaleza",NA,0.837308923279188,0.74272519207371,0.86451561892677,1,"Fortaleza"
2016-08-14,"Susceptible proportion: Fortaleza",NA,0.835328061605279,0.741553514369806,0.862650567407687,1,"Fortaleza"
2016-08-21,"Susceptible proportion: Fortaleza",NA,0.833717856720659,0.740493812296208,0.861316407033587,1,"Fortaleza"
2016-08-28,"Susceptible proportion: Fortaleza",NA,0.832364431365084,0.739613108737442,0.860009176487445,1,"Fortaleza"
2016-09-04,"Susceptible proportion: Fortaleza",NA,0.831092523705783,0.738789865422685,0.858747563410241,1,"Fortaleza"
2016-09-11,"Susceptible proportion: Fortaleza",NA,0.829962125379268,0.738037800121402,0.857770319810713,1,"Fortaleza"
2016-09-18,"Susceptible proportion: Fortaleza",NA,0.82897103901231,0.737388126020879,0.857041025119979,1,"Fortaleza"
