"muni6","municipality_name","health_region_22","official_macroregion_5","final_model_unit","source_reference","unit_index"
"230010","Abaiara","19ª Região Brejo Santo","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230015","Acarape","3ª Região Maracanaú","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230020","Acaraú","12ª Região Acaraú","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230030","Acopiara","18ª Região Iguatú","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230040","Aiuaba","14ª Região Tauá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"230050","Alcântaras","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230060","Altaneira","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230070","Alto Santo","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"230075","Amontada","6ª Região Itapipoca","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230080","Antonina do Norte","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230090","Apuiarés","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230100","Aquiraz","1ª Região Fortaleza","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230110","Aracati","7ª Região Aracati","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"230120","Aracoiaba","4ª Região Baturité","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230125","Ararendá","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230130","Araripe","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230140","Aratuba","4ª Região Baturité","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230150","Arneiroz","14ª Região Tauá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
