week_start,variable,q025,q25,median,q75,q975
2015-01-04,posterior_predictive_cases,0,0,0,0,1
2015-01-11,posterior_predictive_cases,0,0,0,0,1
2015-01-18,posterior_predictive_cases,0,0,0,0,2
2015-01-25,posterior_predictive_cases,0,0,0,1,2
2015-02-01,posterior_predictive_cases,0,0,0,1,2
2015-02-08,posterior_predictive_cases,0,0,0,1,3
2015-02-15,posterior_predictive_cases,0,0,0,1,4
2015-02-22,posterior_predictive_cases,0,0,1,2,4
2015-03-01,posterior_predictive_cases,0,0,1,2,5
2015-03-08,posterior_predictive_cases,0,0,1,2,6
2015-03-15,posterior_predictive_cases,0,0,1,3,7
2015-03-22,posterior_predictive_cases,0,0,2,3,9
2015-03-29,posterior_predictive_cases,0,1,2,4,10
2015-04-05,posterior_predictive_cases,0,1,2,4,12
2015-04-12,posterior_predictive_cases,0,1,2,5,13
2015-04-19,posterior_predictive_cases,0,1,3,6,15
2015-04-26,posterior_predictive_cases,0,1,3,6,16
2015-05-03,posterior_predictive_cases,0,1,3,7,18
2015-05-10,posterior_predictive_cases,0,1,4,7,19
2015-05-17,posterior_predictive_cases,0,1,4,7,19
2015-05-24,posterior_predictive_cases,0,1,4,7,20
2015-05-31,posterior_predictive_cases,0,2,4,7,21
2015-06-07,posterior_predictive_cases,0,2,4,7,19
2015-06-14,posterior_predictive_cases,0,1,4,7,21
2015-06-21,posterior_predictive_cases,0,1,3,7,22
2015-06-28,posterior_predictive_cases,0,1,3,6,19
2015-07-05,posterior_predictive_cases,0,1,3,6,18
2015-07-12,posterior_predictive_cases,0,1,3,5,17
2015-07-19,posterior_predictive_cases,0,1,2,5,15
2015-07-26,posterior_predictive_cases,0,1,2,4,15
2015-08-02,posterior_predictive_cases,0,1,2,4,13.025000000000091
2015-08-09,posterior_predictive_cases,0,1,2,4,13
2015-08-16,posterior_predictive_cases,0,0,1,3,11
2015-08-23,posterior_predictive_cases,0,0,1,3,10
2015-08-30,posterior_predictive_cases,0,0,1,3,9
2015-09-06,posterior_predictive_cases,0,0,1,3,9
2015-09-13,posterior_predictive_cases,0,0,1,2,8
2015-09-20,posterior_predictive_cases,0,0,1,2,8
2015-09-27,posterior_predictive_cases,0,0,1,2,8
2015-10-04,posterior_predictive_cases,0,0,1,2,7
2015-10-11,posterior_predictive_cases,0,0,1,2,7
2015-10-18,posterior_predictive_cases,0,0,1,2,7
2015-10-25,posterior_predictive_cases,0,0,1,2,7
2015-11-01,posterior_predictive_cases,0,0,1,2,7
2015-11-08,posterior_predictive_cases,0,0,1,2,7
2015-11-15,posterior_predictive_cases,0,0,1,2,7
2015-11-22,posterior_predictive_cases,0,0,1,2,8
2015-11-29,posterior_predictive_cases,0,0,1,3,8
2015-12-06,posterior_predictive_cases,0,0,1,3,9
2015-12-13,posterior_predictive_cases,0,0,2,3,10
2015-12-20,posterior_predictive_cases,0,1,2,4,11
2015-12-27,posterior_predictive_cases,0,1,2,4,14
2016-01-03,posterior_predictive_cases,0,1,3,6,17
2016-01-10,posterior_predictive_cases,0,2,4,8,21
2016-01-17,posterior_predictive_cases,0,2,6,10,27
2016-01-24,posterior_predictive_cases,0,3,8,14,37
2016-01-31,posterior_predictive_cases,0,5,10,19,47
2016-02-07,posterior_predictive_cases,0,6,14,26,64.02500000000009
2016-02-14,posterior_predictive_cases,0,9,19,33,82
2016-02-21,posterior_predictive_cases,1,12,26,46,111
2016-02-28,posterior_predictive_cases,1,16,37,64,151
2016-03-06,posterior_predictive_cases,1,23,47,83,204
2016-03-13,posterior_predictive_cases,2,30,62,113,271.10000000000036
2016-03-20,posterior_predictive_cases,2.9750000000000085,37,79,144,376.0250000000001
2016-03-27,posterior_predictive_cases,3.9750000000000085,52,106.5,186,430.0500000000002
2016-04-03,posterior_predictive_cases,4,63,132,236,543
2016-04-10,posterior_predictive_cases,5,81,173,304,670
2016-04-17,posterior_predictive_cases,7.9750000000000085,98,211,368,832.0500000000002
2016-04-24,posterior_predictive_cases,7,117,252.5,436,1044.025
2016-05-01,posterior_predictive_cases,11,137.75,293,517,1209.1500000000005
2016-05-08,posterior_predictive_cases,12,165,330,598,1431
2016-05-15,posterior_predictive_cases,12.975000000000009,189.75,392,687.25,1617.025
2016-05-22,posterior_predictive_cases,15.975000000000009,207,419.5,730,1655.1500000000005
2016-05-29,posterior_predictive_cases,16,225,462.5,827,2030.0500000000002
2016-06-05,posterior_predictive_cases,21,232.75,485,871,2254.325000000001
2016-06-12,posterior_predictive_cases,24,250,527.5,928,2194.275000000001
2016-06-19,posterior_predictive_cases,22,267.75,558,966,2284.0750000000003
2016-06-26,posterior_predictive_cases,25,262,543,992.25,2406.025
2016-07-03,posterior_predictive_cases,22,275,533.5,911,2371.05
2016-07-10,posterior_predictive_cases,19,267,544.5,970,2364.1750000000006
