muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
110000,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
110001,60,32,9,15,9,0.26666666666666666,0.9,0.25,17,0.9,0.26666666666666666,0.25,recurrent
110002,537,76,10,144,7,0.6333333333333333,1,0.2681564245810056,17,1,0.6333333333333333,0.2681564245810056,recurrent
110003,6,6,3,4,1,0.05,0.3,0.6666666666666666,4,0.3,0.05,0.6666666666666666,intermediate
110004,753,96,10,269,8,0.8,1,0.35723771580345287,16,1,0.8,0.35723771580345287,recurrent
110005,627,61,10,289,3,0.5083333333333333,1,0.4609250398724083,18,1,0.5083333333333333,0.4609250398724083,recurrent
110006,45,21,8,16,4,0.175,0.8,0.35555555555555557,11,0.8,0.175,0.35555555555555557,recurrent
110007,21,14,8,7,3,0.11666666666666667,0.8,0.3333333333333333,11,0.8,0.11666666666666667,0.3333333333333333,recurrent
110008,8,4,3,6,1,0.03333333333333333,0.3,0.75,3,0.3,0.03333333333333333,0.75,sporadic
110009,29,25,8,9,5,0.20833333333333334,0.8,0.3103448275862069,16,0.8,0.20833333333333334,0.3103448275862069,recurrent
110010,195,28,10,165,1,0.23333333333333334,1,0.8461538461538461,20,1,0.23333333333333334,0.8461538461538461,sporadic
110011,50,20,9,26,3,0.16666666666666666,0.9,0.52,17,0.9,0.16666666666666666,0.52,recurrent
110012,694,90,10,227,7,0.75,1,0.3270893371757925,15,1,0.75,0.3270893371757925,recurrent
110013,15,11,6,5,1,0.09166666666666666,0.6,0.3333333333333333,9,0.6,0.09166666666666666,0.3333333333333333,recurrent
110014,40,27,9,14,5,0.225,0.9,0.35,17,0.9,0.225,0.35,recurrent
110015,127,49,10,20,8,0.4083333333333333,1,0.15748031496062992,20,1,0.4083333333333333,0.15748031496062992,recurrent
