region,uf,uf_name,start_week,peak_week,end_week,duration_weeks,total_cases,n_active_munis,n_total_munis,pct_active_munis,peak_time_sd_weeks,cor_sync_index,synchrony_class,left_censored
Norte,AP,Amapá,2014-12-28,2015-01-04,2015-06-07,24,1117,5,15,0.3333333333333333,1.8365886953028667,0.34356229187876297,Mixed / intermediate,TRUE
Norte,RR,Roraima,2014-12-28,2015-01-11,2015-03-08,11,77,1,15,0.06666666666666667,NA,NA,Single-municipality dominated,TRUE
Nordeste,AL,Alagoas,2014-12-28,2015-02-01,2015-02-22,9,943,5,102,0.049019607843137254,1.3326650196376204,0.532747402345197,Synchronous (state-wide),TRUE
Nordeste,BA,Bahia,2014-12-28,2016-02-21,2016-07-17,82,80456,189,416,0.4543269230769231,18.245747198228457,0.15072772407843826,Asynchronous (localized/staggered),TRUE
Nordeste,RN,Rio Grande do Norte,2015-01-11,2015-02-22,2015-04-26,16,4352,21,168,0.125,1.8319146704304468,0.27337141739240894,Asynchronous (localized/staggered),FALSE
Nordeste,SE,Sergipe,2015-02-22,2015-03-01,2015-04-19,9,300,6,75,0.08,2.7238136576794045,0.03710487032335863,Asynchronous (localized/staggered),FALSE
Nordeste,PI,Piauí,2015-03-29,2015-04-19,2015-04-26,5,216,2,205,0.00975609756097561,1.009197317346082,NA,Mixed / intermediate,FALSE
Nordeste,PE,Pernambuco,2015-08-30,2016-02-21,2016-10-23,61,68838,144,185,0.7783783783783784,4.751033730059872,0.30223814773067,Asynchronous (localized/staggered),FALSE
Norte,AC,Acre,2015-11-29,2016-02-07,2016-06-05,28,1043,6,22,0.2727272727272727,1.9963323890563485,0.4198977896683128,Mixed / intermediate,FALSE
Norte,TO,Tocantins,2015-11-29,2016-02-14,2016-07-24,35,2012,13,139,0.09352517985611511,6.614220977853426,0.14839806547207096,Asynchronous (localized/staggered),FALSE
Centro-Oeste,MT,Mato Grosso,2015-12-06,2016-02-21,2016-04-17,20,1406,13,138,0.09420289855072464,3.6674780824507103,0.15033174980342992,Asynchronous (localized/staggered),FALSE
Norte,RO,Rondônia,2016-01-03,2016-02-21,2016-06-12,24,1576,10,53,0.18867924528301888,2.0136099470508757,0.3705466535812326,Mixed / intermediate,FALSE
Nordeste,MA,Maranhão,2016-01-10,2016-05-01,2016-07-17,28,13923,55,215,0.2558139534883721,3.3840914289802155,0.20843220353679062,Asynchronous (localized/staggered),FALSE
Nordeste,PB,Paraíba,2016-01-24,2016-05-08,2016-09-11,34,20553,98,221,0.4434389140271493,5.080178047718201,0.21600453599103323,Asynchronous (localized/staggered),FALSE
Centro-Oeste,DF,Distrito Federal,2016-01-24,2016-02-28,2016-04-24,14,636,1,27,0.037037037037037035,NA,NA,Single-municipality dominated,FALSE
Nordeste,CE,Ceará,2016-02-07,2017-04-30,2018-06-17,124,194224,163,184,0.8858695652173914,15.702058827772268,0.2859424714828359,Asynchronous (localized/staggered),FALSE
Sul,PR,Paraná,2016-02-14,2016-02-28,2016-04-03,8,1526,21,352,0.05965909090909091,2.409206147411362,0.2098638463013116,Asynchronous (localized/staggered),FALSE
Sudeste,RJ,Rio de Janeiro,2016-02-21,2016-04-10,2016-07-17,22,17633,29,93,0.3118279569892473,1.0938316697009085,0.3269215052600364,Mixed / intermediate,FALSE
Norte,AM,Amazonas,2016-04-03,2016-04-24,2016-05-15,7,353,1,57,0.017543859649122806,NA,NA,Single-municipality dominated,FALSE
Norte,PA,Pará,2016-04-24,2017-01-29,2017-09-17,74,14559,57,144,0.3958333333333333,16.751026334573066,0.08745355466137283,Asynchronous (localized/staggered),FALSE
Sudeste,ES,Espírito Santo,2017-01-08,2017-04-09,2017-05-14,19,1041,10,78,0.1282051282051282,3.2322139699484502,0.06665743133431783,Asynchronous (localized/staggered),FALSE
Sudeste,MG,Minas Gerais,2017-01-15,2017-03-19,2017-06-25,24,18584,37,811,0.04562268803945746,4.3484877777172715,0.1765354970553731,Asynchronous (localized/staggered),FALSE
Centro-Oeste,MS,Mato Grosso do Sul,2019-02-17,2019-02-17,2019-03-24,6,183,4,79,0.05063291139240506,0.919136417460794,0.09455862393618324,Asynchronous (localized/staggered),FALSE
Sudeste,SP,São Paulo,2021-01-31,2021-03-14,2021-05-23,17,22517,18,611,0.029459901800327332,1.4421012510834277,0.2842597951252427,Asynchronous (localized/staggered),FALSE
Centro-Oeste,GO,Goiás,2022-01-02,2022-03-27,2022-06-26,26,5264,24,234,0.10256410256410256,4.253269104562389,0.19948955333019364,Asynchronous (localized/staggered),FALSE
Sul,RS,Rio Grande do Sul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No major epidemic detected,FALSE
Sul,SC,Santa Catarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No major epidemic detected,FALSE
